model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,cpu,0.46153846153846156,0.2248600229958178,0.1310307822233306,1858178372922.981,1.2965011285519297,0.7554991534922587,18581783729.22981,0.7939493049877351,0.0975959080455153,0.1116584908000817,0.0335950009957017,438409795670.92,1.5969747971334902,0.4804862533550469,4384097956.709201,0.9877350776778414,0.2670285115103895,13,1.9230769230769231,0.8461538461538461,42.0,3.230769230769231,0.6797953013806547,0.8981206413364522,0.219721767594108,14.26218295097351,2.053225029,1.39127948,0.6923076923076923,0.6923076923076923,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.5333333333333333,0.1742129938170296,0.0885751697796885,2313143585255.457,1.4283379109836942,0.7262103141458061,23131435852.55457,0.7260834014717907,0.3029030692259861,0.1014916880250332,0.0341343188988279,258383060055.6472,1.389837693714577,0.4674389004463448,2583830600.556472,0.8053965658217498,0.4013059476471138,15,1.9333333333333333,0.9333333333333333,51.0,3.4,0.649103596637769,0.8932352649501766,0.177659574468085,6.791882038116455,1.31242497,0.76002362,0.7333333333333333,0.7333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.5,0.2060310900565182,0.114640187714747,6588178188814.067,1.4547586532686332,0.8094594123858664,65881781888.14067,0.7585664282720819,0.1395034236361952,0.1109274820096833,0.0405318786205968,649158750270.6355,1.5173353782851118,0.5544203498103466,6491587502.706355,0.9738348323793948,0.2906015420199864,8,1.0,0.5,16.0,2.0,0.5759285318412773,0.8599967817981606,0.1888297872340425,19.462355613708496,1.16814383,0.5579060290000001,0.5,0.5,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.15384615384615385,0.1855631593121275,0.074273405133588,1603004256345.7505,1.529553776122547,0.6122183288357856,16030042563.457504,0.794766966475879,0.2568300306115997,0.1012653134780766,0.0295849820132859,342130290378.7785,1.451337637308841,0.4240128867451022,3421302903.787785,0.9754701553556828,0.3783833048975015,13,1.8461538461538463,0.8461538461538461,37.0,2.8461538461538463,0.6342216178178849,0.8588243905505542,0.1831501831501831,10.499922752380373,1.728817009,0.9485667450000002,0.8461538461538461,0.8461538461538461,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.15384615384615385,0.1560659914090923,0.0521983491826218,5288076064757.063,1.672975188243073,0.5595488309869336,52880760647.57063,0.6951797183607116,0.4659096645229377,0.1129205063067337,0.0329019223104557,683436392005.4314,1.347454530964692,0.3926111008946842,6834363920.054314,0.9813084112149532,0.3705000493854562,13,1.3846153846153846,1.3846153846153846,38.0,2.923076923076923,0.7333139233201448,0.8974393652683701,0.2876432078559738,11.2450270652771,1.315200291,0.6377099589999999,0.7692307692307693,0.7692307692307693,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.21428571428571427,0.2259650026904103,0.0871584950350834,2256624834576.1665,1.8669554861235256,0.7201160734211558,22566248345.761665,0.9885527391659852,-0.0494387128039413,0.0867522309387786,0.034903387638544,475471143687.681,1.30924975033592,0.5267559238204529,4754711436.87681,0.7759607522485691,0.4882641358299622,14,1.5,1.2857142857142858,42.0,3.0,0.6526387688106526,0.8889338120380625,0.273176291793313,9.54402494430542,1.1422004649999995,0.4013269199999999,0.9285714285714286,0.7857142857142857,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.23529411764705882,0.2173417095407832,0.127151710763634,2187290314414.359,1.2403202928032702,0.725626238323086,21872903144.14359,0.7179067865903517,0.0833983493286193,0.0900663938374392,0.0273483808537108,336646403286.84015,1.3875921694371072,0.4213380541013546,3366464032.868401,0.9754701553556828,0.4759432339806819,17,1.8823529411764706,1.0588235294117647,54.0,3.176470588235294,0.6306255689074608,0.8627571516928229,0.2265331664580726,20.617563486099243,2.419586514,1.442877425,0.9411764705882352,0.9411764705882352,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.3333333333333333,0.2941194276034254,0.1854562757826042,2448231231446.7524,1.1694970277965318,0.7374234510153234,24482312314.467525,0.7170891251022077,0.0390373326889881,0.0968246558018933,0.0349153072135056,485566875753.9913,1.4306479121261182,0.5158966066292705,4855668757.539913,0.6650603180865554,0.4430542936785451,15,1.2,1.1333333333333333,40.0,2.6666666666666665,0.6650474290144008,0.8702216139401582,0.2326241134751772,8.140722751617432,1.319304524,0.6631595819999999,0.7333333333333333,0.7333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.125,0.2210352798040795,0.0722647381535203,5518956841993.492,2.0563319062529963,0.6722921648246282,55189568419.93492,0.9885527391659852,-0.0407330721966125,0.1042705776243879,0.0361744413309195,668368297004.4319,1.5572788755901117,0.5402645176076873,6683682970.044319,0.98119378577269,0.2473200093155231,8,1.625,1.0,22.0,2.75,0.6300056854971493,0.9001792445021302,0.3211436170212765,33.350473165512085,2.012527873,1.938533141,0.75,0.75,C2,C2,C2
exact_M-of-N,no_discretization,cpu,0.4,0.2135589329054775,0.110195367065352,2160091044977.7373,1.524632461358986,0.7867029088104954,21600910449.77737,0.7963884813079605,0.090647620789044,0.0901170208150959,0.028692557173231,444312420909.1043,1.253103471054739,0.3989783801329288,4443124209.091043,0.8053965658217498,0.5275733061975447,15,1.7333333333333334,1.0666666666666667,48.0,3.2,0.6503573735849959,0.8720437124951829,0.2159574468085106,19.82283639907837,2.036528854,1.7357265360000005,0.7333333333333333,0.7333333333333333,C2,C2,C2
