model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,cpu,0,0.2154273019111493,0.1294658601457728,2570593826378.3745,1.2421138107501533,0.7464761034515356,25705938263.783745,0.7277255063532823,0.1717183520295675,0.0625658712812563,0.0205726253355753,574281599510.5001,0.8948367372774058,0.2942361475277951,5742815995.105001,0.7007358953393295,0.7698671752679461,22,2.6363636363636362,0.0,58.0,2.6363636363636362,0.5757756738943077,0.7683136564529796,0.1158123791102514,0.973022123,0.874387736,0.093912022,0.7272727272727273,0.7272727272727273,C2,C2,C2
plain,no_discretization,cpu,0,0.1577841980493256,0.086814708769147,4383833301572.1553,1.293641460893034,0.7117766421959049,43838333015.72155,0.5929472078958737,0.4281803227001487,0.0505578403524136,0.0265698924400396,489683507091.6408,0.692344305252433,0.3638508605946209,4896835070.916409,0.349172982687553,0.8514334561111496,12,2.1666666666666665,0.0,26.0,2.1666666666666665,0.5436585039052166,0.736140177939541,0.0930851063829787,0.231604208,0.213483786,0.014239589,0.5833333333333334,0.5833333333333334,C2,C2,C2
plain,no_discretization,cpu,0,0.2150672844507092,0.116662390788227,4390004406521.9873,1.5185620432519649,0.8237379245220903,43900044065.21987,0.799091370836235,0.0623681976123449,0.0939604287615962,0.0276285328669924,490372832643.812,1.285249427246193,0.3779203278547428,4903728326.43812,0.7612428454619787,0.4910186021033311,34,3.235294117647059,0.0,110.0,3.235294117647059,0.6695607499908762,0.8865181488359832,0.0739987484355444,7.360657194,6.376734279,0.978286743,0.9411764705882352,0.9411764705882352,C2,C2,C2
plain,no_discretization,cpu,0,0.1714106842472323,0.0716463961879384,920604993330.474,1.4128982300689297,0.5905645077453221,9206049933.30474,0.730202571661922,0.365866914051785,0.0885922532989258,0.0271581666801552,441120024531.2173,1.26970694278812,0.3892316935526934,4411200245.312173,0.7244480784955029,0.5242347226082174,35,3.4,0.0,119.0,3.4,0.5580456822450703,0.8117654157153575,0.0704459561602418,9.109828502,7.546413392,1.558515302,0.7428571428571429,0.7428571428571429,C2,C2,C2
plain,no_discretization,cpu,0,0.1575988313012271,0.0675932338513699,10244057897397.346,1.6894067188022754,0.7245768415364431,102440578973.97343,0.6417445482866043,0.4553667477484755,0.0736315741263608,0.035329307265489,1144283063008.1536,0.8786287045961557,0.4215765294340359,11442830630.081535,0.5079744337182248,0.732343227309028,10,2.3,0.0,23.0,2.3,0.6236169647518348,0.8154949767213919,0.1281914893617021,0.098570922,0.087131214,0.007663397,0.5,0.5,C2,C2,C2
plain,no_discretization,cpu,0,0.1661516606684902,0.064367712680977,4033126637447.044,1.3727690160877142,0.5318153381637489,40331266374.47044,0.7334423548650859,0.4326068460656282,0.0813421457841835,0.0360674156314496,901017653047.5378,1.2276016755682713,0.5443232341086598,9010176530.475378,0.704157930835279,0.5501001996812871,6,1.6666666666666667,0.0,10.0,1.6666666666666667,0.4690497719377326,0.7434704184704185,0.1914893617021276,0.058233907,0.052397908,0.002016772,0.1666666666666666,0.1666666666666666,C2,C2,C2
plain,no_discretization,cpu,0,0.2054311644539579,0.1078690290336894,1753533320629.182,1.172349488668385,0.6155843071178412,17535333206.29182,0.7992532711674893,0.1811070480054071,0.0597849767939906,0.0194714595415276,195873402836.5754,0.921066805439662,0.2999836413579603,1958734028.365754,0.588716271463614,0.7690930984584704,19,3.0526315789473686,0.0,58.0,3.0526315789473686,0.6852232850803709,0.8507532210033433,0.0884658454647256,0.750612883,0.669879136,0.07638825,0.8947368421052632,0.7894736842105263,C2,C2,C2
plain,no_discretization,cpu,0,0.238289459299553,0.1553486447146208,1578179988566.3274,0.9475022329426848,0.617707506594687,15781799885.663277,0.6831262999272639,0.3692333031918628,0.062152883674208,0.0196207362355062,352572125105.56635,0.9183496964146648,0.2899092704975611,3525721251.055664,0.4994665517998448,0.7705101389952409,29,2.6206896551724137,0.0,76.0,2.6206896551724137,0.6417991358069124,0.8665475375767288,0.0594277329420396,2.975359664,2.5482325990000003,0.418544378,0.7241379310344828,0.7241379310344828,C2,C2,C2
plain,no_discretization,cpu,0,0.1644933105738219,0.0524615466528575,4559186633635.342,1.5303115556844715,0.4880594280210462,45591866336.35342,0.7334423548650859,0.4236150361423643,0.0866442674345036,0.0241010847465119,512161590810.7994,1.294030305008822,0.3599491918971756,5121615908.107994,0.7334423548650859,0.4802835294878386,35,3.2,0.0,112.0,3.2,0.6643603116512213,0.8630709973966278,0.078419452887538,4.531401307,3.735091161,0.790335485,0.8571428571428571,0.8285714285714286,C2,C2,C2
plain,no_discretization,cpu,0,0.1924027987579121,0.1058292991437609,4389750265159.9023,1.3735953287070826,0.7555328294736495,43897502651.59902,0.7231526022552477,0.2618927121835824,0.0658485419167429,0.029634572721237,980688889025.8932,0.9156431903033084,0.4120773812130454,9806888890.25893,0.498121408369487,0.7477604966379571,19,2.3684210526315788,0.0,45.0,2.3684210526315788,0.5072450176616577,0.7459097324499876,0.1268197088465845,2.365009135,2.044255365,0.317150652,0.7368421052631579,0.7368421052631579,C2,C2,C2
