model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,dee,0.0,0.1488449558909935,0.1181358324910094,36474302434902.27,0.3201652084670768,0.2541099442067445,364743024349.0227,0.3537486610343849,0.7342287452196227,0.1211361465888586,0.0886006160800227,2332493619918.2227,0.2409134108068927,0.1762073272140348,23324936199.182228,0.4276557064717422,0.6943484509480489,13,3.230769230769231,2.769230769230769,78.0,6.0,0.5344820723963812,0.7883576986776635,0.2279549718574109,1607.5313510894775,10.045715645,25.370343663000003,0.9230769230769232,0.8461538461538461,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.2191249757569359,0.1873174299004617,36226911969101.07,0.5438157453657196,0.4648770292360713,362269119691.0107,0.5605969583579066,0.4693950797947839,0.127182217551045,0.095596261390068,6488516612274.946,0.2493800545665648,0.1874460230436425,64885166122.749466,0.4725627553328277,0.6740139478186615,6,2.3333333333333335,0.5,17.0,2.8333333333333335,0.5150954115058182,0.7537698910826004,0.2967479674796747,1040.5918760299685,6.569182739,12.459967531,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.2664455886461783,0.2205956224650247,43027996570566.46,0.6113038192891663,0.5061106367589879,430279965705.6646,0.6067282620507095,0.1907906797405878,0.1473109776369449,0.1093550335369428,3698260162413.736,0.293715313386151,0.2180370292892609,36982601624.13736,0.528173818524539,0.5571885603912329,16,3.125,0.625,60.0,3.75,0.543450079394081,0.7973304206513263,0.2513297872340425,27.001124620437626,2.505908704,2.0598320429999992,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.125,0.1883790568252527,0.1420110891768342,40551039749082.09,0.3855595476153356,0.290657211168505,405510397490.8209,0.555733034486274,0.3027575838539348,0.127360959419718,0.0937151757022754,4518559213081.609,0.2484414741065767,0.1828090531330083,45185592130.81609,0.4455699273380463,0.6776003813364208,8,2.625,1.75,36.0,4.5,0.5399556803065682,0.7824374503108718,0.3381458966565349,13.902223110198976,0.993946954,1.008913072,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.134014979147492,0.1101844623591844,36495044444841.27,0.3363126927546241,0.2765096369933012,364950444448.4127,0.2917269981171398,0.7281498382770988,0.1324108678358994,0.0979351342700491,3993378723447.87,0.2590587052219619,0.1916077546684526,39933787234.4787,0.4595016970724694,0.6585311675480661,11,1.9090909090909092,0.8181818181818182,30.0,2.727272727272727,0.4998256129669914,0.7713476102715837,0.2625034539928156,656.5593757629395,6.673975863000001,12.180834441999998,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.1971246761029871,0.1608904233911773,41134778262154.06,0.4260254436629653,0.3477160513914472,411347782621.5407,0.4720805909200473,0.3210541693101092,0.178788848364601,0.1315149925670889,4640203645426.2295,0.3488496958729574,0.2566097694538702,46402036454.2623,0.6329860805085483,0.3512704196683971,4,2.0,0.0,8.0,2.0,0.4716857298081526,0.7173858178939929,0.4855182926829268,40.22812867164612,0.3271552689999999,0.077630252,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.2109037566680894,0.1772427433641391,38975216175039.04,0.4628916937033986,0.3890124811839198,389752161750.3904,0.5537625892647877,0.547429644585131,0.1279514240865195,0.0943358062929539,4652095480850.102,0.2530977497946148,0.186603474469049,46520954808.501015,0.4898990258671408,0.6635684018630572,7,2.857142857142857,0.5714285714285714,24.0,3.4285714285714284,0.4744227127655976,0.7648910998440844,0.2626306620209059,1895.3669464588163,5.773689833,8.418479747000001,0.8571428571428571,0.8571428571428571,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.1693182181391271,0.1405704272119731,34500829156107.64,0.3533654026415739,0.293369054772602,345008291561.07635,0.3619800166290144,0.6549513341095914,0.1328612400574244,0.0964909883092254,3837953235749.54,0.2650115520935473,0.1924656623994772,38379532357.49539,0.5133569666362425,0.6355331359336173,18,2.4444444444444446,1.0555555555555556,63.0,3.5,0.5409309667707413,0.7847913334662636,0.1907181571815718,567.5534536838531,19.041456936000003,27.758894344,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.1768147917354135,0.1470937918362408,31991088793488.145,0.3296206605496327,0.2742143479735864,319910887934.8815,0.3984433089709275,0.5703101660730585,0.1381227139287417,0.1004211952020505,3494515226195.0093,0.2728233862818255,0.1983544179679675,34945152261.950096,0.4786679430300016,0.6138547409785923,10,2.7,1.0,37.0,3.7,0.4594429530092349,0.7561317943228204,0.2361702127659574,16.486281394958496,0.9258275769999998,0.606742903,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,dee,0.0,0.1625487753412562,0.1269880686781511,34579565398750.742,0.3103367737270395,0.2424445675008588,345795653987.50745,0.4116364142511597,0.5707912168165414,0.1375931983782548,0.1031831041433066,3736983198249.604,0.2827664453040699,0.2120505949271803,37369831982.49604,0.4544538059022303,0.6443462528829339,14,2.357142857142857,1.0714285714285714,48.0,3.4285714285714284,0.5121597897034984,0.8105299522297396,0.2194963091619626,227.0041193962097,5.760650696000001,8.565089958000002,0.9285714285714286,0.9285714285714286,C2,C2,C2
