model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,dee,0,0.1576904121194838,0.1271112286633717,42343308308233.16,0.3391917674823184,0.2734160037866436,423433083082.33154,0.3780706841140431,0.7017020012094997,0.1245181615332427,0.0848646638245,5388758410534.496,0.247639501891966,0.1687773319084679,53887584105.34496,0.718056273787319,0.6770431562440236,31,1.903225806451613,6.096774193548387,248.0,8.0,0.5037248969290471,0.8376566184639891,0.0656963021243115,1769.235164837,1754.2557678060002,14.958887449999995,0.935483870967742,0.8387096774193549,C2,C2,C2
complex,no_discretization,dee,0,0.2177852734661222,0.1678203809779763,34967020937141.63,0.5404909249187105,0.4164900201532981,349670209371.41626,0.6943216938616412,0.4758633483551971,0.1282465110460738,0.0881530289331966,2332493619918.1934,0.2514669309788163,0.1728512648141659,23324936199.18193,0.4348291547017736,0.6685352495650243,41,1.8780487804878048,5.7560975609756095,313.0,7.634146341463414,0.5307420256690699,0.8590348110655962,0.0626859012492563,2310.854670131,2290.105519129,20.729958262000004,1.0,1.0,C2,C2,C2
complex,no_discretization,dee,0,0.234188389832135,0.2034943598768964,35923399694920.69,0.5372964058627048,0.4668753572863294,359233996949.20685,0.6148418081100181,0.3748639723165667,0.1431892648990346,0.1042906974270483,3521759453013.253,0.2854972554523654,0.2079395260924767,35217594530.13253,0.5093550848616724,0.5816213372233221,21,1.380952380952381,4.476190476190476,123.0,5.857142857142857,0.4812001826979289,0.8200961408543318,0.1027645100593428,1088.306806474,1077.502643978,10.797373741000005,0.9523809523809524,0.9523809523809524,C2,C2,C2
complex,no_discretization,dee,0,0.2049404267069058,0.1565876862807306,37081229676893.84,0.4194560666184206,0.3204914521922444,370812296768.9384,0.5081877062993496,0.1747722281154762,0.1380392167544851,0.097560303314207,4057520572547.858,0.2692714207811788,0.1903096967869872,40575205725.47858,0.5281103596064873,0.6212724936976934,18,1.3333333333333333,3.8333333333333335,93.0,5.166666666666667,0.5591133751967318,0.8358221263233367,0.1891252955082742,1159.368930242,1146.236245787,13.115904801000005,1.0,1.0,C2,C2,C2
complex,no_discretization,dee,0,0.2162715470696506,0.1737711689340303,35012156068827.445,0.542736840492683,0.4360814747656221,350121560688.2745,0.5195326114062107,0.2920188686731564,0.1307458483490791,0.0935899078948437,3881870841085.48,0.2558011343029376,0.1831064228891601,38818708410.8548,0.5281081724048915,0.6670648717425338,39,1.358974358974359,4.923076923076923,245.0,6.282051282051282,0.5192060090620273,0.8371001716364649,0.0839373392564882,2478.448651384,2456.592358365,21.838946987,0.9230769230769232,0.9230769230769232,C2,C2,C2
complex,no_discretization,dee,0,0.1501735488544308,0.1265726730642567,33603879533824.44,0.3245547642331998,0.2735486001236874,336038795338.2444,0.2932416682172043,0.6059602560147324,0.128140300382016,0.0890007238040876,3961674837482.034,0.2500251286712038,0.1736566665959704,39616748374.82034,0.5219559040582955,0.6667621509594204,22,1.4545454545454546,4.5,131.0,5.954545454545454,0.5085124740916449,0.8377118638948293,0.1115576496674057,1294.814535037,1282.988384452,11.811673543,0.9545454545454546,0.9545454545454546,C2,C2,C2
complex,no_discretization,dee,0,0.1570774631004398,0.1371719862214804,33239817533716.344,0.3447537117682691,0.3010651589798233,332398175337.16345,0.3543286299058976,0.748958668904437,0.1159127072853563,0.0812531704034378,3599898321641.833,0.2292842427973914,0.1607250152908236,35998983216.41833,0.4828990899623858,0.7238985867227881,44,1.7272727272727273,5.090909090909091,300.0,6.818181818181818,0.4915170247116134,0.8357613666329743,0.0751108647450111,2603.75524345,2586.255625055,17.480073903999997,0.9772727272727272,0.9545454545454546,C2,C2,C2
complex,no_discretization,dee,0,0.1495523773638115,0.1266018151908137,33789872781667.527,0.3121142935708449,0.264216703268731,337898727816.6753,0.2961614622709728,0.7308095700535415,0.1202309594401392,0.0866859436292183,3677852319566.085,0.239818574304712,0.1729080389129572,36778523195.66084,0.4642218733868501,0.7015345448851346,41,1.4878048780487805,4.439024390243903,243.0,5.926829268292683,0.5024406783173136,0.8247368377175177,0.075698988697204,2387.438735573,2370.48711961,16.933999955999997,0.951219512195122,0.8536585365853658,C2,C2,C2
complex,no_discretization,dee,0,0.1154716527870687,0.0941141756569911,31788076136696.383,0.2152639046363685,0.1754489906792584,317880761366.9638,0.2551492236330439,0.8167395893974628,0.1186514174776337,0.0849914484240091,3478330519517.124,0.2343632019863651,0.1678772021233085,34783305195.17124,0.4730527738193667,0.7150515081322654,21,1.3333333333333333,3.9047619047619047,110.0,5.238095238095238,0.5014636997199959,0.8056045218397152,0.0913301490809089,996.043561746,988.436750723,7.5967108209999985,0.9523809523809524,0.9523809523809524,C2,C2,C2
complex,no_discretization,dee,0,0.1428495366000164,0.1132266627752183,23234814682143.176,0.2727271505047141,0.2161714054859588,232348146821.43176,0.3442218606195323,0.6685188256605613,0.1405456872625358,0.0964472257285925,4587236048743.2295,0.2888340765274739,0.1982077566344544,45872360487.4323,0.526070932342511,0.6289191833055459,24,1.8333333333333333,6.041666666666667,189.0,7.875,0.5303488247146769,0.8441628023960238,0.0710486322188449,1370.771056133,1360.5611556160002,10.192410869999998,0.9583333333333334,0.9166666666666666,C2,C2,C2
