model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,dee,0.25,0.1562337909134429,0.1275088486688788,37103672492039.19,0.3360585781223027,0.2742712836393723,371036724920.3919,0.3537486610343849,0.7071874377106027,0.1221366464674236,0.0885197769510733,2856617591813.26,0.2429031871457015,0.176046555794188,28566175918.1326,0.4197087181078097,0.6892786644083602,12,2.6666666666666665,2.3333333333333335,63.0,5.25,0.5398969191501983,0.7908709764159635,0.2459349593495935,1577.996999502182,8.644278719,19.793763464,0.9166666666666666,0.9166666666666666,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.2,0.2229281038382363,0.1911934438584151,38901458351357.19,0.5532541990386035,0.4744963682106046,389014583513.5719,0.5546497184008286,0.4508169119188046,0.1323547193563561,0.1000042960477415,4339248764595.04,0.2595223433809302,0.1960893376880089,43392487645.95039,0.512669613581392,0.6469590400350236,10,2.2,0.3,27.0,2.7,0.493797908141627,0.7790059014715827,0.2878048780487804,1031.6145367622375,5.123064959000001,15.148524429,0.7,0.7,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.2857142857142857,0.2507872872405119,0.2182288505222,50943332627933.61,0.5753791132300402,0.5006805722742032,509433326279.3361,0.6009558086774119,0.2831061693541482,0.1525842960971961,0.1078364287275527,3404837820327.992,0.3042294950784,0.2150091660936272,34048378203.27992,0.5227798660451635,0.5249183178575108,14,3.2857142857142856,0.5,57.0,4.071428571428571,0.4721036308595031,0.7700388969557238,0.2008250108554059,24.49649930000305,1.15767431,0.700174327,0.9285714285714286,0.9285714285714286,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.5833333333333334,0.1972219490187956,0.1522657355124844,35231353053165.85,0.4036584890327794,0.311645620754801,352313530531.6585,0.4993861359374967,0.2357612479418447,0.1515046841771729,0.1086241691848561,3855102461744.839,0.2955383442659646,0.211891845341342,38551024617.44839,0.5237371881377508,0.5437803401658039,12,3.0833333333333335,1.5,62.0,5.166666666666667,0.497865517258731,0.786822859393804,0.2246707193515703,13.915700197219849,0.8135820539999998,0.6361543920000001,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.0,0.1988333559642069,0.1727055568857789,36495044444841.49,0.498975426322801,0.4334073046119649,364950444448.4149,0.378753146760852,0.4015864829291021,0.156482509561575,0.1208097177490581,3993378723447.944,0.3061542982041702,0.2363613317381826,39933787234.47945,0.4752776403810798,0.5230911183964728,5,2.4,0.0,12.0,2.4,0.428074527796369,0.6925195764777163,0.4644376899696049,633.4722454547882,1.356109319,0.398670016,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.0,0.1474788820978995,0.1189702825979056,37354522191838.27,0.3187310559934698,0.2571183295185287,373545221918.3828,0.3241941565077433,0.6199744343151696,0.131871151181819,0.0963518248187287,4213772320420.986,0.2573046999574649,0.1880000072279283,42137723204.209854,0.5215744824653559,0.6470749849021342,10,3.1,1.0,41.0,4.1,0.5194762202641734,0.810955835650018,0.2234756097560975,47.58044147491455,2.1830087870000003,3.4409681910000005,0.8,0.8,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.125,0.2351751136047775,0.1761201239019955,38975216175039.125,0.5161624827040155,0.3865485553040511,389752161750.3912,0.6114604532131952,0.4372698338147377,0.1580545869609081,0.1182358126638829,4652095480850.148,0.3126441193610575,0.233879523764669,46520954808.50149,0.5117401655643716,0.4866415214572812,8,3.0,0.375,28.0,3.5,0.4820581001302524,0.7516609356555597,0.3071646341463415,1834.130563735962,4.582076485999999,7.803585683,0.875,0.875,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.0625,0.1700042743123758,0.1410184339955854,35847107752705.125,0.3547971949115326,0.2943040403826396,358471077527.0513,0.3619800166290144,0.6521494814160484,0.1334876464999868,0.0975291042800903,3928982340308.2095,0.2662610131366106,0.1945363394801149,39289823403.08211,0.5133569666362425,0.6320882999561324,16,2.125,0.75,47.0,2.9375,0.5397992041267996,0.7782856645817272,0.2044588414634146,531.730545759201,9.706628843,17.430253748,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.3076923076923077,0.1573615341117873,0.126172825257138,33781206447008.973,0.2933556197981944,0.2352131832211496,337812064470.0897,0.42742457267389,0.6596583869640251,0.1458942256510305,0.1031490187263071,3425085511981.4907,0.2881738676349329,0.2037424821747774,34250855119.814907,0.5104163962528863,0.5691791557032043,13,2.923076923076923,1.1538461538461537,57.0,4.384615384615385,0.4695089613403672,0.7602845302229403,0.1690437222352116,17.507848024368286,1.492235968,1.581311507,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,dee,0.0,0.1399146510071929,0.1082628216690186,29385075362015.297,0.267123891272384,0.2066944812153353,293850753620.1529,0.3360317245696037,0.681999660192217,0.1405372133726648,0.0997898896712089,3215388185510.0303,0.2888166619187218,0.2050772328297917,32153881855.100304,0.5430883773885434,0.6289639289429236,9,2.2222222222222223,0.8888888888888888,28.0,3.111111111111111,0.4655716191752138,0.7546856167183215,0.1968929415737926,220.657253742218,2.747083711,4.130906336,0.7777777777777778,0.7777777777777778,C2,C2,C2
