model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,dee,0,0.1897452946540056,0.1543980294421914,40742495711332.95,0.4081417570040918,0.3321098587947261,407424957113.3295,0.4706416881095489,0.5681014029155567,0.143775140199198,0.1032631619552279,4595952260120.074,0.2859374380810436,0.2053679372992916,45959522601.200745,0.6041401852605288,0.5694271002111184,20,2.35,0.0,47.0,2.35,0.4273002876434267,0.7374729217630315,0.1397865853658537,1356.943475262,1031.153112125,325.786115836,0.7,0.5,C2,C2,C2
plain,no_discretization,dee,0,0.2085959534941365,0.1773091847215241,38115896193471.51,0.5176852320819764,0.4400389600338454,381158961934.7151,0.4693230038687275,0.519161460365388,0.123350970395082,0.0911826589838932,4231890301479.7134,0.2418677101271499,0.1787917911071282,42318903014.79714,0.4483435504644252,0.6933581875848283,34,2.8529411764705883,0.0,97.0,2.8529411764705883,0.4466446272685183,0.7693595365489293,0.1185437589670014,3725.737417498,2632.287883797,1093.443508186,0.7647058823529411,0.5882352941176471,C2,C2,C2
plain,no_discretization,dee,0,0.2824854728430911,0.2298109197333835,43709786599010.72,0.6481039874598972,0.5272532139157576,437097865990.1072,0.6310458649326988,0.0904301737463676,0.1505750011298717,0.1129972074771401,4782833791989.216,0.3002232715743555,0.2252989610027846,47828337919.89216,0.4897083482563451,0.5373480908341073,4,1.25,0.0,5.0,1.25,0.4548872390274925,0.698409870324724,0.2644376899696048,0.187347414,0.178511844,0.005067859,0.75,0.75,C2,C2,C2
plain,no_discretization,dee,0,0.1971073935103738,0.1515649986592029,44076214949606.72,0.4034240257609682,0.3102114072668376,440762149496.0672,0.5275541736373619,0.2366487995897855,0.123702721233842,0.0929303896360357,4822929295397.904,0.2413053933823661,0.1812781805010554,48229292953.97904,0.4270879255957016,0.695855209349463,18,2.4444444444444446,0.0,44.0,2.4444444444444446,0.4163797972354285,0.743719941324108,0.0803782505910165,834.57694145,650.7589096789999,183.814485401,0.6111111111111112,0.5,C2,C2,C2
plain,no_discretization,dee,0,0.1408628259343091,0.1140269427475429,42497583684187.3,0.3534974717031844,0.2861524018132207,424975836841.873,0.3397089304592525,0.6996582527036619,0.1435228513873171,0.1080780192746746,4642862215086.255,0.2807990360446978,0.2114520672951927,46428622150.86255,0.4483867539560093,0.598813866656644,24,2.5,0.0,60.0,2.5,0.4460842280303603,0.7408478778348755,0.2430344478216818,1551.168317993,1201.408808982,349.7550941260001,0.8333333333333334,0.75,C2,C2,C2
plain,no_discretization,dee,0,0.2017416012158011,0.1546350133184506,42662423290463.88,0.4360035326999647,0.3341968720364744,426624232904.63873,0.643302609733242,0.2888780776538745,0.1597973124443145,0.1160746402416253,4812529456546.456,0.3117937408144985,0.2264828221516259,48125294565.46456,0.5997706814565105,0.4817709087803292,6,2.6666666666666665,0.0,16.0,2.6666666666666665,0.4356860413893131,0.7202168746286394,0.2728658536585366,277.226373099,225.489506276,51.733221362,0.6666666666666666,0.6666666666666666,C2,C2,C2
plain,no_discretization,dee,0,0.1928319036366473,0.1600737432310904,43695325980880.24,0.4232275796532724,0.3513299492255726,436953259808.8024,0.430284241760427,0.6216661070418603,0.141478677262533,0.1055049311383079,4929045918575.078,0.2798556961339692,0.2086968617503246,49290459185.75078,0.4772293026919772,0.5886717741542522,20,2.5,0.0,50.0,2.5,0.4352012740158856,0.7501847042442219,0.1065548780487804,1372.931554995,1051.342467949,321.5848438379999,0.75,0.7,C2,C2,C2
plain,no_discretization,dee,0,0.1722312121664388,0.1415915456493724,37274494827616.375,0.3594447916090842,0.2955001185868919,372744948276.16376,0.3974421934225123,0.6429765929915763,0.1288664360196615,0.0913854497692354,4235428324972.352,0.2570433198393582,0.1822819045768695,42354283249.72352,0.457334546996777,0.6571208459697151,48,2.9583333333333335,0.0,142.0,2.9583333333333335,0.4826366299401336,0.7953826748175411,0.1466590447154472,4178.571578453,3064.7087667570004,1113.8562801110004,0.875,0.75,C2,C2,C2
plain,no_discretization,dee,0,0.1558253098231218,0.1226374859583339,44909085035903.88,0.2904917685343248,0.2286225531980535,449090850359.0388,0.3834198005997143,0.6662710444577891,0.1604977780113838,0.1209090456735176,4914064016087.037,0.3170191639179975,0.2388225248004543,49140640160.87037,0.5974825501269615,0.4786149797556177,9,1.2222222222222223,0.0,11.0,1.2222222222222223,0.4058930287062978,0.6739428657817066,0.1361026680175616,0.429822337,0.4242069649999999,0.002699548,0.6666666666666666,0.5555555555555556,C2,C2,C2
plain,no_discretization,dee,0,0.1759959791503307,0.1303368879243307,35750307304629.52,0.3360100637102889,0.2488381054310743,357503073046.2952,0.4678577111978637,0.4968393275857397,0.1336276144954309,0.099149377396179,3921927661863.6914,0.2746168123911219,0.2037609222757923,39219276618.63692,0.4800201375213765,0.6645514741493711,46,2.717391304347826,0.0,125.0,2.717391304347826,0.4795055309401513,0.778835426653462,0.1704770714946478,5889.987396976,4149.022414587999,1740.958390034,0.8478260869565217,0.7391304347826086,C2,C2,C2
