model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,diabetes,0,0.4424048179179741,0.3983838792514956,475379960666886.1,0.6221317751971511,0.5602273301974158,4753799606668.861,0.5940726355276695,-0.3980144494073987,0.136399420833933,0.0807296923804098,62549994824590.41,0.2797517356833889,0.165574541493854,625499948245.904,0.5277777777777779,0.5304644048761347,12,1.0,2.3333333333333335,40.0,3.3333333333333335,0.5540510281236087,0.8081349206349207,0.1271929824561403,0.1571757793426513,0.089639005,0.027176745,0.4166666666666667,0.4166666666666667,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.2827696302820751,0.2434733234920898,175139985508852.94,0.4813100089907661,0.4144226782844082,1751399855088.5293,0.5,0.3571162708754858,0.1545954916536774,0.1050359462422788,23044734935375.59,0.3209205350261468,0.2180412359020295,230447349353.7559,0.5,0.4163228573911771,12,1.25,1.5833333333333333,34.0,2.8333333333333335,0.5350830833423635,0.844090413943355,0.1469298245614035,0.5914418697357178,0.0853418159999999,0.0282582509999999,0.4166666666666667,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.4334624372619968,0.4276857533277307,525404902925120.8,0.9247198661589268,0.9123962737658258,5254049029251.208,0.4710071210579859,-0.0748549550029118,0.0819745064132082,0.0494969015340793,31088029292269.33,0.1680178204440063,0.101450583582259,310880292922.6933,0.2692142381018892,0.8299718107323594,14,1.1428571428571428,2.0,44.0,3.142857142857143,0.6127486447174323,0.8505102040816327,0.1135531135531135,0.2473888397216797,0.1206572349999999,0.0553503219999999,0.5714285714285714,0.5714285714285714,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.3452723026293346,0.3194444444444443,437849963772132.94,1.242980289465604,1.149999999999999,4378499637721.3296,0.4999999999999996,0.3223684210526322,0.127869859425601,0.0918847168082876,22453844296006.97,0.2732561379505994,0.1963563811245598,224538442960.0697,0.3888888888888887,0.5790130182482385,7,0.7142857142857143,1.5714285714285714,16.0,2.2857142857142856,0.493182354857154,0.8047619047619048,0.1978021978021978,0.1280140876770019,0.0581706919999999,0.0159222019999999,0.4285714285714285,0.4285714285714285,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.3608766288369582,0.2957678724575591,594224950833607.5,0.7597402712357016,0.6226692051738087,5942249508336.075,0.5277777777777779,-0.0264586501732229,0.1185810126863945,0.0784528019765645,35284612465153.61,0.2507345509212317,0.16588514152876,352846124651.5361,0.3055555555555554,0.6531326720866153,12,0.25,2.3333333333333335,31.0,2.5833333333333335,0.5199258345683303,0.7897544283413849,0.1517094017094017,0.1541657447814941,0.081072738,0.0277201689999999,0.5,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.2713191833822515,0.2135026054725944,281474976710656.2,0.5727849426958643,0.450727722664366,2814749767106.562,0.4722222222222222,0.4159408827053302,0.1243417433218025,0.0828709079991178,28869228380580.3,0.2541132570943389,0.1693606329414286,288692283805.803,0.3888888888888889,0.6071576101120676,11,0.45454545454545453,2.4545454545454546,32.0,2.909090909090909,0.5397999894490536,0.8136363636363636,0.1445221445221445,0.1807050704956054,0.113591011,0.024648154,0.6363636363636364,0.6363636363636364,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.5454782560301316,0.5005578323766643,175921860444160.53,0.7792546514716165,0.715082617680949,1759218604441.6052,0.7437499999999999,-0.8033122897071141,0.1483184745925964,0.0992140680583633,45786866721926.98,0.3434164309676445,0.2297201427399582,457868667219.2698,0.415997657451014,0.5286224428190236,10,0.5,2.3,28.0,2.8,0.531809396860704,0.8270085470085469,0.1538461538461538,0.108213186264038,0.0626032949999999,0.017375253,0.4,0.3,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.4697242163935241,0.4278367006797438,630503947831871.4,1.409172649180572,1.2835101020392312,6305039478318.714,0.6999999999999998,-0.7332669393435984,0.1147684732740635,0.0814399717980496,35554733900293.54,0.1979365499734227,0.1404562297273473,355547339002.93536,0.3,0.7373440769340954,12,0.5,2.0,30.0,2.5,0.5626657670832983,0.8567129629629631,0.131578947368421,0.160269021987915,0.092998605,0.02758105,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.5045781231116903,0.4713893342835084,656774945658197.5,0.6880610769704868,0.6428036376593297,6567749456581.975,0.7022240038007007,-0.4144393462384226,0.1215559607452655,0.0797250465911664,34386252962129.457,0.2469820099657784,0.161988372523875,343862529621.29456,0.4166666666666667,0.6250657140059126,10,0.3,2.2,25.0,2.5,0.5714468394750616,0.8354166666666666,0.1256410256410256,0.1915540695190429,0.0887281059999999,0.033270121,0.5,0.4,C2,C2,C2
at_least_M-of-N,no_discretization,diabetes,0,0.426648388734931,0.3611101731316263,777162714003331.9,0.6826374219758898,0.5777762770106022,7771627140033.318,0.6902591511733395,-0.1780743395890454,0.149477302325125,0.094889966301681,48115380634300.48,0.3028371319833701,0.1922446070527564,481153806343.0048,0.5277777777777779,0.4498926664219029,13,0.8461538461538461,1.3846153846153846,29.0,2.230769230769231,0.5869603977845463,0.8824786324786326,0.126232741617357,0.2079930305480957,0.108253771,0.042271951,0.5384615384615384,0.5384615384615384,C2,C2,C2
