model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,diabetes,0,0.3916159485050915,0.3480685050513359,225179981368525.2,0.550709927585285,0.4894713352284411,2251799813685.2515,0.5947330710683914,-0.0954503651681606,0.1312528161229681,0.0781395740474279,36213154898447.17,0.2691961805940335,0.1602622748079181,362131548984.4717,0.4166666666666668,0.5652288385922328,15,0.06666666666666667,1.5333333333333334,24.0,1.6,0.529842787978639,0.7843650793650794,0.1210526315789473,0.474721611,0.462288029,0.002367489,0.6,0.2,C2,C2,C2
complex,no_discretization,diabetes,0,0.2977299059235294,0.2646715768486655,275219977228197.2,0.5067743079549437,0.4505048116573029,2752199772281.972,0.5,0.2872916833669654,0.1460822336839396,0.0987159754056117,36213154898447.23,0.3032480966306971,0.2049217820256098,362131548984.4723,0.4166666666666667,0.4788366843691034,12,0.3333333333333333,1.3333333333333333,20.0,1.6666666666666667,0.5452457555702728,0.8105413105413105,0.1578947368421052,0.476940903,0.461386818,0.004141339,0.5833333333333334,0.3333333333333333,C2,C2,C2
complex,no_discretization,diabetes,0,0.4254759002088695,0.4108050103995104,589143709352986.5,0.9076819204455886,0.8763840221856224,5891437093529.865,0.5232647287494046,-0.0356114830075589,0.1586093079622414,0.0913474019337539,60946148803447.18,0.3250911947138496,0.1872288354963364,609461488034.4718,0.5277777777777779,0.3634674020865873,14,0.42857142857142855,1.5714285714285714,28.0,2.0,0.6282815093041088,0.8579777365491651,0.2051282051282051,0.554548083,0.5355926019999999,0.0079787779999999,0.8571428571428571,0.5714285714285714,C2,C2,C2
complex,no_discretization,diabetes,0,0.4294340231594528,0.4166666666666666,875699927544264.4,1.5459624833740295,1.4999999999999991,8756999275442.644,0.5277777777777779,-0.0482456140350875,0.1587233116359814,0.1079610034106615,22453844296007.062,0.3391895426741522,0.2307111853707286,224538442960.07068,0.5000000000000001,0.3513450702624408,12,0.3333333333333333,1.1666666666666667,18.0,1.5,0.5211734315931971,0.844246031746032,0.1858974358974359,0.418933414,0.400628565,0.0054924309999999,0.5,0.4166666666666667,C2,C2,C2
complex,no_discretization,diabetes,0,0.3561258501887401,0.2947145755908038,603568870353290.0,0.7497386319762952,0.6204517380859028,6035688703532.9,0.5360768454505747,0.0003891927278584,0.1242364239832882,0.0860939403855048,28869228380580.3,0.2626926796273143,0.1820420064777843,288692283805.803,0.4166666666666667,0.6192578400842979,14,0.14285714285714285,1.5714285714285714,24.0,1.7142857142857142,0.5543175135741241,0.8647959183673469,0.1556776556776557,0.405540402,0.391070149,0.002750825,0.5,0.2857142857142857,C2,C2,C2
complex,no_discretization,diabetes,0,0.3185855762086197,0.2492325873602206,472593580067465.1,0.6725695497737527,0.5261576844271325,4725935800674.651,0.4722222222222222,0.1947179397381903,0.149757973385694,0.0956712591231273,35284612465153.734,0.3060555962642131,0.1955203024874392,352846124651.5373,0.4444444444444445,0.430145018724886,12,0.25,1.5,21.0,1.75,0.5632973358188204,0.8809999504852447,0.1816239316239316,0.380856721,0.364578916,0.003966112,0.6666666666666666,0.5,C2,C2,C2
complex,no_discretization,diabetes,0,0.5358443211182693,0.492505272392666,191426728908892.9,0.7654918873118133,0.7035789605609516,1914267289088.9292,0.6812499999999999,-0.7401765846951447,0.1425527109214121,0.0973883159353853,40073644565214.64,0.3300663881816741,0.2254927983067919,400736445652.1464,0.4375000000000001,0.5645589562412001,12,0.25,1.0,15.0,1.25,0.5483254100642072,0.8412698412698413,0.1688034188034188,0.337148247,0.3277175289999999,0.00384835,0.5,0.5,C2,C2,C2
complex,no_discretization,diabetes,0,0.416205723859971,0.3898766245531816,355299116865717.1,1.248617171579913,1.1696298736595447,3552991168657.1714,0.6259259259259259,-0.3608042255851507,0.165947641322613,0.1098076275220181,27653681922450.73,0.2862031938090453,0.1893807796900162,276536819224.5073,0.5666666666666665,0.4508586360788055,14,0.14285714285714285,1.4285714285714286,22.0,1.5714285714285714,0.6522070489520555,0.8962010212010213,0.1842105263157894,0.513749902,0.4966482979999999,0.006406762,0.7857142857142857,0.7857142857142857,C2,C2,C2
complex,no_discretization,diabetes,0,0.4660322329589815,0.4592939748741654,656774945658197.6,0.6354984994895203,0.6263099657374984,6567749456581.977,0.5833333333333333,-0.2065891230929695,0.1198602120441031,0.0855246545340331,33109687870784.72,0.2435365234586408,0.1737722358404957,331096878707.8472,0.4166666666666667,0.635453679295332,13,0.38461538461538464,1.6153846153846154,26.0,2.0,0.6443571420409656,0.8890054390054392,0.2209072978303747,0.478241208,0.4637631510000001,0.005827183,0.7692307692307693,0.6153846153846154,C2,C2,C2
complex,no_discretization,diabetes,0,0.4368666696372948,0.4038284689918771,713770120945208.4,0.698986671419672,0.6461255503870035,7137701209452.084,0.6339552180502821,-0.2351801408430258,0.1303631367830656,0.0810789117681961,48115380634300.42,0.26411232906699,0.1642637692966052,481153806343.0042,0.4722222222222221,0.5815856838209414,15,0.4,1.4666666666666666,28.0,1.8666666666666667,0.6418806640562794,0.8837169312169312,0.1282051282051282,0.478277555,0.464585976,0.003703622,0.6666666666666666,0.5333333333333333,C2,C2,C2
