model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,diabetes,0,0.4214550607926188,0.4038991814429014,399404729311205.9,0.5926711792396203,0.5679832239040802,3994047293112.0586,0.5,-0.2687454876265003,0.1781398460657496,0.1318587182764868,52553253856737.87,0.3653602839849258,0.2704388704681168,525532538567.37866,0.4722222222222221,0.1991233822999984,10,1.4,0.0,14.0,1.4,0.2805432139438012,0.6353030303030304,0.2184210526315789,0.221252546,0.193495169,0.025217467,0.0,0.0,C2,C2,C2
plain,no_discretization,diabetes,0,0.2874264183676177,0.2454078446175122,312255104831358.3,0.4892364567959449,0.4177154802000208,3122551048313.583,0.4756329721028826,0.3357672685375936,0.1390059044126005,0.0978340752427784,32082313695337.45,0.2885585390537747,0.2030910696997283,320823136953.3745,0.4722222222222221,0.5281048300960746,13,1.4615384615384615,0.0,19.0,1.4615384615384615,0.3404447357303011,0.6860696283773208,0.2044534412955466,0.321486822,0.277008853,0.041408711,0.2307692307692307,0.0769230769230769,C2,C2,C2
plain,no_discretization,diabetes,0,0.4147012610874807,0.4033310319615805,562949953421313.0,0.8846960236532924,0.8604395348513719,5629499534213.13,0.5,0.0161754904453187,0.1456718862730133,0.1025761832174357,26169281932704.26,0.2985742019376798,0.2102437390325252,261692819327.0426,0.4722222222222221,0.463073552356931,15,1.4666666666666666,0.0,22.0,1.4666666666666666,0.3664160685591212,0.6658512544802867,0.1504273504273504,0.471288904,0.416665051,0.0523510899999999,0.0,0.0,C2,C2,C2
plain,no_discretization,diabetes,0,0.4822817889460491,0.4525810596669979,1037443974477794.6,1.736214440205776,1.629291814801192,10374439744777.943,0.6944444444444445,-0.322123062446956,0.1286671857879532,0.0940762326889251,18856524142286.125,0.2749600134646671,0.2010396205407167,188565241422.86124,0.4166666666666667,0.5737465617322481,11,1.7272727272727273,0.0,19.0,1.7272727272727273,0.3565756205210039,0.6912878787878788,0.1375291375291375,0.392952161,0.3298105829999999,0.061626579,0.0,0.0,C2,C2,C2
plain,no_discretization,diabetes,0,0.3606290844101343,0.2940455180527981,594224950833607.5,0.7592191250739672,0.6190431959006278,5942249508336.075,0.5277777777777779,-0.0250509282560928,0.1569386879886736,0.1097227156186338,20084626348535.797,0.331840237855569,0.2320040553140992,200846263485.35797,0.4722222222222221,0.3924344787916648,8,1.5,0.0,12.0,1.5,0.3598822301541705,0.6726715686274509,0.1923076923076923,0.293060044,0.246854109,0.0442751699999999,0.0,0.0,C2,C2,C2
plain,no_discretization,diabetes,0,0.384512732318462,0.3521324750985953,529097981602586.8,0.8117491015611977,0.7433907807637014,5290979816025.868,0.4813398315277081,-0.1730519761476556,0.1663322770555502,0.1074763210383206,43883727240049.84,0.3399279723231332,0.2196459312049522,438837272400.4984,0.6388888888888888,0.2970288429525017,13,1.5384615384615385,0.0,20.0,1.5384615384615385,0.3258415810202436,0.662387899456865,0.1597633136094674,0.439807699,0.350293866,0.0854820499999999,0.1538461538461538,0.0769230769230769,C2,C2,C2
plain,no_discretization,diabetes,0,0.5056602074439832,0.4709516168045591,196652366726369.97,0.722371724919976,0.672788024006513,1966523667263.6997,0.6604880662662707,-0.5496499720744983,0.1546600248969985,0.1044064869305119,45430048343404.7,0.3580996494832173,0.2417426636164729,454300483434.0471,0.5312499999999998,0.487451989098051,12,1.5833333333333333,0.0,19.0,1.5833333333333333,0.4050268406114196,0.7224867724867724,0.1474358974358974,0.361219736,0.3097557909999999,0.049025478,0.1666666666666666,0.1666666666666666,C2,C2,C2
plain,no_discretization,diabetes,0,0.3726004902294419,0.3623855290631737,392189343191733.6,1.1178014706883257,1.0871565871895208,3921893431917.336,0.4354176388240783,-0.0906022667856865,0.144611140382981,0.0928004712170974,27653681922450.6,0.2494049924910718,0.1600492241868246,276536819224.50604,0.4,0.5829909387789884,14,1.3571428571428572,0.0,19.0,1.3571428571428572,0.3411333138405836,0.6642857142857143,0.0996240601503759,0.415718487,0.3661538349999999,0.046547201,0.0,0.0,C2,C2,C2
plain,no_discretization,diabetes,0,0.4563424775211304,0.4486111111111109,500399958596722.0,0.6222851966197233,0.6117424242424241,5003999585967.22,0.5555555555555556,-0.1569358710562411,0.169017199791737,0.1267348549643931,48115380634300.52,0.3434155550037609,0.2575046836034846,481153806343.0051,0.4166666666666667,0.2751227990097261,8,1.5,0.0,12.0,1.5,0.2946420375237952,0.6497549019607843,0.141025641025641,0.179303235,0.162582823,0.014863858,0.0,0.0,C2,C2,C2
plain,no_discretization,diabetes,0,0.439252410139629,0.3581779448065864,799940126043600.8,0.7028038562234066,0.5730847116905384,7999401260436.008,0.7104895570041241,-0.2487076805905665,0.167512662197072,0.1256886917046383,48115380634300.56,0.3393763026330291,0.2546420247522542,481153806343.0056,0.4166666666666667,0.3091365558668342,9,1.4444444444444444,0.0,13.0,1.4444444444444444,0.3046408269511853,0.7351851851851852,0.1339031339031339,0.168875185,0.152048732,0.0147705129999999,0.0,0.0,C2,C2,C2
