model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,echomonths,0.4230769230769231,0.3448202783269337,0.2606044091258276,20216275679294.19,0.6426757875627438,0.4857143109155211,202162756792.94196,0.6764387443420539,0.0336388042376474,0.1495121060901756,0.103902085088716,19003265432123.24,0.3842374703334801,0.267022352777128,190032654321.2324,0.4971529123334255,0.719345415731168,26,2.1923076923076925,1.5,107.0,4.115384615384615,0.4979033638775951,0.8368789330327794,0.0953320184089414,0.7256026268005371,0.5190330809999999,0.082665575,0.4615384615384615,0.3076923076923077,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.48,0.2754077147197269,0.2168720893950693,116757978174766.52,0.6492772549092007,0.511278759972832,1167579781747.6653,0.6219646192726074,0.4129822816466666,0.1847617622993607,0.126749501710205,50750216617705.33,0.4595957451601778,0.3152899764660043,507502166177.0533,0.7678983785306183,0.5677812758589367,25,1.16,2.0,91.0,3.64,0.4951227846360798,0.8376306119140539,0.0994871794871794,2.457019805908203,1.489400595,0.5610523270000001,0.52,0.24,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.25,0.3331060751526147,0.2548992235916579,6077732290648.875,0.6547652061419093,0.5010390236921937,60777322906.48875,0.6912310880941818,-0.0912656160639151,0.2044158379487727,0.1362990955987327,21056802198326.742,0.5277774770733121,0.351908117904742,210568021983.26743,0.8253908077237241,0.4754635312784483,16,2.0,1.6875,63.0,3.9375,0.5021413959949432,0.8185696645255468,0.1474358974358974,0.8775453567504883,0.4940132139999999,0.130556291,0.6875,0.5625,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.23809523809523808,0.2879207194299644,0.2447306187997126,3494216920529.711,0.8860168998883446,0.753108232731483,34942169205.29711,0.5425327188219492,-0.0056678066907831,0.171456661555452,0.1082840397658428,31030193518145.13,0.4287380862067154,0.2707710015742053,310301935181.4513,0.912280701754386,0.6239563917328999,21,1.7142857142857142,2.142857142857143,86.0,4.095238095238095,0.5488665597700217,0.8686861924788064,0.1090761090761091,3.029605865478516,1.5212637110000002,1.3174533540000002,0.6190476190476191,0.4761904761904761,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.47368421052631576,0.3322730579731378,0.2321738578028399,44712561682520.52,0.7348611614094707,0.5134799427755754,447125616825.20514,0.7369947941628765,0.096787552990877,0.2218424039649437,0.1405153289946435,12971086914898.305,0.5618940341975731,0.3559045685777736,129710869148.98305,0.9298245614035088,0.3761386376937364,19,1.7894736842105263,2.210526315789474,85.0,4.473684210526316,0.5391804617905231,0.8662881180357914,0.1367521367521368,2.616705179214477,1.412592569,0.557623802,0.4736842105263157,0.3684210526315789,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.3333333333333333,0.3126474547940783,0.2444186019968612,12155464581297.346,0.4864746111274654,0.380311569902452,121554645812.97343,0.5301449682840877,0.2812086874704583,0.1909531545201419,0.1348647908343954,12724311293756.336,0.4869853107054786,0.3439438967780432,127243112937.56335,0.6842105263157894,0.5539503050649173,12,0.9166666666666666,1.0,27.0,2.25,0.4968634121067496,0.7896367521367519,0.1659544159544159,0.2376933097839355,0.15233748,0.0342629839999999,0.6666666666666666,0.5833333333333334,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.38461538461538464,0.3858461664065592,0.2697047616739785,24310929162594.367,0.8258049049311116,0.5772339716315029,243109291625.9437,0.9097508408960968,-0.2831388168987203,0.2243988904442078,0.1533113145005804,57466156038818.69,0.5908078169650305,0.4036451466262815,574661560388.1869,0.912280701754386,0.321188898662385,26,1.2307692307692308,2.0,94.0,3.6153846153846154,0.4765370621595885,0.8509056489159756,0.1255752794214332,0.7347366809844971,0.48220468,0.089227108,0.4615384615384615,0.3461538461538461,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.4,0.3042863568763437,0.2162969314090584,197897538970778.25,0.7131064622034041,0.50689995149946,1978975389707.7825,0.7607304749474345,0.2975146850911917,0.1874618425962757,0.1246199341529248,16263115082008.666,0.4845670652226987,0.3221280390952928,162631150820.08667,0.8078848886647907,0.5233440853155631,15,1.3333333333333333,1.2666666666666666,45.0,3.0,0.5249343275174003,0.8258361080100209,0.1356125356125356,0.3586995601654053,0.237163803,0.032486707,0.6,0.4666666666666667,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.1724137931034483,0.3493998584023665,0.2931487552619619,43392699554445.3,0.7163323261869304,0.6010074839062445,433926995544.45294,0.7897887749845887,-0.5067034376425747,0.2210469996644999,0.1445150618182067,71349431353325.06,0.5826729014871739,0.3809371333065695,713494313533.2506,0.912280701754386,0.3916047718092605,29,1.793103448275862,2.310344827586207,124.0,4.275862068965517,0.5132141287018545,0.8738983801370371,0.1202475685234306,3.6446125507354736,1.618061082,0.2671656159999999,0.5862068965517241,0.1379310344827586,C2,C2,C2
at_least_M-of-N,no_discretization,echomonths,0.3,0.3027736360992555,0.2299272832137089,12597481475162.557,0.527894739645996,0.4008849808502548,125974814751.62556,0.7151345117386873,0.0622035875590469,0.191093599346573,0.1334018290555526,15234630493487.43,0.5021181346652502,0.350527060013263,152346304934.8743,0.7090909090909091,0.5230123814289654,10,1.6,1.7,36.0,3.6,0.4871572098615975,0.7815900319524629,0.1897435897435897,0.5833871364593506,0.306652763,0.106016402,0.6,0.5,C2,C2,C2
