model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,echomonths,0,0.3467775810194922,0.25425042651868,12155464581297.355,0.64632380691805,0.4738717626871456,121554645812.97356,0.8097376523128781,0.0226369592826474,0.1590856571266883,0.1053336201063888,7745392714031.32,0.4088409431128647,0.2707013150248581,77453927140.3132,0.5789473684210527,0.6822529885448219,18,0.7222222222222222,1.7222222222222223,44.0,2.4444444444444446,0.5339093473227802,0.8484260775927441,0.0664767331433998,6.669142367,6.585301434000002,0.070670733,0.7777777777777778,0.6666666666666666,C2,C2,C2
complex,no_discretization,echomonths,0,0.3788607169557616,0.2742839043196277,84743032065306.17,0.8931690477454484,0.6466278573338374,847430320653.0618,0.8967418546365915,-0.1108570114573339,0.2043390967597304,0.1319840576264488,21967846768424.008,0.508294455908483,0.3283109587134604,219678467684.24008,0.912280701754386,0.4713328519569537,23,0.6956521739130435,2.0434782608695654,63.0,2.739130434782609,0.5075582433810948,0.842066017977659,0.0717205499814195,6.37673286,6.237492725,0.125406829,0.6521739130434783,0.3478260869565217,C2,C2,C2
complex,no_discretization,echomonths,0,0.3807982273732084,0.2885682672453877,6077732290649.415,0.748510605008506,0.5672200991902467,60777322906.49415,0.809686725242111,-0.4261171444551379,0.1779628425164548,0.1242493164758079,19897914470091.223,0.4594789766714043,0.320797015709316,198979144700.91223,0.5964912280701755,0.6024376280875996,20,0.7,2.0,54.0,2.7,0.5163144488563027,0.8342293482379688,0.0858974358974359,5.552318177,5.465041663000001,0.074686292,0.6,0.4,C2,C2,C2
complex,no_discretization,echomonths,0,0.2503946208694765,0.2061843658445513,6077732290650.76,0.7705380362022055,0.6344900533477257,60777322906.5076,0.5285101394548999,0.2393958339384503,0.1647708736869526,0.1043950220266756,18998821843667.55,0.4120198562498264,0.2610462699272215,189988218436.6755,0.683841004747563,0.6527115229988327,24,0.75,1.75,60.0,2.5,0.5149408519279741,0.8398643586554772,0.0601851851851851,6.991221648,6.883847591,0.0947140919999999,0.625,0.3333333333333333,C2,C2,C2
complex,no_discretization,echomonths,0,0.330361199499935,0.2630451389876209,94613989427208.78,0.7306328603048354,0.5817554318688877,946139894272.0878,0.5789473684210527,0.1071515977993379,0.1994288243822378,0.1198546990466566,11144667951105.62,0.5051237485017638,0.3035742453255424,111446679511.0562,0.8947368421052632,0.4958325284235422,30,0.8333333333333334,1.9,82.0,2.7333333333333334,0.4834343848386939,0.8315805801990012,0.074074074074074,8.33808848,8.173665494,0.15091527,0.5666666666666667,0.3333333333333333,C2,C2,C2
complex,no_discretization,echomonths,0,0.4245576705953245,0.3582882638449792,12155464581297.332,0.6606051785711033,0.5574910051333073,121554645812.97331,0.6140350877192983,-0.3254593347070831,0.1957617824430496,0.1346246039189658,9149668587857.29,0.4992486910564812,0.3433313512564372,91496685878.57288,0.6842105263157894,0.5312023850109799,11,0.5454545454545454,1.3636363636363635,21.0,1.9090909090909092,0.5734593617144133,0.8614385614385616,0.0613830613830613,2.999764354,2.957449106,0.03011223,0.8181818181818182,0.7272727272727273,C2,C2,C2
complex,no_discretization,echomonths,0,0.3756773865379819,0.2564284898407106,142770312525717.1,0.8040412358221444,0.5488195117932284,1427703125257.171,0.9824561403508772,-0.216397088407358,0.2548554728949072,0.1902567024906586,187666787442591.3,0.6709953212539027,0.5009166793960531,1876667874425.913,0.912280701754386,0.1244207630381185,17,0.5882352941176471,2.0588235294117645,45.0,2.6470588235294117,0.5306374364293536,0.8694189797130975,0.0497737556561086,7.285307104,7.218710378000001,0.058584606,0.7647058823529411,0.4705882352941176,C2,C2,C2
complex,no_discretization,echomonths,0,0.3342583736016821,0.2215438540789338,140273482731590.0,0.7833470048012209,0.5191963110897463,1402734827315.9,0.9057220673023796,0.1523103506933079,0.193698908595665,0.132690629018552,13642830228874.588,0.5006891555908877,0.3429898468700478,136428302288.74588,0.7821883850374933,0.4910986876402875,15,0.26666666666666666,1.8,31.0,2.066666666666667,0.5273185815133035,0.8618578318578319,0.0945868945868946,3.995727033,3.933640069,0.0498074889999999,0.6,0.4,C2,C2,C2
complex,no_discretization,echomonths,0,0.3791699152448031,0.3394928058810448,139787842684914.9,0.7773662778495604,0.6960210930607801,1397878426849.1492,0.7430929191253015,-0.7743940513270071,0.2165561523488739,0.1380737242979849,39896244499307.61,0.5708351699662609,0.3639579712819216,398962444993.0761,0.7978146093605393,0.4160742822980057,29,0.8275862068965517,2.103448275862069,85.0,2.9310344827586206,0.4984874385190019,0.8484029272544289,0.0775125257883878,9.255891776,9.056297412,0.186744319,0.5517241379310345,0.2413793103448276,C2,C2,C2
complex,no_discretization,echomonths,0,0.3483525310002906,0.2978946003893418,112284445143136.05,0.6073628834616831,0.5193879973847111,1122844451431.3604,0.8004572549466897,-0.241396151625918,0.2120823720624296,0.1347739618274918,25435297581999.785,0.5572682989880503,0.3541324803429604,254352975819.99783,0.8727272727272727,0.4124782226704611,18,0.7222222222222222,1.7777777777777777,45.0,2.5,0.507773473630965,0.8498690113632642,0.1082621082621082,5.380067867,5.295000687,0.072885581,0.6111111111111112,0.4444444444444444,C2,C2,C2
