model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,echomonths,0.8076923076923077,0.3256114983175865,0.2422228246682456,26480997680653.16,0.6068744771510575,0.4514547269802428,264809976806.5316,0.7316552273877845,0.1383054386828059,0.1655742407987352,0.1143809217094881,26798739552335.49,0.4255162280873854,0.2939523571794128,267987395523.3549,0.5789473684210527,0.6558046753408558,26,1.9615384615384615,1.3461538461538463,107.0,4.115384615384615,0.4913179252789051,0.8510173733024413,0.0923734385272846,0.6175463199615479,0.4201871619999999,0.0711715219999999,0.4615384615384615,0.2307692307692307,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.7333333333333333,0.2610156206424998,0.2044278068158814,70783900592777.44,0.6153477066960488,0.4819412025970261,707839005927.7744,0.6219646192726074,0.4727312840273241,0.176904917481028,0.1240712048707075,17293644453905.344,0.4400518070425125,0.3086277005903577,172936444539.05344,0.6842105263157894,0.6037591965131559,15,1.2,1.4666666666666666,51.0,3.4,0.5095402619451138,0.8229617949391808,0.1065527065527065,1.3912053108215332,0.749619687,0.234600871,0.6,0.4,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.5882352941176471,0.3229848969966645,0.2520175295091266,90713442556207.4,0.6348706566394918,0.4953746628151905,907134425562.074,0.6759158688004495,-0.0259585014667831,0.1772636274568318,0.1235439311035504,17990758248078.133,0.4576736862212976,0.3189757942429647,179907582480.78134,0.5581769978102675,0.6055555317977224,17,1.6470588235294117,1.5294117647058822,64.0,3.764705882352941,0.493942296938509,0.8270472011648483,0.1347410759175465,0.8058574199676514,0.4990221989999999,0.108892517,0.5882352941176471,0.4117647058823529,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.6956521739130435,0.3144281455299115,0.2748285600342441,46134382171989.12,0.9675880613649936,0.8457284673517563,461343821719.8912,0.6374497316068303,-0.1993654629335075,0.1764062905816137,0.1137743179845136,34874956694886.184,0.4411149425904695,0.2844997850163934,348749566948.8618,0.8205102347763595,0.6019316759503064,23,1.1304347826086956,1.8695652173913044,85.0,3.6956521739130435,0.5158749433715546,0.8310853445404431,0.0966183574879227,2.7172605991363525,1.501625879,1.010680413,0.7391304347826086,0.3478260869565217,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,1.1111111111111112,0.2845684604893773,0.2174441712454537,49694907634666.64,0.6293568026590792,0.4809034990615222,496949076346.6664,0.5233807024586281,0.3375193681426497,0.1878356538222999,0.122726944786334,9733115185538.271,0.4757599602510133,0.3108492194379269,97331151855.38274,0.6842105263157894,0.5527451842218059,27,1.6666666666666667,2.0,129.0,4.777777777777778,0.5316731569965903,0.8370818253661393,0.1073124406457739,2.759466648101806,1.5458937519999998,0.575476759,0.6666666666666666,0.4444444444444444,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,1.25,0.3869484149616712,0.3290827710229659,97709197360245.16,0.6020857576430636,0.5120477093523369,977091973602.4517,0.6021505376344085,-0.1010300406736288,0.1992158768154275,0.1527956324590978,62225684918165.24,0.5080576223640865,0.3896726856098371,622256849181.6525,0.7382581134080856,0.5145131548885024,24,0.7916666666666666,0.75,67.0,2.7916666666666665,0.4694809475036852,0.8275899184509025,0.11502849002849,0.3937540054321289,0.268753606,0.0662908939999999,0.4166666666666667,0.25,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.8333333333333334,0.3480450495558715,0.2431762790834281,80131556975079.52,0.7449012950860423,0.5204565485261177,801315569750.7952,0.9269005847953216,-0.0440377109142349,0.2044888040129913,0.1448893998363154,63254058369320.4,0.538387617040126,0.3814715386926126,632540583693.204,0.5859015119437502,0.4363018680563474,30,1.0333333333333334,1.8333333333333333,111.0,3.7,0.4506959025042585,0.835363214033291,0.0997150997150997,0.7924833297729492,0.5272112970000001,0.0959341609999999,0.4,0.3,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.7391304347826086,0.3154537173228644,0.2244979151085729,168250580187609.94,0.7392775892362367,0.5261192636387986,1682505801876.0994,0.7831716588283102,0.2450058476944563,0.1975512325661884,0.1358606165095954,38177137438441.56,0.5106469651100429,0.3511838959311985,381771374384.4155,0.775729086271069,0.4706551272373107,23,1.0869565217391304,1.1304347826086956,68.0,2.9565217391304346,0.5134649701802011,0.8603511318042212,0.1441843180973616,0.4365620613098144,0.2975745410000001,0.04715977,0.5652173913043478,0.4782608695652174,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.5,0.3858403642349934,0.328724331250058,6077732290649.276,0.7910418937004167,0.6739437902330939,60777322906.49277,0.7000825249046638,-0.8373743430711567,0.2055396639079695,0.1401814168039641,83892524273427.66,0.5417960547834975,0.3695137820812793,838925242734.2766,0.8516646827280495,0.473973244686834,30,1.7,2.0,126.0,4.2,0.4741190445412598,0.8408132774234925,0.1153846153846153,3.178040742874145,1.199909035,0.225432672,0.4666666666666667,0.2,C2,C2,C2
exact_M-of-N,no_discretization,echomonths,0.7894736842105263,0.3071352743610738,0.2443932613104525,90433048420443.12,0.5354993842389546,0.4261068391318713,904330484204.4312,0.7055309856138653,0.0349899199290325,0.1960121020495079,0.1352396344702729,21589282783682.98,0.5150420076311082,0.3553560832242575,215892827836.8298,0.6793425447118702,0.4981422942981998,19,1.368421052631579,1.631578947368421,72.0,3.789473684210526,0.5097913915939296,0.8391929586331862,0.1241565452091767,0.7510333061218262,0.467187123,0.1018830579999999,0.7368421052631579,0.4210526315789473,C2,C2,C2
