model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,echomonths,0,0.3173273540927707,0.2314200092242214,12155464581297.283,0.5914344950833004,0.4313204472996241,121554645812.97284,0.7126052162953893,0.1815938062262621,0.1796317099862449,0.1211103323779878,18574951199801.38,0.4616431113288119,0.3112465536141813,185749511998.0138,0.6491228070175439,0.5948783709387147,23,3.9130434782608696,0.0,90.0,3.9130434782608696,0.4861099592266756,0.8394871529054437,0.0943887030843552,2.059232309,1.626555321,0.427999389,0.5652173913043478,0.3478260869565217,C2,C2,C2
plain,no_discretization,echomonths,0,0.2008832925234093,0.1379933142486624,9181341925666.346,0.4735849642391256,0.3253210258193856,91813419256.66344,0.5146935381569738,0.6876894588431842,0.1803554610600188,0.1236271805122352,8671816605520.702,0.4486350502832025,0.307523187928421,86718166055.20702,0.631578947368421,0.5881510348078752,26,3.8846153846153846,0.0,101.0,3.8846153846153846,0.503219882430722,0.8479958277017101,0.07922419460881,4.040126837,3.2611108840000003,0.773631538,0.6153846153846154,0.4230769230769231,C2,C2,C2
plain,no_discretization,echomonths,0,0.255160350007962,0.1932901439627938,3325097661777.3384,0.501552303108434,0.3799380149371754,33250976617.773384,0.5387776796606373,0.3596878492645032,0.19063680303987,0.1283360083049601,9070865670702.826,0.4922016412980617,0.3313483698744789,90708656707.02826,0.6842105263157894,0.5437949401290689,25,3.92,0.0,98.0,3.92,0.5087978696137108,0.8574421265009502,0.0905982905982906,1.943814157,1.5653722120000002,0.3736745569999999,0.72,0.56,C2,C2,C2
plain,no_discretization,echomonths,0,0.2621083103542342,0.2028169078874813,6077732290649.21,0.8065845106069915,0.6241273928711384,60777322906.492096,0.4912303584917258,0.1665677689603942,0.1736350052839562,0.1170913943005543,17809828102980.324,0.4341851706931773,0.2927943414287203,178098281029.80325,0.631578947368421,0.6143404822501991,17,3.6470588235294117,0.0,62.0,3.6470588235294117,0.4355346886361401,0.7962084076054665,0.094017094017094,3.671558049,2.940509351,0.726783928,0.5294117647058824,0.2352941176470588,C2,C2,C2
plain,no_discretization,echomonths,0,0.2952459299679531,0.2364687063671544,105413639745410.66,0.6529712890992491,0.5229785082725865,1054136397454.1066,0.5789473684210527,0.2868719879526678,0.175840426532478,0.1217908860643757,11533001925002.928,0.4453778217034167,0.3084783209887285,115330019250.02928,0.543859649122807,0.608044808793959,23,3.8260869565217392,0.0,88.0,3.8260869565217392,0.4485531084157586,0.8123142703463071,0.0806391675956893,2.844256556,2.290792875,0.54836466,0.391304347826087,0.3043478260869565,C2,C2,C2
plain,no_discretization,echomonths,0,0.257256405769193,0.1925975445645091,12155464581297.137,0.4002869943049605,0.2996788048629234,121554645812.97134,0.4912280701754385,0.5133402600220749,0.1837917805331904,0.1267522013313947,18097861120963.992,0.4687217531073984,0.3232544667988801,180978611209.63992,0.5614035087719298,0.5867796107871868,17,3.588235294117647,0.0,61.0,3.588235294117647,0.4525331371367889,0.7876723196566736,0.1030668677727501,1.469262192,1.20710344,0.258156205,0.5294117647058824,0.4705882352941176,C2,C2,C2
plain,no_discretization,echomonths,0,0.2925117835403766,0.2314621863146579,59726166824022.5,0.626046561113855,0.4953855329051522,597261668240.225,0.6666666666666667,0.262550992089819,0.1565809387753528,0.1031972089943099,17631301989294.94,0.4122535652162763,0.2717024029937043,176313019892.9494,0.5964912280701755,0.669489462159675,29,4.0,0.0,116.0,4.0,0.4451913755582806,0.7977424873976598,0.0621868552903035,3.890210873,3.1940644310000006,0.691099957,0.4482758620689655,0.2068965517241379,C2,C2,C2
plain,no_discretization,echomonths,0,0.2636463343120961,0.1916629028049436,18233196871945.69,0.6178650487790279,0.4491691837843747,182331968719.4569,0.5614035087719298,0.4726295838500832,0.181265845382586,0.1240851145923373,9454250229897.922,0.4685511328901031,0.3207455927194952,94542502298.97922,0.5446002064972507,0.5543322737036063,17,3.9411764705882355,0.0,67.0,3.9411764705882355,0.4589687009444081,0.8207368728821237,0.1030668677727501,2.568578796,2.0251265920000003,0.5386026079999999,0.5294117647058824,0.4117647058823529,C2,C2,C2
plain,no_discretization,echomonths,0,0.2791609708017199,0.2133312687462942,6077732290649.02,0.5723300189913397,0.4373673323400727,60777322906.4902,0.5069285640131925,0.038184592706096,0.1920483988236639,0.1316578820855294,34025402097048.59,0.5062335066225354,0.3470460140823699,340254020970.4859,0.6842105263157894,0.5407618788800458,18,3.7777777777777777,0.0,68.0,3.7777777777777777,0.4184313741569129,0.8089702610051449,0.0911680911680911,2.001751104,1.5615700360000004,0.436179421,0.1666666666666666,0.1666666666666666,C2,C2,C2
plain,no_discretization,echomonths,0,0.2735213317366208,0.2305364016652277,12597481475162.574,0.4768924866278494,0.4019469967857264,125974814751.62576,0.5272727272727273,0.2346592128078186,0.18593089143284,0.1158777677453283,20555097954450.555,0.4885525873296555,0.3044807821319674,205550979544.50555,0.7090909090909091,0.5484374388079034,18,3.7222222222222223,0.0,67.0,3.7222222222222223,0.4605782509000463,0.8299664944109391,0.0968660968660968,2.74036151,2.133725521,0.6022587779999999,0.5,0.3333333333333333,C2,C2,C2
