model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,ele-1,0,0.1588499208932018,0.088047275372394,6323799079183.183,0.726633175307624,0.4027579675286162,63237990791.83183,0.7295589203423305,0.3015252634051701,0.1259537086339928,0.0765076596909446,988420893219.0004,0.5793363558399086,0.3519044356843137,9884208932.190004,0.8387779723942203,0.3105402811484692,21,0.8571428571428571,7.571428571428571,177.0,8.428571428571429,0.5692599831220353,0.8998688385710985,0.1488496522204387,585.271255532,579.052720864,6.203321997,0.9523809523809524,0.9523809523809524,C2,C2,C2
complex,no_discretization,ele-1,0,0.1385033029505627,0.0835008998735146,5198201222676.502,0.651172758158802,0.3925791668577499,51982012226.76502,0.7378851215358415,0.3512595067107161,0.1492455907088026,0.0921439572896358,1057782847913.5784,0.5847622417769427,0.3610311485584696,10577828479.135784,0.7378851215358415,0.2788787550862662,22,0.9545454545454546,7.090909090909091,177.0,8.045454545454545,0.5341193915044132,0.8866045717483186,0.1257405515832482,655.691918144,649.690683494,5.994506337,0.9090909090909092,0.7727272727272727,C2,C2,C2
complex,no_discretization,ele-1,0,0.1780619663954398,0.1150396191226615,6295271887970.324,0.6942334008548413,0.4485199598391961,62952718879.70324,0.73100724160632,0.0551960932362005,0.1297121372543881,0.0772339438405779,1367313580154.829,0.5945401436631758,0.3540044982575248,13673135801.54829,0.8387460479929525,0.2801586362925796,37,0.8378378378378378,7.243243243243243,299.0,8.08108108108108,0.5929215610911557,0.8979150678944774,0.1361047145800509,1120.632019188,1111.239292859,9.382695259999997,0.918918918918919,0.918918918918919,C2,C2,C2
complex,no_discretization,ele-1,0,0.2384004281687949,0.1575194981652539,5844077136038.667,0.7232223994627751,0.4778583255923814,58440771360.38667,0.8775373478713617,-0.0649537664520409,0.1202663192184616,0.0699588654622851,1008621843289.8964,0.5588921136959717,0.3251072989019077,10086218432.898964,0.8233770049693571,0.3849842296009418,28,0.9642857142857143,5.928571428571429,193.0,6.892857142857143,0.5603432765771627,0.8766474557493658,0.0988949391415759,771.022224428,764.7105270589999,6.296533055,0.9285714285714286,0.9285714285714286,C2,C2,C2
complex,no_discretization,ele-1,0,0.196146401847802,0.1199072655052611,6230163913495.059,0.773249611404353,0.4726991960242311,62301639134.95058,0.7137590520078999,0.1949284603126295,0.1218574762314892,0.0747267958766356,1407431086010.0413,0.565546231753321,0.3468105456143533,14074310860.100412,0.8615365200185684,0.3228834380027929,31,0.8709677419354839,7.548387096774194,261.0,8.419354838709678,0.5804282445828827,0.8935873141498618,0.1425575003616375,881.428255216,873.6453787390001,7.774626771999999,0.967741935483871,0.967741935483871,C2,C2,C2
complex,no_discretization,ele-1,0,0.1845488137821887,0.1171515897297513,4390590186871.731,0.635847392790547,0.4036359343866966,43905901868.71732,0.7250782129446811,0.171233503990677,0.1180390140929072,0.0755774501172385,707453296950.361,0.5423945704922131,0.3472817772179228,7074532969.50361,0.7204925893743446,0.4057961055267112,29,0.9655172413793104,5.689655172413793,193.0,6.655172413793103,0.5334411920456705,0.8724670835174446,0.0953118946144905,802.966418343,796.602365401,6.349188114,0.8620689655172413,0.8620689655172413,C2,C2,C2
complex,no_discretization,ele-1,0,0.2142218960250346,0.1456621342361043,8087592815540.534,0.7542434988064126,0.5128547539183834,80875928155.40533,0.6847893513036868,0.2253932405239075,0.1244413661089287,0.0765785801661649,1389201948079.923,0.5712467105745889,0.3515331226925147,13892019480.79923,0.8399145270290168,0.3352453351404392,61,0.7704918032786885,8.540983606557377,568.0,9.311475409836065,0.5523295649353961,0.8996319607147181,0.1028550377601768,1790.102892334,1773.6175493880005,16.469711242000002,0.9344262295081968,0.8524590163934426,C2,C2,C2
complex,no_discretization,ele-1,0,0.2621184929799757,0.1708914649506765,6245689435338.804,0.806846765947018,0.5260339484476395,62456894353.38804,0.784328288212076,-0.1414118051638919,0.1349269952771144,0.0774765342157645,1282874340443.8103,0.6161031076014787,0.3537730414769057,12828743404.438105,0.909940750493746,0.2227128604715642,31,1.1612903225806452,7.290322580645161,262.0,8.451612903225806,0.5669070921921759,0.8934699446129238,0.1150416817687567,821.358217685,814.9729528259998,6.376655832000001,0.935483870967742,0.8709677419354839,C2,C2,C2
complex,no_discretization,ele-1,0,0.2742823154327897,0.1881544027354235,12434314927429.396,0.7268813304513795,0.4986319383180303,124343149274.29396,0.922600307069544,-0.3629226608272256,0.1242893040585688,0.0731897006563157,708414664307.2795,0.5822973163027426,0.342894882194294,7084146643.072796,0.8619893024447227,0.3389392735414664,44,0.8409090909090909,8.022727272727273,390.0,8.863636363636363,0.5582852858404546,0.8983577277584218,0.1079800244598451,1486.492581266,1471.91754866,14.563351157,0.9318181818181818,0.8863636363636364,C2,C2,C2
complex,no_discretization,ele-1,0,0.2318209558133689,0.1604102967523291,6911482412342.538,0.7054284162282752,0.4881266285339742,69114824123.42538,0.7051771307997394,-0.0969444791699569,0.1243825213037627,0.0701455788034674,1328831688310.4368,0.5787097331072409,0.3263636141357071,13288316883.104368,0.9091799905294928,0.3259481800197723,41,0.9512195121951219,8.121951219512194,372.0,9.073170731707316,0.5421160199504695,0.8880748639094737,0.1024827737066608,1201.444193302,1189.277167956,12.155854093,0.902439024390244,0.7073170731707317,C2,C2,C2
