model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,ele-1,0,0.1628686987975862,0.0891717113128988,4600607700129.426,0.7450164224197343,0.4079015171966598,46006077001.29426,0.7529953917050691,0.2657364829681805,0.1173615789544543,0.073346153329701,678252668518.0283,0.5398160181584475,0.337362779117377,6782526685.180284,0.7529953917050691,0.4013970313186112,26,0.9230769230769231,2.923076923076923,100.0,3.8461538461538463,0.4465907597013537,0.7922629686647914,0.0833189282627484,337.88201689720154,15.465329469,149.598733567,0.9230769230769232,0.7307692307692307,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.1335479035019154,0.071204838414239,5987377594582.988,0.6278749662793834,0.3347692801304668,59873775945.82988,0.780151726273417,0.3968506066706552,0.1269949492468103,0.076605891505439,1316258178421.3765,0.4975815423640105,0.3001511310136123,13162581784.213764,0.6425143211023379,0.4778705740807625,21,0.8571428571428571,2.3333333333333335,67.0,3.1904761904761907,0.4489945028634355,0.7956244457625601,0.1305510968432316,269.7772696018219,12.508627629,111.14744903,0.8571428571428571,0.7619047619047619,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.1652070422704776,0.1016561269577824,6274983119817.091,0.6441142323784901,0.3963399942405678,62749831198.170906,0.7442947827723538,0.186689344454086,0.1284548270846453,0.0824216642604216,853702003026.6819,0.5887772182749214,0.3777825972772748,8537020030.266819,0.7314022383146808,0.2940459633825315,12,0.9166666666666666,1.75,32.0,2.6666666666666665,0.4912314401239916,0.794641668830726,0.2130044843049327,747.545746088028,16.160524258000002,167.985788802,0.8333333333333334,0.75,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.2061950210770878,0.1479499717436475,7384104903663.917,0.6255226093598452,0.44882777429045,73841049036.63918,0.5842529093748936,0.2033399478911737,0.1029854473389538,0.066108196117694,1125091874744.3054,0.4785858145258481,0.3072127732930087,11250918747.443054,0.5358111307309275,0.5490276317503378,18,0.8333333333333334,2.9444444444444446,68.0,3.7777777777777777,0.4128728038728513,0.7862214804886941,0.0990284005979073,297.87522554397583,12.119241848,182.2964139,0.6111111111111112,0.3888888888888889,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.1928010026496858,0.1124889256512398,4236870075956.709,0.7600613570924385,0.4434545687695422,42368700759.56709,0.7336046807594101,0.2221562638790009,0.1146347267216138,0.0711496317292999,380221340504.39386,0.5320251143419574,0.3302087599344527,3802213405.0439386,0.7364055299539171,0.4007728559240934,22,0.5909090909090909,2.6363636363636362,71.0,3.227272727272727,0.4333539605419991,0.7741504877016596,0.0841826335099877,730.9318492412567,22.834483501,288.868229394,0.8636363636363636,0.5454545454545454,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.190475860670549,0.1257797978398772,4866262616197.251,0.6562685335915885,0.4333636986504802,48662626161.97251,0.7494356616253623,0.1171446381087779,0.1161518846874738,0.0745027460158735,268336883787.15616,0.5337231261296091,0.3423434636108021,2683368837.871561,0.6794163652148215,0.4246437049190679,18,0.7777777777777778,2.0,50.0,2.7777777777777777,0.4677655022886779,0.7937520209045152,0.0915106117353308,219.18561172485352,8.643093623000002,86.185713441,0.8888888888888888,0.8333333333333334,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.1971442767125398,0.1253009727063704,5775518152810.995,0.6941157360494499,0.4411661263928651,57755181528.10996,0.6937979680435898,0.3439727007648461,0.1109289675613974,0.0707996607796262,726126894460.594,0.5092181949482546,0.3250050573597515,7261268944.60594,0.6937979680435898,0.4717715414897034,23,0.6956521739130435,2.260869565217391,68.0,2.9565217391304346,0.4274774306499116,0.790013953920333,0.121152906692721,11540.817210435867,144.593134289,3378.0974318830004,0.782608695652174,0.782608695652174,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.2382611590389411,0.1587205630686326,9189622724825.432,0.7334097012225833,0.4885697744760007,91896227248.25432,0.7242630773423109,0.0569091409416619,0.1283477489532781,0.0785554729883864,858045094501.819,0.5860609792826348,0.3586996873964919,8580450945.018189,0.8755760368663594,0.2966681310096744,20,0.9,2.55,69.0,3.45,0.46725132759275,0.8144837765321323,0.1173033707865168,868.9843611717224,24.066645807,360.9652506940001,0.9,0.9,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.264457401240832,0.1944538347841807,11359220126212.326,0.7008441187990271,0.515326195625373,113592201262.12326,0.7207663166317569,-0.2670304441603719,0.1088004242569214,0.0707742055208918,623993033839.5333,0.5097316743164866,0.3315782500387477,6239930338.395333,0.4984414716654025,0.4934351844233315,22,0.8181818181818182,2.3181818181818183,69.0,3.1363636363636362,0.435066049600523,0.7635783267454463,0.0978393803505911,2929.2936248779297,66.305505813,906.156920236,0.7727272727272727,0.6818181818181818,C2,C2,C2
exact_M-of-N,no_discretization,ele-1,0,0.2131437072856099,0.1507027735759793,9068214449831.332,0.6485937707053485,0.4585867507616439,90682144498.31332,0.6793943383805134,0.0726913879263073,0.1007706308761876,0.0674529314282954,1992567300636.0889,0.4688516062235722,0.3138356381186252,19925673006.36089,0.4835929766551351,0.5575720771489339,22,1.2272727272727273,3.227272727272727,98.0,4.454545454545454,0.4312330150373473,0.8071486465113563,0.0818385650224215,3731.63730597496,77.426153045,1148.215901916,0.7272727272727273,0.5454545454545454,C2,C2,C2
