model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,ele-1,0,0.1355342529570192,0.0931857034778852,12236140109725.893,0.6199794374170209,0.426262872720815,122361401097.25893,0.4935937773869333,0.4915188830589799,0.1086185737365068,0.0761183408349842,2749694406680.6543,0.4996017137367035,0.3501137256709449,27496944066.80654,0.476366030283081,0.4872623950823793,21,1.5714285714285714,0.0,33.0,1.5714285714285714,0.3706525878432393,0.7160763863123595,0.1390048154093098,201.66186645,180.970970667,20.687158177,0.3333333333333333,0.2857142857142857,C2,C2,C2
plain,no_discretization,ele-1,0,0.1276093918150784,0.0868627066816517,14042807941670.703,0.5999550759078431,0.4083846889284623,140428079416.70706,0.623006657377303,0.4492987989060647,0.1318517641225106,0.0951634423528879,3155687177903.919,0.5166111293764098,0.3728618555576761,31556871779.03919,0.623006657377303,0.4371700991468382,2,1.0,0.0,2.0,1.0,0.4132945080819017,0.7420801887842561,0.4943820224719101,0.070063699,0.066038109,0.001612468,0.5,0.5,C2,C2,C2
plain,no_discretization,ele-1,0,0.1517585010072983,0.1038824791772223,12186118216235.73,0.5916806513804047,0.405020163869662,121861182162.3573,0.6784726793943383,0.3137135781067363,0.1155540837868887,0.0821897224100113,2677667231370.345,0.5296462075926462,0.3767194836474838,26776672313.703453,0.6784726793943383,0.4287237555582257,2,1.0,0.0,2.0,1.0,0.4059834347474982,0.7445452508960573,0.492152466367713,0.07269591,0.06828242,0.002265409,0.5,0.5,C2,C2,C2
plain,no_discretization,ele-1,0,0.2177290145560297,0.1664013246457982,12137843490300.81,0.6605126574201708,0.5048026390242483,121378434903.0081,0.5629378440514301,0.1117211827083217,0.1065632719234839,0.0739704771729605,2667059780380.7397,0.4952123975748324,0.3437497431279944,26670597803.807392,0.4799202507010902,0.517148809513547,19,1.4210526315789473,0.0,27.0,1.4210526315789473,0.3574545876686091,0.7306492508432055,0.1056171819683738,216.882552275,198.992141668,17.887157935,0.3684210526315789,0.3157894736842105,C2,C2,C2
plain,no_discretization,ele-1,0,0.1838604844006221,0.1197050586429233,11907785824005.52,0.724815988343812,0.4719020548263655,119077858240.0552,0.685319289005925,0.2926235738821102,0.1115482772100414,0.0794365540227374,2616508992719.448,0.5177007581781161,0.3686687528772169,26165089927.19448,0.685319289005925,0.432605903826558,2,1.0,0.0,2.0,1.0,0.4350030110676007,0.7557123655913979,0.492152466367713,0.067034075,0.0636337,0.001502574,0.5,0.5,C2,C2,C2
plain,no_discretization,ele-1,0,0.1907280170030718,0.1413043411107602,10707294905567.338,0.6571373169954171,0.4868522048118115,107072949055.6734,0.6796110017925576,0.1148056023637513,0.1150550137610215,0.0804295598881329,2406133686644.7427,0.528682954965775,0.3695774395071206,24061336866.447426,0.6796110017925576,0.4354590569543186,6,1.5,0.0,9.0,1.5,0.4200108077934039,0.7633395665228675,0.2913857677902621,155.507887677,132.808093083,22.696956371,0.3333333333333333,0.3333333333333333,C2,C2,C2
plain,no_discretization,ele-1,0,0.20460750340611,0.1462332234171818,12096567794388.516,0.7203926494658355,0.5148654741578125,120965677943.88516,0.6784726793943383,0.2933625060759944,0.1157408950635173,0.0812749369410685,2718329841435.8486,0.5313072947633692,0.3730916963664812,27183298414.358486,0.6784726793943383,0.4249501075297142,2,1.0,0.0,2.0,1.0,0.4060594338739468,0.7440300690959015,0.4943820224719101,0.069619979,0.065888192,0.001598645,0.5,0.5,C2,C2,C2
plain,no_discretization,ele-1,0,0.2322617995336456,0.157720050283417,12215161596291.752,0.7149426187990205,0.4854900203699006,122151615962.91753,0.6689927583936801,0.1038048105859698,0.1145706538504601,0.081005688248478,2744980133998.9307,0.5231520625819083,0.3698878505430487,27449801339.989307,0.6689927583936801,0.4395581379757654,2,1.0,0.0,2.0,1.0,0.4144548972234838,0.7390835579514825,0.4932584269662921,0.071803441,0.067078103,0.002176351,0.5,0.5,C2,C2,C2
plain,no_discretization,ele-1,0,0.2490168656434077,0.1842054751726511,23744579060808.7,0.6599248308010814,0.4881668023643872,237445790608.087,0.6799050006597176,-0.1233966466510947,0.1148781140289257,0.0805035982715989,1304354679350.2407,0.53820574511739,0.3771606059052058,13043546793.502407,0.6799050006597176,0.4352601447212747,2,1.0,0.0,2.0,1.0,0.4144759345176304,0.7448466566113625,0.492152466367713,0.071601717,0.067299166,0.002176492,0.5,0.5,C2,C2,C2
plain,no_discretization,ele-1,0,0.2013598885758829,0.1421977548762881,12391842158314.611,0.6127357502759269,0.4327060798349604,123918421583.14612,0.685319289005925,0.1723910341670447,0.1143165698107157,0.0808847606406322,2722871146894.981,0.5318762709700215,0.3763293889860013,27228711468.949814,0.685319289005925,0.43063214713107,3,1.0,0.0,3.0,1.0,0.3590213370292657,0.6588823262153566,0.3295964125560538,0.10591812,0.1012924289999999,0.0018312659999999,0.6666666666666666,0.3333333333333333,C2,C2,C2
