model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,elusage,0,0.3598500371021226,0.307445136277634,57854919125457.93,0.8519870733784372,0.7279123381256728,578549191254.5793,0.5439378238822106,-0.2532602405980548,0.1647877559564654,0.0993236425970535,7084275811281.33,0.4937129153645542,0.2975789364118368,70842758112.8133,0.7429827525860121,0.6625381747599506,3,0.3333333333333333,0.6666666666666666,3.0,1.0,0.6907175384392038,0.8230072463768116,0.4013605442176871,0.144439427,0.139057384,0.002603519,0.6666666666666666,0.6666666666666666,C2,C2,C2
complex,no_discretization,elusage,0,0.3176651195222528,0.2682447862749245,217419600223960.4,0.7067483292342073,0.5967968872714384,2174196002239.604,0.5877627512438901,0.1851114054054221,0.1808643639969046,0.0986802779851714,14020318970285.549,0.491616357155903,0.2682277354926153,140203189702.8555,0.8435109484251364,0.5505530194711309,6,0.5,0.8333333333333334,8.0,1.3333333333333333,0.6048094013427346,0.8412455621979431,0.4523809523809523,0.199641699,0.194692573,0.001897962,0.5,0.5,C2,C2,C2
complex,no_discretization,elusage,0,0.3391113978788175,0.2703654634638524,136155337571666.69,0.83269535713311,0.663888231311951,1361553375716.6667,0.667472490556295,0.0191401750143317,0.1411029376558238,0.0835820883399332,13615533757166.896,0.407539019030082,0.2414050540437926,136155337571.66896,0.6635271121287476,0.6936529999919725,6,0.16666666666666666,1.1666666666666667,8.0,1.3333333333333333,0.6990506026843235,0.8519951499118167,0.2733333333333334,0.22158091,0.2156329299999999,0.003143628,0.8333333333333334,0.8333333333333334,C2,C2,C2
complex,no_discretization,elusage,0,0.3276826195638101,0.2555761113571075,131476324303422.95,1.0458531279273386,0.815713313822206,1314763243034.2295,0.6473565087204438,0.2913436210057297,0.1362196950288047,0.0857561104758071,13147632430341.889,0.3842927213527619,0.2419286657513608,131476324303.41888,0.62551445537016,0.7084219498260926,4,0.5,0.75,5.0,1.25,0.6423763693520887,0.765,0.28,0.17203928,0.168028827,0.002233097,0.75,0.75,C2,C2,C2
complex,no_discretization,elusage,0,0.3274392434319313,0.2799438453832109,397415516717962.5,0.6935616574016849,0.5929598277481446,3974155167179.625,0.5112008450146337,0.0696609285710379,0.1369793854877938,0.0845133215644795,13794336468404.645,0.4132959890262637,0.2549946964464863,137943364684.04642,0.5800912676169008,0.6902129297422575,6,0.3333333333333333,1.1666666666666667,9.0,1.5,0.7362649961862838,0.8572233322233322,0.2733333333333333,0.217794354,0.2120825949999999,0.003007392,0.6666666666666666,0.6666666666666666,C2,C2,C2
complex,no_discretization,elusage,0,0.2531984020758035,0.1574882715031654,113462781309722.44,0.7492736046206483,0.4660448245614292,1134627813097.2246,0.5877627512438901,0.5315708474965305,0.1450141486534579,0.0883662730702918,13893401793027.414,0.3895543559451528,0.2373800550692003,138934017930.27414,0.6602084329835907,0.7119528423365027,4,0.25,1.0,5.0,1.25,0.7348754375677452,0.8514714452214451,0.3112244897959184,0.145455924,0.140860407,0.001952623,1.0,1.0,C2,C2,C2
complex,no_discretization,elusage,0,0.1995006821855269,0.1691362172040299,114499271590663.48,0.405738997808909,0.3439845844623962,1144992715906.6348,0.3923240470815159,0.6750283459827577,0.1491502265822987,0.0883174752822965,14020318970285.54,0.427992065490686,0.2534302463438479,140203189702.8554,0.6717677775593063,0.6649827974489128,3,0.6666666666666666,1.3333333333333333,6.0,2.0,0.7094684970175166,0.8427350427350427,0.3605442176870748,0.144897902,0.140099147,0.002102353,0.6666666666666666,0.6666666666666666,C2,C2,C2
complex,no_discretization,elusage,0,0.2965811338077447,0.2333602182210316,126753552802149.4,0.9072092036133346,0.7138233474573349,1267535528021.494,0.5795882478073784,0.4551410533738139,0.1342808722374482,0.0885354099799284,15520843200263.086,0.3705589586800658,0.244320645091294,155208432002.63086,0.5885989474502,0.7383981647027453,4,0.5,0.5,4.0,1.0,0.5698135178943434,0.8053104575163399,0.4795918367346938,0.197639663,0.189449349,0.004398248,0.5,0.5,C2,C2,C2
complex,no_discretization,elusage,0,0.1925500864943815,0.1637376726561797,138748518183485.78,0.394354783054185,0.3353451330701378,1387485181834.858,0.3343050654275254,0.6371506084175476,0.1453409971408412,0.0880869409947375,13739912590879.86,0.409788632680207,0.2483609430052012,137399125908.7986,0.6734395173154615,0.6974358989225038,5,0.6,1.0,8.0,1.6,0.6224043375073124,0.8011640211640211,0.24,0.263937921,0.255878873,0.005247664,0.8,0.8,C2,C2,C2
complex,no_discretization,elusage,0,0.277380465994154,0.1813667406319655,140903450191979.44,1.0546931941849196,0.6896169357508651,1409034501919.7944,0.5877627512438901,0.445725966801381,0.1521367537445688,0.0948349715447969,14090345019198.133,0.4031321070681761,0.2512937929962196,140903450191.98132,0.6694456788139125,0.6687319154190937,3,0.3333333333333333,0.6666666666666666,3.0,1.0,0.698638040090246,0.8242063492063493,0.3999999999999999,0.141523295,0.136864932,0.002811838,0.6666666666666666,0.6666666666666666,C2,C2,C2
