model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,elusage,0,0.3640913465806483,0.3092605250335371,62289447612156.82,0.8620288698973458,0.7322104834465445,622894476121.5682,0.5703281544733103,-0.2829770052635476,0.1657858402095086,0.1044085555800188,7627279299448.708,0.4967032290774223,0.3128136072077552,76272792994.48708,0.5046846094169601,0.658437926642667,3,1.0,0.3333333333333333,4.0,1.3333333333333333,0.601856234192272,0.7737068965517242,0.4965986394557822,0.0207879543304443,0.008195664,0.000713692,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.3128082616023568,0.25322784249728,114499271590663.7,0.6959426851478288,0.5633868612005376,1144992715906.637,0.5597176862547399,0.2098389692611376,0.1842028654603341,0.1061604266018706,14020318970285.566,0.5006909028073558,0.2885598967468321,140203189702.85565,0.8435109484251364,0.5338075673859526,5,0.6,1.0,8.0,1.6,0.6844582845041669,0.8374353054353054,0.3265306122448979,0.0673761367797851,0.0424740299999999,0.002708493,0.6,0.4,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.3492749069826257,0.2458083151928084,137399125908796.28,0.8576520731145219,0.6035876236719946,1373991259087.963,0.7342020472130285,-0.0405356009157971,0.1693006021602977,0.1026455685132363,13739912590879.889,0.4889806156545473,0.2964649425067648,137399125908.79887,0.730256668785481,0.5589797549240079,3,0.3333333333333333,0.6666666666666666,3.0,1.0,0.6687360948230513,0.8141423793597706,0.4266666666666667,0.0513699054718017,0.031642338,0.002488744,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.3941342404838763,0.2444543287760638,131476324303422.88,1.257944436546652,0.7802163103009456,1314763243034.2288,0.8540319575652631,-0.0252203521688996,0.1791560373145364,0.1062607036848199,13147632430341.912,0.5054214892480978,0.2997746763657338,131476324303.41911,0.8321899042149794,0.4956431589658746,3,0.0,1.0,3.0,1.0,0.748604833438752,0.8511111111111113,0.4533333333333333,0.0186271667480468,0.007179347,0.000427598,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.3292648370708474,0.2825411363170328,409112675199695.8,0.6974285175149623,0.598461249587309,4091126751996.958,0.5075369143762516,0.0592580475197441,0.1635624272121427,0.0935828000495932,13669464969373.162,0.4935026893386274,0.2823592452587711,136694649693.73164,0.7575644213630262,0.5583075724142768,4,1.0,0.75,7.0,1.75,0.5889752697995733,0.7864832535885168,0.315,0.0622870922088623,0.042300837,0.003743608,0.5,0.5,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.2531984020758035,0.1574882715031654,113462781309722.44,0.7492736046206483,0.4660448245614292,1134627813097.2246,0.5877627512438901,0.5315708474965305,0.1634071597531484,0.0921353220068467,13893401793027.418,0.438963862944049,0.2475049252604124,138934017930.27417,0.844891830874778,0.6342494377808596,4,0.0,1.5,6.0,1.5,0.7426992376992376,0.8450611888111887,0.3061224489795918,0.0245673656463623,0.011203277,0.0007867479999999,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.2661701558576419,0.202171455278393,114499271590663.5,0.5413295388328023,0.4111707426340557,1144992715906.635,0.5395962562742476,0.4215372092097168,0.1853673137448281,0.1122258003463093,14020318970285.594,0.5319183302771103,0.3220360651953763,140203189702.85593,0.7448982692848105,0.4825295128701021,3,0.6666666666666666,0.6666666666666666,4.0,1.3333333333333333,0.5746355187552786,0.8094017094017095,0.3945578231292517,0.0809781551361084,0.031421926,0.000783463,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.2892591757648136,0.2235929506125395,114499271590666.05,0.884812135938343,0.6839463456574753,1144992715906.6604,0.5734717138285514,0.4817117860912041,0.1356925182100624,0.0880147545729657,14020318970285.553,0.3744545102424046,0.2428838542645701,140203189702.85553,0.5858198769532561,0.7328690037366881,3,0.3333333333333333,0.6666666666666666,3.0,1.0,0.7342686094874878,0.8218954248366014,0.3333333333333333,0.023188829421997,0.010965914,0.000633132,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.1925515763240446,0.1637395348732633,138756904863649.84,0.3943578343197766,0.3353489470087726,1387569048636.4983,0.3343050654275254,0.6371449934018596,0.1449513734809251,0.0876045259778477,13739912590879.85,0.4086900895987792,0.2470007748899096,137399125908.7985,0.6734395173154615,0.6990559252439847,6,0.8333333333333334,0.8333333333333334,10.0,1.6666666666666667,0.5886290140437737,0.7680640347307014,0.2333333333333333,0.0558474063873291,0.037643547,0.003068545,0.8333333333333334,0.8333333333333334,C2,C2,C2
exact_M-of-N,no_discretization,elusage,0,0.277380465994154,0.1813667406319655,140903450191979.44,1.0546931941849196,0.6896169357508651,1409034501919.7944,0.5877627512438901,0.445725966801381,0.1521367537445688,0.0948349715447969,14090345019198.13,0.4031321070681761,0.2512937929962196,140903450191.98132,0.6694456788139125,0.6687319154190937,4,0.75,0.75,6.0,1.5,0.6528430019928182,0.7886093073593075,0.41,0.0148837566375732,0.006449246,0.00054118,0.75,0.75,C2,C2,C2
