model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,elusage,0,0.2572285717368723,0.1894415809405164,55613531628776.21,0.6090187451091429,0.4485251117978636,556135316287.7621,0.5548487199379364,0.3596217529044463,0.2139314140166883,0.1445124034743565,7084275811282.211,0.6409499388422045,0.432966876765482,70842758112.82211,0.5548487199379364,0.431246744814193,4,1.0,0.0,4.0,1.0,0.3797440795910562,0.5905330882352942,0.2704081632653061,0.012579976,0.009633967,0.000410136,0.5,0.5,C2,C2,C2
plain,no_discretization,elusage,0,0.3337142797140183,0.2689749946323657,116406351880648.77,0.7424548530357538,0.5984214708498639,1164063518806.4875,0.692940916337393,0.1006913740682059,0.1724886415315343,0.1170861738599789,13288478441449.45,0.4688498924086262,0.3182577097794163,132884784414.49448,0.5918067641321264,0.5912164040586853,8,1.375,0.0,11.0,1.375,0.4405042694133515,0.6579695767195768,0.2295918367346938,0.037798796,0.023813147,0.000663446,0.5,0.25,C2,C2,C2
plain,no_discretization,elusage,0,0.1873760539373664,0.1621871617105092,140606010104248.62,0.4601059449123118,0.3982540763528078,1406060101042.4863,0.3343050654275254,0.7005320499474113,0.1831540539768164,0.1281058715438101,13075931599535.586,0.528992696602541,0.3700003847425445,130759315995.35588,0.5918067641321264,0.4838515916395863,6,1.1666666666666667,0.0,7.0,1.1666666666666667,0.4147745310791773,0.6962197159565581,0.29,0.01777493,0.014310195,0.000647017,0.5,0.5,C2,C2,C2
plain,no_discretization,elusage,0,0.269756766970726,0.186985508225026,140903450191985.5,0.8609732151538821,0.5967950906720123,1409034501919.855,0.5597176862547399,0.5197431333155119,0.1904954252397353,0.1285062378376955,10143784882813.78,0.5374113145323773,0.3625320981595992,101437848828.1378,0.5597176862547399,0.4297778001683696,7,1.1428571428571428,0.0,8.0,1.1428571428571428,0.3518442442582245,0.6575757575757575,0.1571428571428571,0.013640314,0.011794177,0.000620527,0.8571428571428571,0.5714285714285714,C2,C2,C2
plain,no_discretization,elusage,0,0.3275110524632035,0.2994072147528458,398141873181749.6,0.6937137588731627,0.6341859391242276,3981418731817.496,0.4614632961482401,0.0692528279884848,0.1819236162132397,0.1174120201057581,10183964476566.514,0.5489023083461368,0.3542570789055336,101839644765.66512,0.5579737253262329,0.4535744215725739,9,1.2222222222222223,0.0,11.0,1.2222222222222223,0.3449230335310095,0.6333333333333333,0.1266666666666666,0.020150062,0.017207171,0.000829869,0.6666666666666666,0.3333333333333333,C2,C2,C2
plain,no_discretization,elusage,0,0.2375786109642626,0.2003933514274228,143848140612637.5,0.7030509701426393,0.5930110440471308,1438481406126.375,0.4634175744690177,0.5875828924926996,0.1709177942682624,0.1164987002150301,11923209485768.186,0.4591398279684444,0.3129527466948402,119232094857.68184,0.4634175744690177,0.5998549962726527,7,1.1428571428571428,0.0,8.0,1.1428571428571428,0.4272035017919168,0.6724867724867725,0.1895043731778425,0.033321281,0.029132886,0.001786875,0.5714285714285714,0.5714285714285714,C2,C2,C2
plain,no_discretization,elusage,0,0.2624602024568521,0.1946608143980261,101551369192236.6,0.533784337692315,0.3958958078803552,1015513691922.366,0.536955330571697,0.4375503774167331,0.1915702515558505,0.1295288652668648,11347599998427.186,0.5497178886598454,0.3716878469215119,113475999984.27184,0.536955330571697,0.4473178835682567,8,1.25,0.0,10.0,1.25,0.3715032484720014,0.6705107526881721,0.2142857142857142,0.018652037,0.0154916189999999,0.000805153,0.625,0.625,C2,C2,C2
plain,no_discretization,elusage,0,0.2280011450080687,0.1806419383073438,92802100716134.6,0.697430529481296,0.552563903465309,928021007161.346,0.4590718961174431,0.677988708889939,0.151861199129356,0.0992537939291336,11363522536669.506,0.4190732967073081,0.273898894984751,113635225366.69504,0.4590718961174431,0.6654152603448822,7,1.2857142857142858,0.0,9.0,1.2857142857142858,0.4319177419782317,0.6753913767098351,0.2448979591836735,0.079966435,0.06999664,0.007364772,0.4285714285714285,0.2857142857142857,C2,C2,C2
plain,no_discretization,elusage,0,0.2442673358927005,0.165439785210397,140903450191978.9,0.5002749882223525,0.3388311674795368,1409034501919.789,0.5131293426561164,0.4160579439202481,0.1965838411971519,0.1327700016479361,10987089933757.844,0.5542677226380941,0.3743447375934364,109870899337.57845,0.5131293426561164,0.4464756113788667,8,1.25,0.0,10.0,1.25,0.3690288988007096,0.6786962365591397,0.1575,0.017450644,0.014938755,0.000580184,0.75,0.75,C2,C2,C2
plain,no_discretization,elusage,0,0.310442195473503,0.2258543117349934,438534102198308.94,1.1804049343569447,0.8587735427239391,4385341021983.09,0.4868706573438836,0.3057206015035034,0.1881734493063306,0.1325184291551292,6739161093321.433,0.4986221754179885,0.351147452905207,67391610933.214325,0.4851781400207617,0.4932100453875017,7,1.0,0.0,7.0,1.0,0.3495069519084298,0.6290043290043289,0.2257142857142857,0.014101525,0.012086564,0.00046157,0.4285714285714285,0.4285714285714285,C2,C2,C2
