model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,fishcatch,0.0,0.2337992722567804,0.1794449294153391,14153480650344.408,0.6620743041408571,0.5081533215543205,141534806503.4441,0.5688203562471641,0.2642258631479843,0.1388925178211076,0.0821725729405286,2498796208102.815,0.5671107632135914,0.3355180774787979,24987962081.02815,0.7148884716585944,0.6095319605154244,7,0.8571428571428571,1.1428571428571428,14.0,2.0,0.6069277147222254,0.7707597004701413,0.2354124748490945,1.2841854095458984,0.236652073,0.071128669,0.8571428571428571,0.7142857142857143,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.0,0.2033423005696542,0.115209572938125,27294543196190.75,0.8186749374532981,0.4638444123771086,272945431961.9075,0.7407934569602108,0.4969925245226063,0.1299019395540127,0.0785436281385576,3075441486895.827,0.5364026794999239,0.3243293574816104,30754414868.95827,0.7407934569602108,0.6189103422052311,6,1.0,1.3333333333333333,14.0,2.3333333333333335,0.5708800152637833,0.7954604505943791,0.2769953051643192,0.8265454769134521,0.2692112909999999,0.1145959479999999,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.0,0.1990672646126102,0.1217790644498588,4094181479427.976,0.5758473054521144,0.352273620981319,40941814794.27976,0.6563636363636364,0.4958160469510834,0.1183694291380278,0.0624591236994651,2586643680559.7275,0.513202147388833,0.2707975922500448,25866436805.597275,0.6563636363636364,0.6738856408983083,12,1.4166666666666667,0.8333333333333334,27.0,2.25,0.6490599085696839,0.81385303330043,0.1296948356807511,0.626453161239624,0.326883564,0.113213213,0.9166666666666666,0.9166666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.0,0.1963240670749841,0.1158042041066923,25552338311322.336,0.7625222698406946,0.4497832888659723,255523383113.22336,0.4650455927051672,0.5477876094983332,0.1353402334266079,0.0770757372385822,1451442704541.1897,0.5450753288951533,0.3104182825865957,14514427045.411894,0.6650455927051672,0.6197873285978289,10,1.0,1.3,23.0,2.3,0.7004252151304603,0.8838864114466525,0.1335664335664335,2.638970375061035,0.946455333,0.376509022,0.9,0.9,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.0,0.3556230975663482,0.2477335282956652,16329604746337.615,0.8391910414079635,0.5845957673301061,163296047463.37616,0.8042424242424242,0.1324521212421009,0.1444752488426014,0.0806348026438454,2028895836981.88,0.5881937585372984,0.3282838272711206,20288958369.8188,0.7243213318381929,0.5791256951879449,17,1.2352941176470589,1.8235294117647058,52.0,3.0588235294117645,0.7074378081901727,0.869325756918175,0.1905550952775476,4.994214773178101,1.83690134,0.987676066,0.9411764705882352,0.8823529411764706,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.125,0.2399608525292837,0.1721218113724186,18133711184120.39,0.5618160560920982,0.4029857212683447,181337111841.20392,0.5243446998428949,0.4955155575876816,0.1279361921676732,0.0693988400834028,2728463727415.284,0.5310370759276105,0.288060450184089,27284637274.15284,0.7332263064826152,0.660137024600733,8,0.75,1.125,16.0,2.0,0.6901987427282633,0.8406460451366355,0.2596830985915492,0.5320510864257812,0.151755263,0.028286329,0.75,0.75,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.0,0.2259579554546854,0.1590291432603742,18228991564133.85,0.6926639681765067,0.4874966991305233,182289915641.33856,0.6563636363636364,0.4643018740265469,0.1431771494714968,0.0755700537387394,2612897259925.893,0.5948366217669998,0.3139595643482985,26128972599.25893,0.8165187001065668,0.5569585781627696,9,0.6666666666666666,1.3333333333333333,18.0,2.0,0.6909945824570242,0.8564292421710828,0.2543035993740219,3.393866062164306,0.6516619509999999,0.251250428,0.8888888888888888,0.8888888888888888,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.0,0.2672695400310844,0.1734857775431118,4389428496613.833,0.6280560132991062,0.4076737880236937,43894284966.13833,0.5757575757575757,0.4149043975845131,0.1202250246814655,0.067069730313054,2721058886676.058,0.5071607663185944,0.2829289152776018,27210588866.760586,0.5757575757575757,0.6976086788004936,10,1.2,1.9,31.0,3.1,0.7666823986413905,0.8510680953784402,0.1725352112676056,1.596043825149536,0.525826495,0.182854859,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.2222222222222222,0.21169631867474,0.0848037644155651,22869841857749.26,0.7496543582993356,0.300305229643581,228698418577.4926,0.827849286957334,0.3445042067728935,0.1465849764180572,0.0891715228533344,2655108673878.375,0.6007450961828098,0.3654491502629531,26551086738.78375,0.827849286957334,0.5460450377711417,9,0.7777777777777778,1.3333333333333333,21.0,2.3333333333333335,0.6971023854590714,0.8724882973897946,0.2222222222222222,1.937678337097168,0.5353888549999999,0.225772315,0.8888888888888888,0.8888888888888888,C2,C2,C2
at_least_M-of-N,no_discretization,fishcatch,0.2,0.3067264735212248,0.2293448766475284,26384725089645.816,0.8196882961204441,0.6128956167526811,263847250896.45816,0.6374645329701509,-0.0802342127784465,0.1536079858535607,0.1057297556825453,2767628505908.052,0.6227029802444447,0.4286120516338495,27676285059.08052,0.5333333333333333,0.524205818389796,5,0.6,1.2,10.0,2.0,0.6075117931986205,0.8215506715506716,0.2839160839160839,0.3567981719970703,0.115287079,0.038641732,0.6,0.6,C2,C2,C2
