model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,fishcatch,0,0.2014969191327626,0.132948392824951,4237952592839.374,0.5706002898710112,0.3764841259623382,42379525928.39374,0.570842090128173,0.4534938817712396,0.1239969379709456,0.0708226670456377,2419794044616.9307,0.5062907580048543,0.2891753810151597,24197940446.169308,0.570842090128173,0.6887927459400991,18,0.7222222222222222,2.8333333333333335,64.0,3.5555555555555554,0.6931465712504038,0.8446035229154086,0.1216744913928012,94.608620515,93.57420480299996,1.02169754,1.0,1.0,C2,C2,C2
complex,no_discretization,fishcatch,0,0.2071027602876357,0.0889752606066,1535318054786.2073,0.8338148966048842,0.3582226408766704,15353180547.862072,0.7992497888803787,0.4782160112466879,0.1176571389666394,0.0701587391057257,2634156949672.009,0.485840356354023,0.2897057255330634,26341569496.72009,0.7842424242424243,0.6873686982883815,16,0.5,2.6875,51.0,3.1875,0.657429644350549,0.8300918308813308,0.1307218309859154,57.951414948,57.199942782,0.745491767,0.875,0.875,C2,C2,C2
complex,no_discretization,fishcatch,0,0.1810165997462775,0.1067407673699113,11821393510500.062,0.5236316549024137,0.3087719288827797,118213935105.00064,0.5878787878787879,0.5831055372063951,0.1174276074894227,0.0709275409809443,2668929425651.677,0.5091187882306349,0.3075132372057373,26689294256.516773,0.5878787878787879,0.6790545372898003,13,0.6923076923076923,2.230769230769231,38.0,2.923076923076923,0.6767773422004032,0.8011469448425971,0.1413867822318526,72.834907905,72.000801647,0.8224412290000002,1.0,1.0,C2,C2,C2
complex,no_discretization,fishcatch,0,0.1888393407597922,0.1356485273655665,24858340981532.12,0.7334516083368421,0.5268585992966076,248583409815.3212,0.4176509521190127,0.5816109360217387,0.1623201560132985,0.0798493977581057,2706318872108.413,0.6537354797251793,0.3215890474186413,27063188721.08413,0.7651753205393137,0.4530877549699831,32,0.53125,2.0625,83.0,2.59375,0.7130465874073653,0.8580935832470883,0.1125437062937063,82.631842248,81.76192907300002,0.8566856049999998,0.96875,0.9375,C2,C2,C2
complex,no_discretization,fishcatch,0,0.4051772249514977,0.2794199555600529,21249237559362.8,0.9561277084888974,0.659368654908192,212492375593.628,0.8818181818181818,-0.1261690369347989,0.1545220838915903,0.0771201076095604,2477018584265.4014,0.6290968593535988,0.3139746518317988,24770185842.65401,0.8157640159971081,0.5185550644893657,30,0.7333333333333333,2.3333333333333335,92.0,3.066666666666667,0.7098494576472975,0.8665818499173147,0.136150234741784,124.781271258,123.126645915,1.6409674900000002,0.9666666666666668,0.9666666666666668,C2,C2,C2
complex,no_discretization,fishcatch,0,0.261048641142177,0.1952375765156435,21681890825169.12,0.6111885187472463,0.4571062491354181,216818908251.6912,0.5757575757575757,0.4029511597524903,0.1196609286298138,0.0702169149072781,2578324205129.281,0.4966881424693143,0.2914561121543266,25783242051.29281,0.5757575757575757,0.7026816239223592,15,0.4666666666666667,2.3333333333333335,42.0,2.8,0.7261306584377994,0.8457778952469055,0.1539906103286385,55.539909977,55.012768936,0.51599393,1.0,1.0,C2,C2,C2
complex,no_discretization,fishcatch,0,0.2456938870764286,0.1392757320970857,6719606439593.489,0.7531635805281434,0.4269435040290151,67196064395.93489,0.8351515151515152,0.3666357345460077,0.0850766971019198,0.0496151118394688,2356512473347.355,0.3534553892293746,0.2061284613090921,23565124733.47355,0.3625505728189272,0.8435706823502582,23,0.7391304347826086,3.217391304347826,91.0,3.9565217391304346,0.6979480574516133,0.8648246535825765,0.1034905082669932,92.763392429,91.596924151,1.15334071,0.9130434782608696,0.8695652173913043,C2,C2,C2
complex,no_discretization,fishcatch,0,0.2779416133600156,0.1855822935956986,18271890655129.844,0.65313429130948,0.4360993603725393,182718906551.29843,0.6050291864022036,0.3672457807688003,0.1231455396215265,0.0704246073270634,2639085796334.075,0.5194807521033393,0.2970812267604871,26390857963.34075,0.5757575757575757,0.6827388128292544,17,0.6470588235294118,2.2941176470588234,50.0,2.9411764705882355,0.7344966238443027,0.8558036510811906,0.1246893123446561,80.804710085,79.95516470899999,0.8362481749999999,1.0,1.0,C2,C2,C2
complex,no_discretization,fishcatch,0,0.1863059284120159,0.0988715778130228,1759218604442.4224,0.6597424654590216,0.3501218617473696,17592186044.424225,0.6525000000000001,0.4923122942070582,0.1236466658003237,0.0691667024497687,2775105404189.9824,0.5067376613484174,0.2834639560696174,27751054041.899822,0.6525000000000001,0.6770028691576211,21,0.7619047619047619,2.5714285714285716,70.0,3.3333333333333335,0.7190754307039329,0.8767419088847661,0.079141515761234,87.293800208,86.404405175,0.8762139700000001,0.9523809523809524,0.9523809523809524,C2,C2,C2
complex,no_discretization,fishcatch,0,0.226133356054271,0.164713835213269,22474330669656.9,0.6043132279786626,0.4401772086493389,224743306696.56897,0.5757575757575757,0.4128559538907473,0.1440536967962782,0.080114203413417,2540641169708.8896,0.5839713723984921,0.3247705706720458,25406411697.088898,0.7741474597232775,0.5815531013514947,17,0.5294117647058824,2.0,43.0,2.5294117647058822,0.7265126602714228,0.8475276473764604,0.13944878650761,74.909287314,74.125755048,0.7728354959999999,1.0,1.0,C2,C2,C2
