model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,fishcatch,0.18181818181818182,0.249648322380373,0.189257008362075,18017530013436.11,0.7069557476568421,0.5359392307153227,180175300134.36108,0.5903882503820227,0.1610897285630858,0.1465875647515307,0.084806197808134,2629515920701.841,0.5985303386243949,0.3462714069749893,26295159207.01841,0.7427625351148295,0.5650673106517277,11,0.8181818181818182,1.0909090909090908,23.0,2.090909090909091,0.7258199310481003,0.8461386839324754,0.2733674775928297,1.573103427886963,0.46077955,0.10914649,0.9090909090909092,0.7272727272727273,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.0,0.2022297272334946,0.111792909983524,27294543196189.035,0.8141956141455504,0.4500886108403852,272945431961.89035,0.7407934569602108,0.5024818074481787,0.1292262720874137,0.0767121266480251,2849552370472.9307,0.53361265310941,0.3167665581084627,28495523704.729305,0.7407934569602108,0.6228644053241119,8,0.75,1.25,16.0,2.0,0.649756567493123,0.837974648290612,0.2359154929577464,0.9897937774658204,0.371634628,0.152960344,0.75,0.625,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.25,0.1873726241079964,0.1117111739282861,16299986133635.451,0.5420178999196771,0.3231499594907331,162999861336.35452,0.6242424242424243,0.5533147628421026,0.1143526470929508,0.0646297475641414,2351078963784.636,0.4957869990170125,0.2802085426672033,23510789637.846363,0.6242424242424243,0.6956430243205913,12,1.0,0.9166666666666666,26.0,2.1666666666666665,0.6507912357298206,0.7769220807630884,0.1519953051643192,0.5866355895996094,0.287009056,0.1072618459999999,0.9166666666666666,0.9166666666666666,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.0,0.1948667751415208,0.1153361122443848,25552338311322.395,0.7568621509898529,0.4479652210424062,255523383113.22397,0.5030272407147163,0.5544761384816076,0.1314162385674303,0.0652165595283377,1648351775862.0996,0.5292716559274323,0.2626560981483448,16483517758.620996,0.7723687155725124,0.6415151478036976,12,0.8333333333333334,1.0833333333333333,23.0,1.9166666666666667,0.710803350949511,0.8815031033781034,0.1555944055944056,2.813616752624512,1.041637129,0.3796295859999999,0.8333333333333334,0.8333333333333334,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.1875,0.3313975335522794,0.2298554086331187,14162116091943.932,0.7820241238686193,0.5424074000370355,141621160919.43933,0.7266317265382614,0.2466234899157753,0.1121142024271988,0.0635558784726391,1956728323439.7043,0.4564440943300208,0.2587513870745326,19567283234.397045,0.5545454545454546,0.7465532227883376,16,1.25,1.4375,46.0,2.875,0.7124327360445836,0.8513842152537007,0.1694542253521126,5.041209220886231,1.920345734,0.9986558340000002,0.9375,0.9375,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.5555555555555556,0.323716489109689,0.2243958719832118,13643758051670.184,0.7579116313624182,0.5253740452750331,136437580516.70184,0.8351515151515152,0.0818859606659805,0.1323092614548282,0.0830709409494537,2656047236448.8657,0.5491887958415195,0.3448105561758288,26560472364.48866,0.6303030303030304,0.6365057838878332,9,1.0,0.8888888888888888,22.0,2.4444444444444446,0.6743839782033473,0.8255007137253514,0.2543035993740219,0.5753495693206787,0.2249550669999999,0.047834575,0.7777777777777778,0.7777777777777778,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.1111111111111111,0.2220378580697779,0.153925922655651,18228991564133.844,0.6806470856338918,0.4718530054732909,182289915641.33844,0.6563636363636364,0.4827280691543543,0.1432611328652219,0.0755887099748231,2612897259925.8926,0.5951855349727198,0.3140370726133248,26128972599.258926,0.8165187001065668,0.5564386762805952,9,0.6666666666666666,1.2222222222222223,18.0,2.0,0.6893263649009561,0.85393114289879,0.2558685446009389,3.2563939094543457,0.611567984,0.203576935,0.8888888888888888,0.8888888888888888,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.3333333333333333,0.2672106980619473,0.1732755357209676,6970823272822.828,0.6279177407052796,0.407179741299816,69708232728.22829,0.5757575757575757,0.4151619981141343,0.1197252999528607,0.065096775369793,2529922366903.9287,0.5050527128831385,0.274606144343785,25299223669.039288,0.5757575757575757,0.7001172807494412,12,1.1666666666666667,1.4166666666666667,35.0,2.9166666666666665,0.7396008829343476,0.84592128284657,0.153169014084507,1.5504679679870603,0.50905405,0.2060749479999999,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.42857142857142855,0.2202651018557657,0.0927218655458309,17358317279507.793,0.7799979452695346,0.3283446356139738,173583172795.07794,0.8569325382350116,0.2903655580557321,0.138618795681893,0.0735303897444718,2746585435001.6104,0.5680975211754773,0.3013475332794114,27465854350.0161,0.8569325382350116,0.5940448198237772,14,0.7142857142857143,1.4285714285714286,36.0,2.5714285714285716,0.7511022193010556,0.9290670094232258,0.1735412474849094,2.609025239944458,0.997299337,0.3922813209999999,0.9285714285714286,0.9285714285714286,C2,C2,C2
exact_M-of-N,no_discretization,fishcatch,0.3333333333333333,0.3003176863179369,0.2206861615618428,25248867242880.73,0.8025616105671737,0.5897562791738304,252488672428.8073,0.6374645329701509,-0.0355646664419133,0.1628242887041921,0.103858764703051,2648482577925.9346,0.6600644443638604,0.421027344025924,26484825779.259342,0.7873795085053239,0.4653988152392333,6,0.6666666666666666,1.0,12.0,2.0,0.6434751527886627,0.8351975749122228,0.3275058275058275,0.3776593208312988,0.135131738,0.036335767,0.6666666666666666,0.6666666666666666,C2,C2,C2
