model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,fishcatch,0,0.2285088459371593,0.1756424210332418,18665282246269.98,0.6470928403819592,0.4973853535159004,186652822462.6998,0.5169436401272512,0.2971474225215934,0.1107315935451259,0.0672391813903341,2357668103511.2754,0.4521271520768,0.2745436836651147,23576681035.112755,0.503030303030303,0.7518176513718007,21,2.4285714285714284,0.0,51.0,2.4285714285714284,0.4922141722905472,0.785434923670108,0.1257545271629778,1.383572491,1.261466004,0.118477322,0.6190476190476191,0.5714285714285714,C2,C2,C2
plain,no_discretization,fishcatch,0,0.090064470103343,0.0734016030351938,14575911538549.992,0.3626078992027616,0.2955216529244727,145759115385.4999,0.2041358656719782,0.9013207204139012,0.1013881141683923,0.0680867084297699,2727849851691.671,0.4186608475291999,0.2811497115858921,27278498516.91671,0.396969696969697,0.7678493082142823,18,2.3333333333333335,0.0,42.0,2.3333333333333335,0.5285416370275454,0.7290855890044512,0.1842723004694836,1.439950066,1.273770573,0.1625453309999999,0.7222222222222222,0.6666666666666666,C2,C2,C2
plain,no_discretization,fishcatch,0,0.1690544647552049,0.1223523533364291,51177268492846.86,0.4890284607736928,0.3539319893786523,511772684928.46857,0.4420904569930209,0.6363843127839184,0.1095664509896608,0.0805256162829984,2583398838616.3267,0.4750359813267247,0.3491266241392004,25833988386.163265,0.3333333333333333,0.7205873886092435,17,2.411764705882353,0.0,41.0,2.411764705882353,0.466415589577103,0.7489114643526408,0.1209610604805302,0.678614028,0.618479726,0.057385675,0.5882352941176471,0.5294117647058824,C2,C2,C2
plain,no_discretization,fishcatch,0,0.1823636381692767,0.118762447053669,31835627483815.16,0.7082999928894746,0.4612730983441315,318356274838.1516,0.5068723046286279,0.6098138329675351,0.0984663492301705,0.0650656116785332,2245169295008.608,0.3965677931303786,0.262048164004927,22451692950.08608,0.4316109422492401,0.7987441947353177,18,2.5,0.0,45.0,2.5,0.5181431324020573,0.7553338443963444,0.1585081585081585,2.188092814,1.970973281,0.214448593,0.7777777777777778,0.5555555555555556,C2,C2,C2
plain,no_discretization,fishcatch,0,0.4097900054496382,0.291369787497361,24693698176731.71,0.9670128396755708,0.6875675879267333,246936981767.3171,0.7308045811452619,-0.1519569659747479,0.1046089838822167,0.0786972623491057,3104940826683.4697,0.4258885303840726,0.3203956310755079,31049408266.834698,0.4254545454545455,0.7793502310991824,15,2.466666666666667,0.0,37.0,2.466666666666667,0.5488181720668358,0.7920249841505758,0.2178403755868544,10.57032647,8.601611513,1.96566434,0.6,0.6,C2,C2,C2
plain,no_discretization,fishcatch,0,0.3183587756620633,0.2107269552665553,23023406493090.52,0.7453677126061315,0.4933712548204268,230234064930.90515,0.7987493987493988,0.1120252083046934,0.1420578467230896,0.0951553426948408,3107246972573.001,0.5896531877198062,0.3949704464967352,31072469725.73001,0.5018181818181817,0.5809677303422314,14,2.357142857142857,0.0,33.0,2.357142857142857,0.5750625585789654,0.7752245041009955,0.2168008048289738,1.027930175,0.930770905,0.0945847559999999,0.7142857142857143,0.7142857142857143,C2,C2,C2
plain,no_discretization,fishcatch,0,0.1597892846488685,0.112676366032265,18492605355353.074,0.4898268784307838,0.345404341522594,184926053553.53076,0.409090909090909,0.7321077442373595,0.1344135008967809,0.0806998516956947,2811198842185.221,0.5584276058606243,0.3352715662866387,28111988421.85221,0.5957575757575758,0.6095344758890487,15,2.066666666666667,0.0,31.0,2.066666666666667,0.5259665157861828,0.7455461992506051,0.2154929577464789,2.648222348,2.374045065,0.2711138669999999,0.8,0.8,C2,C2,C2
plain,no_discretization,fishcatch,0,0.3492377100244084,0.258393936956564,24418266338136.89,0.8206728077809731,0.6071992561768383,244182663381.3689,0.7596719800332806,0.0009892415753095,0.1084073457095389,0.076379440258759,2751353953594.5107,0.4573087231238517,0.322201268456794,27513539535.945107,0.3061595317350234,0.7541348383321009,12,2.0833333333333335,0.0,25.0,2.0833333333333335,0.5294920728654448,0.7641850954770163,0.2453051643192488,0.610176162,0.558273974,0.048864452,0.5833333333333334,0.5,C2,C2,C2
plain,no_discretization,fishcatch,0,0.0899358227616305,0.0587457225198654,21268297626699.688,0.3184787620425338,0.2080290634912933,212682976266.9969,0.2362252498034971,0.8816934686724298,0.1087527486015665,0.0696208120071984,2381898698168.041,0.4456983383649469,0.285325020528076,23818986981.680416,0.41875,0.7501298779516737,20,2.25,0.0,45.0,2.25,0.515161306416421,0.7676023657583432,0.130281690140845,2.052553365,1.875718269,0.173927152,0.7,0.5,C2,C2,C2
plain,no_discretization,fishcatch,0,0.274043071721786,0.2084067413949869,21508059691066.887,0.7323459756977891,0.5569410582430534,215080596910.66885,0.6210329386806172,0.1377105776783905,0.1005083586846287,0.074566544366503,3008795243799.676,0.4074453170166682,0.3022812202473437,30087952437.99676,0.3444042343840491,0.7962977155351251,14,2.2857142857142856,0.0,32.0,2.2857142857142856,0.5157673741204941,0.7573106338884739,0.2222777222777222,12.067950935,9.569685329,2.4952947130000003,0.6428571428571429,0.5714285714285714,C2,C2,C2
