model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,fruitfly,0.6,0.2627419260096511,0.1987796379422207,80270537448443.45,0.9949922502365482,0.7527698462942359,802705374484.4346,0.7195121951219512,0.0364028210151095,0.1868513126619021,0.1252631654031997,10788239525496.432,0.6758733578128826,0.4530984289338267,107882395254.96432,0.7682926829268293,0.0275864692230898,10,0.2,0.8,16.0,1.6,0.3011761237542126,0.779523733382064,0.1723214285714285,0.0611271858215332,0.036473374,0.001486956,0.1,0.1,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.3199749430844529,0.2447286212513376,88720067706174.61,1.0804348727526982,0.8263563834460751,887200677061.7461,0.7163029525032093,-0.1204922258676663,0.1691306617604632,0.1077566671094582,2942247143317.8296,0.6415927292887628,0.4087720903483126,29422471433.17829,0.7337655856972584,0.1782324402140834,30,1.7333333333333334,2.066666666666667,114.0,3.8,0.325822158861867,0.7364945585815154,0.056547619047619,1.771350383758545,0.5520791879999999,1.0935797450000002,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.2799329905203167,0.2218980115801947,59165336217799.055,1.013090822835432,0.8030594704807047,591653362177.9906,0.700348418986584,-0.088711390052234,0.1729991214642055,0.1118718684763238,8262593747604.729,0.6234966392405011,0.4031912614942112,82625937476.04729,0.7560975609756098,0.1981900244590664,23,1.0,1.6956521739130435,62.0,2.6956521739130435,0.3209555590621936,0.7518703880660401,0.0854174682570219,1.484818458557129,0.4551434919999999,0.7961977420000002,0.3043478260869565,0.0869565217391304,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.4444444444444444,0.3231944187021163,0.2625734357509554,96113406681688.7,0.9307999258620948,0.7562114949627515,961134066816.8872,0.7755218950184622,-0.1861836007460042,0.1994541716138455,0.1319469284954914,8009873491171.32,0.704322543511392,0.4659375912497039,80098734911.7132,0.7926829268292683,-0.0081832734708156,18,0.2777777777777778,1.0,31.0,1.7222222222222223,0.3790747576190172,0.876970092447102,0.207472959685349,0.3739798069000244,0.161520998,0.009617269,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.3488936147744246,0.2766522594055499,125538240111634.38,0.945389149711344,0.7496383803247161,1255382401116.3438,0.825533427632431,-0.7178079585213051,0.2006409752740089,0.1272761757018034,6821174926766.065,0.72850285144552,0.4621242335630527,68211749267.66065,0.8048780487804879,-0.0002010736079338,21,1.0,2.0476190476190474,64.0,3.0476190476190474,0.30284432876411,0.7364867158984806,0.089338390223346,1.0274038314819336,0.352903622,0.529833717,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.3759477908743792,0.2974459987869649,63371476932981.32,0.8206323047071336,0.6492757809342331,633714769329.8132,0.8170731707317074,-0.6812292786682907,0.1975765464350254,0.1213437263635849,7550211695139.225,0.7255269901876346,0.4455900771384102,75502116951.39224,0.8122338174298946,-0.012576705261361,15,1.8,0.8,39.0,2.6,0.283034833282076,0.7493413585984405,0.1053571428571428,0.1439592838287353,0.076510435,0.0448119909999999,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.2649431975302443,0.2150535118154477,88720067706173.86,0.8349725013074369,0.6777444008729263,887200677061.7386,0.6829268292682926,-0.0891929772672344,0.1886366280919027,0.1161082774821842,11036828531735.123,0.667092334384303,0.4106039354626029,110368285317.35126,0.8048780487804877,0.0685878980589584,16,1.5625,1.0625,42.0,2.625,0.3162624705241315,0.711921019404572,0.0725446428571428,0.1942956447601318,0.097855706,0.070663573,0.25,0.0625,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.349450088929133,0.256353949290663,103114174528131.78,0.9832472365211496,0.721302755949345,1031141745281.318,0.7886644862816037,-0.2395447554052618,0.1929747613549131,0.1297590807927713,10611159836315.123,0.6473163375898584,0.43526506968091,106111598363.15125,0.763888888888889,0.0258807636212489,16,0.9375,1.4375,38.0,2.375,0.326409769957864,0.8184361243654008,0.1534598214285714,0.2959463596343994,0.135709252,0.132108376,0.0625,0.0625,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.0,0.4198606583997294,0.3548320673808803,92666658999393.4,0.7495033240854673,0.6334192277212408,926666589993.934,0.7966481286989082,-1.3929759568364366,0.196708379258289,0.1262601248799819,31490262881210.504,0.7339876866494578,0.4711206371897575,314902628812.10504,0.7901234567901234,0.0453175612944583,22,1.0909090909090908,2.1818181818181817,72.0,3.272727272727273,0.3088999113044441,0.7466565669914953,0.0913113435237329,1.2900018692016602,0.420513709,0.721598687,0.0454545454545454,0.0454545454545454,C2,C2,C2
at_least_M-of-N,no_discretization,fruitfly,0.4,0.3228212709605287,0.223075334988887,29802923226330.78,0.95495036432975,0.6598879676880567,298029232263.3078,0.9578912403910032,-0.5253835143103696,0.1986817329285496,0.1288117862549083,7788808963262.98,0.7372787093776297,0.4780016065029957,77888089632.6298,0.7926829268292683,-0.0412866298428378,15,0.5333333333333333,1.4,35.0,2.3333333333333335,0.3682541536327551,0.8660031758174174,0.1634218289085545,0.2624504566192627,0.1272180369999999,0.0149553689999999,0.1333333333333333,0.0666666666666666,C2,C2,C2
