model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,fruitfly,0,0.27642688790551,0.2083714575831224,88720067706174.14,1.0468166059378226,0.7890936502386942,887200677061.7415,0.7439024390243902,-0.0665895647123082,0.1883830636895625,0.1280840471571377,10297865001610.2,0.6814139649172675,0.4633020437539001,102978650016.102,0.780395126865832,0.0115780117797664,7,0.2857142857142857,1.4285714285714286,12.0,1.7142857142857142,0.4190813624070391,0.818060525645665,0.0931122448979591,0.761111974,0.749551383,0.003055872,0.0,0.0,C2,C2,C2
complex,no_discretization,fruitfly,0,0.3271479306737721,0.2408660305186723,68885379699448.98,1.104655350327023,0.8133138692838286,688853796994.4899,0.7926829268292683,-0.1712922287784115,0.1735334606835103,0.1140375210747011,9317115953837.863,0.6582946315230728,0.432598345126004,93171159538.37865,0.7784988329250572,0.1348911551787357,24,0.4583333333333333,1.375,44.0,1.8333333333333333,0.3549011386208885,0.7922117710720653,0.0978422619047619,2.426575377,2.393202512,0.0261722579999999,0.0,0.0,C2,C2,C2
complex,no_discretization,fruitfly,0,0.2793777976255781,0.2098729656609138,67329991128367.2,1.0110815533116162,0.759540256677593,673299911283.672,0.7367339568665086,-0.0843971759440347,0.1843353271406879,0.1221401494298683,8262593747604.738,0.6643528359726235,0.4401986093415637,82625937476.04738,0.7926829268292683,0.0896659069997843,20,0.8,1.85,53.0,2.65,0.3836671667087474,0.8213127303116989,0.1194690265486725,1.599755199,1.5554105659999995,0.033712553,0.0,0.0,C2,C2,C2
complex,no_discretization,fruitfly,0,0.2866168440115832,0.2276925598323818,85944116907279.36,0.8254565107533597,0.6557545723172598,859441169072.7936,0.6881416046199603,0.0671160307432755,0.1907247217465258,0.1223504298304383,9720698526593.668,0.6734966736674194,0.4320499553387355,97206985265.93668,0.7667499792769205,0.0781352270803458,24,0.3333333333333333,1.5416666666666667,45.0,1.875,0.3771632162652681,0.8198233887572123,0.0837020648967551,1.717584165,1.689465576,0.018343079,0.0416666666666666,0.0416666666666666,C2,C2,C2
complex,no_discretization,fruitfly,0,0.311407745520705,0.2359993944739248,86959748902479.6,0.8438145362496524,0.6394822301874094,869597489024.7959,0.8009489584768512,-0.3685081513887069,0.202100493289281,0.1271605080165875,7290523894945.374,0.7338021829226009,0.4617042583392239,72905238949.45374,0.8170731707317074,-0.014805478518969,17,0.29411764705882354,2.0588235294117645,40.0,2.3529411764705883,0.3948928941094556,0.8355796982049428,0.0910983862571577,1.288141633,1.2554362019999996,0.021783251,0.2941176470588235,0.0588235294117647,C2,C2,C2
complex,no_discretization,fruitfly,0,0.374731943977814,0.3043701829496468,80270537448442.89,0.8179783105485865,0.6643901381550126,802705374484.429,0.7682926829268293,-0.6703723882899313,0.1926125663556274,0.1282512718264989,7355617858293.127,0.707298604322304,0.4709554899858323,73556178582.93127,0.8170731707317074,0.0376647638009992,9,0.3333333333333333,1.2222222222222223,14.0,1.5555555555555556,0.3612343940424276,0.7353952692187986,0.0813492063492063,1.007634354,0.990504637,0.0075616089999999,0.2222222222222222,0.1111111111111111,C2,C2,C2
complex,no_discretization,fruitfly,0,0.2715818184295629,0.2129095594275112,88720067706173.77,0.8558942156568047,0.6709877024382175,887200677061.7377,0.7439024390243902,-0.1444601350406,0.1889169908793291,0.1296850404866816,10788239525496.22,0.6680838060207002,0.4586166391334941,107882395254.9622,0.7439024390243902,0.0658172023401965,15,0.4,1.3333333333333333,26.0,1.7333333333333334,0.406855628232072,0.7949436090225566,0.0648809523809523,1.715205674,1.6915127139999997,0.00878359,0.0,0.0,C2,C2,C2
complex,no_discretization,fruitfly,0,0.3489357158681902,0.2553472377592091,62549994824592.14,0.9817999457441956,0.7184701730923502,625499948245.9214,0.7802390998593529,-0.235898345225092,0.1917841169416322,0.1293506664847035,10611159836315.16,0.6433224288757582,0.4338950809204034,106111598363.1516,0.7361111111111112,0.0378642123768346,15,0.3333333333333333,1.3333333333333333,25.0,1.6666666666666667,0.4294301008905413,0.8112726902726901,0.0726190476190476,1.661221757,1.6411539090000002,0.011109893,0.0,0.0,C2,C2,C2
complex,no_discretization,fruitfly,0,0.418011721474986,0.3592327942248891,92666658999393.42,0.7462027424677437,0.6412750706824467,926666589993.9342,0.7578915644931865,-1.371946505585306,0.1985580250100154,0.1289689803436265,8856636435340.957,0.7408893611564089,0.4812283233123578,88566364353.40958,0.8024691358024691,0.0272794245091451,21,0.42857142857142855,1.7619047619047619,46.0,2.1904761904761907,0.3822616865005043,0.7890811375055073,0.0884955752212389,1.777055649,1.740544688,0.025563344,0.0,0.0,C2,C2,C2
complex,no_discretization,fruitfly,0,0.274240514603099,0.1999415087557585,86959748902479.7,0.8112417083142838,0.5914548817147092,869597489024.797,0.7682926829268293,-0.1008242619067707,0.1855999141216464,0.1212157734318411,7776558821275.199,0.6887340025034745,0.4498139193509972,77765588212.752,0.7682926829268293,0.0913221217128933,13,0.46153846153846156,1.4615384615384615,25.0,1.9230769230769231,0.3793462809107525,0.805970074816824,0.0966643975493533,1.14285785,1.123926712,0.0092457229999999,0.0,0.0,C2,C2,C2
