model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,fruitfly,0.5555555555555556,0.2665766485683163,0.2015839766085571,80270537448443.42,1.009514177839146,0.7633897548958835,802705374484.4342,0.7195121951219512,0.0080701287734822,0.1868733333143638,0.1267173172012701,10788239525496.426,0.6759530103029212,0.4583583462687927,107882395254.96426,0.7682926829268293,0.0273572555034775,9,0.1111111111111111,0.8888888888888888,14.0,1.5555555555555556,0.3161209904872578,0.8037910154954514,0.1934523809523809,0.0566077232360839,0.0356243569999999,0.002375745,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.3199749430844529,0.2447286212513376,88720067706174.61,1.0804348727526982,0.8263563834460751,887200677061.7461,0.7163029525032093,-0.1204922258676663,0.1691306617604632,0.1077566671094582,2942247143317.8296,0.6415927292887628,0.4087720903483126,29422471433.17829,0.7337655856972584,0.1782324402140834,30,1.7333333333333334,2.066666666666667,114.0,3.8,0.325822158861867,0.7364945585815154,0.056547619047619,1.8083789348602293,0.5596805300000001,1.125586321,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.2799329905203167,0.2218980115801947,59165336217799.055,1.013090822835432,0.8030594704807047,591653362177.9906,0.700348418986584,-0.088711390052234,0.1729991214642055,0.1118718684763238,8262593747604.729,0.6234966392405011,0.4031912614942112,82625937476.04729,0.7560975609756098,0.1981900244590664,23,1.0,1.6956521739130435,62.0,2.6956521739130435,0.3209555590621936,0.7518703880660401,0.0854174682570219,1.5352833271026611,0.445766283,0.8102289850000001,0.3043478260869565,0.0869565217391304,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.5333333333333333,0.3552878625387142,0.2839030613684659,91903791193325.64,1.0232290441114968,0.8176408167411818,919037911933.2563,0.8299289741092619,-0.4334579363545008,0.1945130694224394,0.1306468749135016,8262593747604.712,0.6868742763979894,0.4613467770383026,82625937476.04712,0.7926829268292683,0.0411496879761251,15,0.4666666666666667,1.6666666666666667,40.0,2.6666666666666665,0.3967434379611833,0.8475457875457876,0.1657817109144543,0.8104817867279053,0.4452227849999999,0.156520067,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.3488936147744246,0.2766522594055499,125538240111634.38,0.945389149711344,0.7496383803247161,1255382401116.3438,0.825533427632431,-0.7178079585213051,0.2006409752740089,0.1272761757018034,6821174926766.065,0.72850285144552,0.4621242335630527,68211749267.66065,0.8048780487804879,-0.0002010736079338,21,1.0,2.0476190476190474,64.0,3.0476190476190474,0.30284432876411,0.7364867158984806,0.089338390223346,1.0658206939697266,0.348584093,0.5784308180000002,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.3759477908743792,0.2974459987869649,63371476932981.32,0.8206323047071336,0.6492757809342331,633714769329.8132,0.8170731707317074,-0.6812292786682907,0.1975765464350254,0.1213437263635849,7550211695139.225,0.7255269901876346,0.4455900771384102,75502116951.39224,0.8122338174298946,-0.012576705261361,15,1.8,0.8,39.0,2.6,0.283034833282076,0.7493413585984405,0.1053571428571428,0.1325201988220214,0.076052857,0.037649776,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.2649431975302443,0.2150535118154477,88720067706173.86,0.8349725013074369,0.6777444008729263,887200677061.7386,0.6829268292682926,-0.0891929772672344,0.1886366280919027,0.1161082774821842,11036828531735.123,0.667092334384303,0.4106039354626029,110368285317.35126,0.8048780487804877,0.0685878980589584,16,1.5625,1.0625,42.0,2.625,0.3162624705241315,0.711921019404572,0.0725446428571428,0.1893143653869629,0.0941531269999999,0.072220018,0.25,0.0625,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.349450088929133,0.256353949290663,103114174528131.78,0.9832472365211496,0.721302755949345,1031141745281.318,0.7886644862816037,-0.2395447554052618,0.1929747613549131,0.1297590807927713,10611159836315.123,0.6473163375898584,0.43526506968091,106111598363.15125,0.763888888888889,0.0258807636212489,16,0.9375,1.4375,38.0,2.375,0.326409769957864,0.8184361243654008,0.1534598214285714,0.2900412082672119,0.134793409,0.130882971,0.0625,0.0625,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.0,0.4198606583997294,0.3548320673808803,92666658999393.4,0.7495033240854673,0.6334192277212408,926666589993.934,0.7966481286989082,-1.3929759568364366,0.196708379258289,0.1262601248799819,31490262881210.504,0.7339876866494578,0.4711206371897575,314902628812.10504,0.7901234567901234,0.0453175612944583,22,1.0909090909090908,2.1818181818181817,72.0,3.272727272727273,0.3088999113044441,0.7466565669914953,0.0913113435237329,1.2698440551757812,0.41257235,0.7185179079999999,0.0454545454545454,0.0454545454545454,C2,C2,C2
exact_M-of-N,no_discretization,fruitfly,0.6,0.3162079572448348,0.2285567673324582,51850598318264.09,0.9353872595707674,0.6761028094113649,518505983182.6409,0.907091187932223,-0.463525694413023,0.1960712312827826,0.1269972265056895,7513374836439.041,0.7275915214522483,0.4712680419710531,75133748364.39041,0.8119518207394514,-0.0141032292886991,20,1.2,0.5,46.0,2.3,0.3797553726578973,0.8623504128554625,0.1544247787610619,0.3838095664978027,0.243456376,0.0632931289999999,0.3,0.05,C2,C2,C2
