model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,fruitfly,0,0.3226094228266607,0.2383532049151171,173215370283481.94,1.2217078577479197,0.9026332238307262,1732153702834.819,0.7682926829268293,-0.4527499124973553,0.1752437363206471,0.1091220273426514,6865243334406.948,0.6338867563484928,0.3947131544367508,68652433344.06948,0.8048780487804877,0.1446503243593458,33,2.5757575757575757,0.0,85.0,2.5757575757575757,0.2874637134180239,0.6608562733562735,0.053030303030303,0.955077149,0.8578624970000001,0.0936472989999999,0.0303030303030303,0.0303030303030303,C2,C2,C2
plain,no_discretization,fruitfly,0,0.3044249876285638,0.2041426137120508,76045772319577.98,1.027928529654891,0.6893127216251067,760457723195.7798,0.7827671708688603,-0.0142324483661144,0.1796332112994509,0.1207901292309353,8826741429951.791,0.6814338754953148,0.4582141870536598,88267414299.51791,0.7606960269422309,0.0730046313361896,26,2.4615384615384617,0.0,64.0,2.4615384615384617,0.3134479225804539,0.7420614683111574,0.0824175824175824,0.63533697,0.5601592229999999,0.071075097,0.0769230769230769,0.0769230769230769,C2,C2,C2
plain,no_discretization,fruitfly,0,0.2783324418302801,0.2238576558383107,61766820955069.76,1.0072983609095854,0.81015151636722,617668209550.6976,0.7119742499572477,-0.0762973190039884,0.1679845130157316,0.1158627373562014,10692768379253.0,0.6054237641399336,0.4175745329998298,106927683792.53,0.7317073170731707,0.24399938435454,30,2.4,0.0,72.0,2.4,0.2804784604767487,0.7030941558441559,0.0887905604719764,0.923158771,0.8080318540000001,0.111874637,0.0333333333333333,0.0333333333333333,C2,C2,C2
plain,no_discretization,fruitfly,0,0.3512149092296556,0.2844444652941896,117146943836061.8,1.011498938581408,0.819200060047266,1171469438360.618,0.7754497988499877,-0.4007805349826328,0.2516299170235913,0.1567512122667825,9720698526594.023,0.8885681444895569,0.5535277183170759,97206985265.94025,1.2167531837437,-0.6046406449643926,30,2.433333333333333,0.0,73.0,2.433333333333333,0.2964493451882932,0.7113226316167494,0.0625368731563422,0.820523231,0.7201449310000001,0.098181228,0.0333333333333333,0.0333333333333333,C2,C2,C2
plain,no_discretization,fruitfly,0,0.2993041594621068,0.2189439497309676,77806091123271.23,0.8110177224134508,0.5932674766903641,778060911232.7124,0.8028042342099411,-0.2641950119440432,0.1835795968230024,0.1302582954994492,9276275157738.828,0.6665550721637696,0.4729519459631254,92762751577.38828,0.7555130569834427,0.1626695603571785,26,2.3846153846153846,0.0,62.0,2.3846153846153846,0.2925781296216922,0.7738662912600549,0.0973451327433628,0.647728677,0.5683387429999999,0.076052838,0.0384615384615384,0.0384615384615384,C2,C2,C2
plain,no_discretization,fruitfly,0,0.4038061285233659,0.3279789273114136,109843893350500.66,0.8814424820379442,0.7159241510342425,1098438933505.0066,0.8536585365853658,-0.9396245932818346,0.1973687463101677,0.1234742371648293,5884494286634.655,0.7247639208766815,0.4534135922118323,58844942866.34655,0.8048780487804877,-0.0104478805716019,18,2.1666666666666665,0.0,39.0,2.1666666666666665,0.2987200341973964,0.7407947246293112,0.0828373015873015,0.340226369,0.295987702,0.041973434,0.0555555555555555,0.0555555555555555,C2,C2,C2
plain,no_discretization,fruitfly,0,0.2710558691217303,0.1908318656831264,99578388273080.31,0.8542366784442413,0.6014095160922774,995783882730.8032,0.8012853165891545,-0.1400316709551936,0.1796039227824775,0.122062113507667,10297865001609.982,0.6351491824544757,0.4316590105715879,102978650016.09982,0.7816385341279024,0.1556520311873742,27,2.2962962962962963,0.0,62.0,2.2962962962962963,0.2787684676927637,0.7056633951906306,0.1114417989417989,1.101769125,0.961225487,0.137814106,0.0,0.0,C2,C2,C2
plain,no_discretization,fruitfly,0,0.3445491490691953,0.2474132810019728,72541418363006.69,0.9694574687508594,0.6961464098329482,725414183630.0669,0.7651749972952504,-0.2050200271939968,0.1700546356395262,0.1159699437054256,6326151294061.167,0.5704328543249331,0.3890106597506456,63261512940.61167,0.7361111111111112,0.2435363830523214,33,2.727272727272727,0.0,90.0,2.727272727272727,0.2988794406445256,0.6922174645000734,0.0487012987012986,0.64561995,0.5768377849999998,0.064930032,0.0303030303030303,0.0303030303030303,C2,C2,C2
plain,no_discretization,fruitfly,0,0.4257120023428331,0.3604620730904332,217766648648573.84,0.7599486983971235,0.643469485847385,2177666486485.7383,0.7827541291414107,-1.4601396439470635,0.1907685285076527,0.1174522996754754,8856636435341.178,0.71182402830434,0.4382555641784046,88566364353.41177,0.9135802469135804,0.1021026843846318,32,2.4375,0.0,78.0,2.4375,0.2931012154899395,0.6624408076657538,0.052820796460177,1.161093017,1.000212682,0.1578123089999999,0.0625,0.03125,C2,C2,C2
plain,no_discretization,fruitfly,0,0.3965883776666938,0.2725126898138952,375299968947541.94,1.1731637590512434,0.8061305614959878,3752999689475.4194,1.0,-1.302155886615025,0.1787744145285223,0.1157806974755027,10692768379252.994,0.663405576700556,0.4296451513047691,106927683792.52994,0.8048780487804877,0.1569270749816564,25,2.4,0.0,60.0,2.4,0.3048274999572982,0.6863280364030645,0.0630088495575221,1.275776305,1.108395371,0.164769639,0.04,0.04,C2,C2,C2
