model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,gascons,0.0,0.1787751347376098,0.1707851414256313,281542138480332.0,0.2920752997464773,0.2790215845584359,2815421384803.32,0.2254831782390836,0.833359241049535,0.1725614641765231,0.1130393065064115,88007825361306.62,0.3157239165571877,0.2068202929629994,880078253613.0663,0.5310000924961051,0.663317472586099,3,0.6666666666666666,1.6666666666666667,7.0,2.3333333333333335,0.7113833491611269,0.8706552706552707,0.4444444444444444,0.0733869075775146,0.039065028,0.000864113,0.3333333333333333,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.2496745782859765,0.2391519228851624,510376184173497.75,0.4130468505727811,0.3956387920399229,5103761841734.978,0.3399788345338478,0.6692884786309508,0.1706738852073779,0.1105031744167199,89538686476431.05,0.3110482156456468,0.2013888368670862,895386864764.3104,0.5228420256600347,0.7104205316061187,3,0.0,1.0,3.0,1.0,0.6956296060090703,0.8604497354497355,0.4305555555555556,0.0851240158081054,0.048592329,0.0008752829999999,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.2248293291019852,0.2201446331328834,298871099891355.6,0.485341594684357,0.4752286889467614,2988710998913.556,0.2835342033500179,0.70155033725144,0.1648769915662627,0.1099629253183201,97064335184322.12,0.2795059256952844,0.1864134524853107,970643351843.2212,0.517262686999522,0.7339388725763858,3,0.6666666666666666,2.0,8.0,2.6666666666666665,0.6938445216049383,0.8694444444444445,0.3888888888888889,0.083810806274414,0.039615867,0.00135543,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.6733318148126803,0.6513941381066833,1082935712251947.6,1.346663629625361,1.302788276213367,10829357122519.477,0.8218682114409848,-0.8135029313557507,0.1658297832393113,0.1065956007169905,86634856980156.1,0.2844432266661973,0.1828404766869086,866348569801.5609,0.5190799352276181,0.6844437851889296,3,0.0,1.3333333333333333,4.0,1.3333333333333333,0.6988382158418922,0.8694444444444445,0.3733333333333333,0.0091438293457031,0.002976576,0.00016086,0.3333333333333333,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.2577685719611918,0.2500703574802347,422313207720498.0,0.5155371439223837,0.5001407149604694,4223132077204.98,0.3125959762346282,0.7342214532363514,0.1650164959238935,0.1030033831810895,88604148300686.05,0.2921923098834912,0.1823865928614658,886041483006.8605,0.5081481723963868,0.6978614834912225,3,0.0,1.0,3.0,1.0,0.7318525867136977,0.8931216931216931,0.4133333333333333,0.0748143196105957,0.035459802,0.001064937,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.3333333333333333,0.2333327987073558,0.21359634203889,127876009462441.16,0.5043687630594977,0.4617067271511372,1278760094624.4116,0.3071906048928141,0.6787207905612318,0.1864747253410496,0.1210022371018335,84096160798378.77,0.3271650754178289,0.2122952907142999,840961607983.7876,0.5518456287954925,0.6473665933496181,3,0.3333333333333333,0.6666666666666666,4.0,1.3333333333333333,0.6765670256706672,0.8532356532356532,0.4861111111111111,0.0715205669403076,0.030916072,0.000772632,0.3333333333333333,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.4729677923893967,0.4334945496675395,1043425253680924.6,0.9885026860938392,0.9060036088051576,10434252536809.246,0.6950608446671441,-0.3347658142446976,0.1784158413300383,0.1155417428222923,87507115468705.56,0.3332735154110826,0.2158272635436968,875071154687.0557,0.533668410822936,0.6867601500936513,3,0.0,1.0,3.0,1.0,0.7392483413118334,0.8724867724867725,0.4583333333333333,0.0191378593444824,0.009030222,0.000322051,0.3333333333333333,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.5826437401230661,0.5601363461803756,1180972557976659.2,1.2955254927442292,1.245479640330482,11809725579766.592,0.7866857551896923,-0.9769059397587284,0.1731779301066967,0.1097522321590906,85867280218849.39,0.3272635351492123,0.2074046240463301,858672802188.4939,0.542407208507651,0.7022878557670056,4,0.0,1.25,5.0,1.25,0.7210893964067108,0.8756105006105006,0.3645833333333333,0.0611026287078857,0.041448037,0.000737404,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.4133510507799401,0.3895498599772701,846153707781306.1,0.6283078445289224,0.5921292141317575,8461537077813.062,0.5636515972504514,0.2108808204476625,0.1830342649785571,0.1196061703509573,105769213472663.58,0.3315203304090033,0.2166363610570416,1057692134726.6356,0.5636515972504514,0.616198130293512,4,0.0,1.5,6.0,1.5,0.7419884055469058,0.8945741758241759,0.4270833333333333,0.0523827075958251,0.032989272,0.000425073,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,gascons,0.0,0.5672416523442582,0.4917211759188409,1744056834937322.0,1.1344833046885163,0.983442351837682,17440568349373.22,0.7745168217609164,-0.287052368616977,0.1931309607693177,0.1326270579813886,85555468089432.31,0.3549491556527085,0.2437509866863126,855554680894.3231,0.5250717472226509,0.6303560365210384,3,0.0,1.0,3.0,1.0,0.7024849966318221,0.8558201058201057,0.52,0.0371909141540527,0.022138273,0.000313917,0.3333333333333333,0.3333333333333333,C2,C2,C2
