model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,gascons,0,0.1905042199538401,0.1766797547049961,281542138480332.0,0.3112377861029299,0.2886519559352325,2815421384803.32,0.2579977510970912,0.8107760048601305,0.1679753827439891,0.1056786450161602,88007825361306.61,0.307333076815305,0.1933529937299764,880078253613.066,0.5310000924961051,0.6809753629920412,6,0.3333333333333333,1.5,11.0,1.8333333333333333,0.657520313443516,0.8325498575498576,0.2916666666666666,0.2303534,0.213419109,0.004266232,0.6666666666666666,0.6666666666666666,C2,C2,C2
complex,no_discretization,gascons,0,0.2651945452847514,0.2569149463332409,510376184173497.75,0.4387221657524264,0.4250248871011332,5103761841734.978,0.3399788345338478,0.6268960481320558,0.17454484197809,0.1158096512355524,71050945948686.17,0.318102922315671,0.2110597372737729,710509459486.8617,0.4967322661918049,0.6971359988157529,6,0.5,1.5,12.0,2.0,0.6512088400451889,0.7794312169312169,0.2986111111111111,0.247149582,0.240614908,0.003544206,0.3333333333333333,0.3333333333333333,C2,C2,C2
complex,no_discretization,gascons,0,0.1922569405554258,0.1744525894433999,135746797278898.28,0.4150272141584312,0.3765927616982223,1357467972788.983,0.2835342033500179,0.7817625807240451,0.1682725054088373,0.1087214516845464,88018040210298.77,0.2852621335855682,0.1843088578178689,880180402102.9877,0.4690543431545088,0.7228673847903662,6,0.3333333333333333,1.8333333333333333,13.0,2.1666666666666665,0.7129722824802435,0.8345238095238096,0.2986111111111111,0.309210864,0.2949804499999999,0.005010302,0.6666666666666666,0.5,C2,C2,C2
complex,no_discretization,gascons,0,0.6733318148126803,0.6513941381066833,1082935712251947.6,1.346663629625361,1.302788276213367,10829357122519.477,0.8218682114409848,-0.8135029313557507,0.1594066274954285,0.0967134373028578,86634856980156.06,0.2734257658127817,0.1658898759380548,866348569801.5607,0.5190799352276181,0.7084155100295897,3,0.0,1.0,3.0,1.0,0.6820203775954826,0.8408730158730159,0.3999999999999999,0.137490048,0.13224373,0.001820707,0.0,0.0,C2,C2,C2
complex,no_discretization,gascons,0,0.253141183412399,0.2462419470293485,422313207720497.94,0.506282366824798,0.4924838940586971,4223132077204.98,0.3049391553328558,0.7436781650422807,0.1427000626035731,0.08490835855262,33785056617640.64,0.2526769258988943,0.150345995865456,337850566176.4064,0.5471899945957444,0.7740565799566127,5,0.8,1.8,13.0,2.6,0.7039260232712613,0.802063492063492,0.256,0.232273412,0.215715143,0.003704944,0.6,0.6,C2,C2,C2
complex,no_discretization,gascons,0,0.1926991858377631,0.1862544792988984,205246368128791.88,0.4165357401188233,0.402604956777192,2052463681287.9187,0.2537202918442532,0.7808755689147381,0.2638733315582325,0.1585360156690803,133114627497144.77,0.4629589251954169,0.2781473329855009,1331146274971.4475,0.7093772369362923,0.2938865222347524,6,0.3333333333333333,1.1666666666666667,9.0,1.5,0.6079316516816516,0.7590811965811964,0.2430555555555555,0.285556603,0.2736710029999999,0.003900819,0.5,0.5,C2,C2,C2
complex,no_discretization,gascons,0,0.4638884828816436,0.4206869038805543,1043425253680924.4,0.9695269292226352,0.8792356291103586,10434252536809.244,0.6950608446671441,-0.2840121115852918,0.1779952211407216,0.1135734054803529,87507115468705.56,0.3324878140512625,0.2121504896621133,875071154687.0557,0.533668410822936,0.688235352026256,4,0.0,1.5,6.0,1.5,0.7518046770365066,0.8626984126984127,0.40625,0.175475122,0.1681277819999999,0.002644575,0.5,0.5,C2,C2,C2
complex,no_discretization,gascons,0,0.5868363079356028,0.564122159937127,1189947812651496.2,1.3048477905862226,1.2543422144484353,11899478126514.965,0.7926644758248195,-1.0054590057741644,0.177306761263423,0.1195422592518461,85867280218849.4,0.3350660067433235,0.2259053583697381,858672802188.494,0.542407208507651,0.6879227893443707,5,0.4,1.6,10.0,2.0,0.7069965171253687,0.8438217338217339,0.3166666666666666,0.198031074,0.187755317,0.002205075,0.2,0.2,C2,C2,C2
complex,no_discretization,gascons,0,0.4133510507799401,0.3895498599772701,846153707781306.1,0.6283078445289224,0.5921292141317575,8461537077813.062,0.5636515972504514,0.2108808204476625,0.1830342649785571,0.1196061703509573,105769213472663.58,0.3315203304090033,0.2166363610570416,1057692134726.6356,0.5636515972504514,0.616198130293512,4,0.0,1.5,6.0,1.5,0.7419884055469058,0.8945741758241759,0.4270833333333333,0.130325439,0.116891108,0.00218595,0.0,0.0,C2,C2,C2
complex,no_discretization,gascons,0,0.2267199721663228,0.2251252684323551,567382630219905.5,0.4534399443326457,0.4502505368647102,5673826302199.055,0.251968503937008,0.7943922168836072,0.1969785612096328,0.1400168411833089,75659726522003.9,0.3620205362440891,0.2573324305808064,756597265220.0391,0.5250717472226509,0.6154810584900696,3,0.3333333333333333,1.3333333333333333,5.0,1.6666666666666667,0.7024849966318221,0.8365893365893365,0.48,0.116446599,0.1090735209999999,0.001878256,0.0,0.0,C2,C2,C2
