model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,gascons,0.6666666666666666,0.1786027887604822,0.1704736276689405,281542138480332.0,0.2917937281341636,0.2785126464782373,2815421384803.32,0.2254831782390836,0.833680382140617,0.1498024530769949,0.1047101518128521,35192767310042.38,0.2740833095097126,0.1915810079116673,351927673100.4238,0.5240722928602419,0.7462705986028819,3,0.3333333333333333,1.6666666666666667,8.0,2.6666666666666665,0.7229218106995884,0.8659932659932661,0.4166666666666667,0.0785801410675048,0.034759764,0.000806235,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.5,0.2955772207481703,0.2851368392031253,546614294112881.6,0.4889854664788862,0.4717135169453632,5466142941128.815,0.3641182649480088,0.536507620974189,0.2277017219097931,0.1420376737201127,25655796016099.7,0.4149797973686766,0.2588595490834341,256557960160.99695,0.6943450250536866,0.4845740898934768,4,0.5,1.5,10.0,2.5,0.5852403723727254,0.7916666666666666,0.34375,0.0827221870422363,0.04790217,0.001062383,0.75,0.5,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.75,0.2427190224642932,0.2244506108431164,298871099891355.6,0.5239602764175495,0.4845240513307847,2988710998913.556,0.3481238690035132,0.6521653904614748,0.162407639854166,0.104495712756143,37358887486420.336,0.2753197840778263,0.1771452198856755,373588874864.20337,0.553951367781155,0.741848752335323,4,0.5,0.75,8.0,2.0,0.6274284713885555,0.7906746031746031,0.34375,0.0820178985595703,0.038964522,0.001343607,0.75,0.75,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.0,0.6733318148126803,0.6513941381066833,1082935712251947.6,1.346663629625361,1.302788276213367,10829357122519.477,0.8218682114409848,-0.8135029313557507,0.1658297832393113,0.1065956007169905,86634856980156.1,0.2844432266661973,0.1828404766869086,866348569801.5609,0.5190799352276181,0.6844437851889296,3,0.0,1.3333333333333333,4.0,1.3333333333333333,0.6988382158418922,0.8694444444444445,0.3733333333333333,0.011531114578247,0.003241599,0.000165719,0.3333333333333333,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.5,0.2771382329132222,0.2764752455753497,665707461025059.4,0.5542764658264445,0.5529504911506995,6657074610250.594,0.2956335003579099,0.6927775994309462,0.1895875399674339,0.1340778999282096,110726525465069.36,0.3356999002921632,0.2374097878215736,1107265254650.6936,0.6146556900403115,0.6011854873839418,4,0.75,0.75,8.0,2.0,0.6495777123264961,0.8014652014652014,0.4,0.077824592590332,0.039181357,0.001133345,0.5,0.5,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.3333333333333333,0.1944610948093035,0.1816142388535579,127876009462441.08,0.4203442567676713,0.3925746809365016,1278760094624.411,0.2463459377489343,0.7768502035544237,0.1781986995554865,0.1150673827343317,84096160798378.77,0.312645002548213,0.2018827424550849,840961607983.7876,0.5518456287954925,0.6779727961314083,3,0.0,1.3333333333333333,5.0,1.6666666666666667,0.7133976553584397,0.8825396825396825,0.4027777777777778,0.0751924514770507,0.036541319,0.001017388,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.0,0.4729677923893967,0.4334945496675395,1043425253680924.6,0.9885026860938392,0.9060036088051576,10434252536809.246,0.6950608446671441,-0.3347658142446976,0.1784158413300383,0.1155417428222923,87507115468705.56,0.3332735154110826,0.2158272635436968,875071154687.0557,0.533668410822936,0.6867601500936513,3,0.0,1.0,3.0,1.0,0.7392483413118334,0.8724867724867725,0.4583333333333333,0.0192630290985107,0.0083552019999999,0.000354111,0.3333333333333333,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.0,0.5340928992590793,0.4791598019944477,1180972557976659.0,1.187571270117247,1.0654259126700072,11809725579766.59,0.7866857551896923,-0.6611675731361288,0.1716243254338094,0.1169908694177314,85867280218849.42,0.3243276058586835,0.2210838614495376,858672802188.4943,0.542407208507651,0.7076055342888361,3,0.0,1.3333333333333333,4.0,1.3333333333333333,0.7645620223398,0.8706552706552707,0.375,0.0543365478515625,0.035855149,0.0006197959999999,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.5,0.4365351417778228,0.4261928703717229,803695435621455.1,0.6635484619526751,0.6478278529390084,8036954356214.551,0.5353687064478506,0.1198778950485958,0.1692928081511932,0.120946815065017,100461929452682.23,0.3066311529195183,0.2190646002647016,1004619294526.8224,0.5353687064478506,0.6716633938213373,4,0.0,1.25,7.0,1.75,0.6529476221783914,0.8641025641025643,0.40625,0.0416316986083984,0.026500962,0.000271026,0.25,0.25,C2,C2,C2
exact_M-of-N,no_discretization,gascons,0.3333333333333333,0.5418555670780338,0.4757100643727993,1655403298965462.0,1.0837111341560677,0.9514201287455986,16554032989654.62,0.735146743020759,-0.1744298222938303,0.1858055412603353,0.126564576656126,85555468089432.31,0.3414860037108461,0.2326089480458454,855554680894.3231,0.5250717472226509,0.6578652870736682,3,0.3333333333333333,0.6666666666666666,4.0,1.3333333333333333,0.6291231732699988,0.828042328042328,0.4666666666666666,0.0338168144226074,0.020282589,0.000265116,0.3333333333333333,0.3333333333333333,C2,C2,C2
