model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,gascons,0,0.1576099772543341,0.1427900460319178,165627530095863.0,0.2574965551957751,0.2332843745680695,1656275300958.63,0.2357508830956105,0.8704807205778704,0.0984976073048971,0.0657775370352219,9939941911997.045,0.1802143398482177,0.1203486636680447,99399419119.97044,0.3364352183249821,0.8903056381187132,8,1.75,0.0,14.0,1.75,0.4915425183646691,0.6816287878787879,0.2083333333333333,0.080835866,0.0746564759999999,0.003711766,0.625,0.125,C2,C2,C2
plain,no_discretization,gascons,0,0.3929238612262564,0.3680112805936364,378255086813270.56,0.6500299890704466,0.6088160895994402,3782550868132.7056,0.5614425747801934,0.1809366722769543,0.2058755292695976,0.1441330274671392,47281885851660.09,0.3752021930396841,0.2626782706375084,472818858516.60095,0.5225483178239083,0.5786499263603004,5,1.6,0.0,8.0,1.6,0.4302465955097534,0.6417948717948717,0.225,0.060411594,0.054906048,0.002999736,0.4,0.4,C2,C2,C2
plain,no_discretization,gascons,0,0.4531179070143779,0.36279858843531,401536744892202.8,0.9781507085787704,0.783177382433742,4015367448922.0273,0.7325227963525835,-0.2122372211712109,0.2109426851804373,0.131269649448913,50192093111526.54,0.3575982914893957,0.2225334446993972,501920931115.2654,0.6147416413373858,0.5644978953424272,5,1.0,0.0,5.0,1.0,0.4841907087795246,0.7075757575757576,0.2666666666666666,0.060867284,0.055204747,0.002815073,0.8,0.6,C2,C2,C2
plain,no_discretization,gascons,0,0.6239696558247532,0.5,285347550611816.9,1.2479393116495063,1.0,2853475506118.169,0.8732802317161477,-0.5573525255602436,0.1804688487919754,0.1118869120241453,22827804048945.605,0.3095532096851625,0.1919165161781408,228278040489.45605,0.6944243301955105,0.6262715430313122,8,1.125,0.0,9.0,1.125,0.4758895877603347,0.7165674603174603,0.1999999999999999,0.085126483,0.079034365,0.004328997,0.5,0.5,C2,C2,C2
plain,no_discretization,gascons,0,0.2321647492488083,0.2228972202945527,355686368268995.3,0.4643294984976167,0.4457944405891054,3556863682689.953,0.2878379623500889,0.7843981168249519,0.1496791356355457,0.0867006014787332,28454909461520.23,0.2650346690362723,0.1535194943543275,284549094615.20233,0.6356478167501789,0.7514155809937634,8,1.375,0.0,11.0,1.375,0.5634045880287835,0.7225559163059163,0.24,0.090966822,0.084518037,0.004644218,0.375,0.25,C2,C2,C2
plain,no_discretization,gascons,0,0.2061232445398004,0.2003948281948792,378255086813270.4,0.4455529889595077,0.433170528018809,3782550868132.7046,0.251968503937008,0.7492823075475559,0.1437219238826244,0.112846301250516,47281885851660.03,0.2521563926706767,0.1979859125236683,472818858516.60034,0.3042233357193987,0.7905262803453067,6,1.3333333333333333,0.0,8.0,1.3333333333333333,0.4099347598888039,0.6278860028860028,0.2152777777777778,0.053356277,0.049009055,0.002062478,0.6666666666666666,0.5,C2,C2,C2
plain,no_discretization,gascons,0,0.3149952936855861,0.3093805957787164,443804974016706.56,0.658340163802875,0.6466054451775173,4438049740167.065,0.3877858569114269,0.4079613360222253,0.1864944395085265,0.1400733206630872,55475621752089.805,0.3483640073453605,0.2616512504981885,554756217520.8981,0.3994273443092342,0.6577511814110955,6,1.6666666666666667,0.0,10.0,1.6666666666666667,0.4567893996023142,0.6968253968253969,0.2222222222222222,0.043782652,0.03975161,0.001610707,0.1666666666666666,0.1666666666666666,C2,C2,C2
plain,no_discretization,gascons,0,0.5101520378786507,0.3999424314384945,1162704556624881.8,1.134338060694882,0.889283759316182,11627045566248.818,0.7745168217609165,-0.5155807775797052,0.1120659886669291,0.079765893497742,12705904283541.305,0.2117770526448427,0.1507378467586684,127059042835.41304,0.3364352183249821,0.8753308163820727,8,1.375,0.0,11.0,1.375,0.5333973972364066,0.7059523809523809,0.2135416666666666,0.136257889,0.129755132,0.003351384,0.625,0.25,C2,C2,C2
plain,no_discretization,gascons,0,0.180787158841424,0.1490841533345184,216444383536153.28,0.2748027127929961,0.22661305168642,2164443835361.5327,0.2767109928942869,0.8490477236968033,0.1122210935998198,0.0724621079748243,27055547942019.36,0.2032601602406546,0.1312468022354227,270555479420.1936,0.3997737086383263,0.855724934485364,7,1.2857142857142858,0.0,9.0,1.2857142857142858,0.5896437879180976,0.7296076938934082,0.2916666666666667,0.091919149,0.077748254,0.01159253,0.4285714285714285,0.4285714285714285,C2,C2,C2
plain,no_discretization,gascons,0,0.2295909630698405,0.228375528050038,567382630219905.5,0.459181926139681,0.4567510561000761,5673826302199.055,0.251968503937008,0.7891519587066526,0.1680317543535085,0.1271733375154834,45390610417593.67,0.3088201347574743,0.2337277699693868,453906104175.9367,0.4430923407301361,0.7201904456824397,6,1.5,0.0,9.0,1.5,0.4327340845220522,0.6726495726495726,0.2266666666666666,0.047317138,0.043797762,0.001857315,0.6666666666666666,0.5,C2,C2,C2
