model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,kidney,0.23076923076923078,0.2951948117286472,0.2682557787368197,126803906219328.48,0.72663338271667,0.6603219168906331,1268039062193.285,0.5714285714285714,0.2103421564917897,0.1974586986820639,0.1336760283978223,22773043055465.51,0.5594663129325145,0.3787487471271632,227730430554.65512,0.778486876217532,0.3767331648818206,13,0.9230769230769231,1.3076923076923077,32.0,2.4615384615384617,0.5637578022284568,0.8868065388936532,0.1561085972850678,0.2201149463653564,0.144556814,0.017124878,0.5384615384615384,0.5384615384615384,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.23076923076923078,0.4697614828116935,0.3440304132586332,201053554793326.1,0.9503220801707822,0.6959695716496488,2010535547933.2607,0.86423737766159,-0.9120713712780611,0.2040314372221326,0.1434306004697515,23527275181503.984,0.6255649862656049,0.4397614545803655,235272751815.03983,0.6428571428571428,0.2044917105808916,13,1.1538461538461537,1.1538461538461537,33.0,2.5384615384615383,0.5501576950560936,0.908856037888296,0.1447963800904977,0.1644949913024902,0.108394725,0.0123812429999999,0.7692307692307693,0.6923076923076923,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.0,0.3318477322359542,0.2636949516648764,91910196476949.28,0.6896210685528424,0.5479910714285714,919101964769.4928,0.5357142857142856,-0.205423444130127,0.2205896113787661,0.153324795160456,18648445661990.33,0.6360882525130989,0.4421246332089567,186484456619.9033,0.8214285714285714,0.2067093670755874,6,0.0,1.3333333333333333,8.0,1.3333333333333333,0.5783018036791255,0.8821926611400296,0.2246376811594203,0.0294203758239746,0.0184725099999999,0.001311517,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.0,0.233276681078642,0.1639979940075012,137865294715423.7,0.5660847460841714,0.3979684654582029,1378652947154.237,0.5357142857142856,0.4925275447384174,0.2099981350597096,0.1312920101290893,20127529240754.64,0.6156546235741411,0.3849107186182102,201275292407.5464,0.7559050171706173,0.2024294773712609,17,1.1176470588235294,1.7647058823529411,49.0,2.8823529411764706,0.5023819716422195,0.870895559649885,0.1014492753623188,0.1530508995056152,0.081980224,0.042918407,0.4705882352941176,0.4117647058823529,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.0,0.3471509489326961,0.3095216338678196,423961163891471.6,1.0296850180207089,0.9180726428282784,4239611638914.716,0.6428571428571428,0.0809923920102874,0.2247044246154915,0.163372011459726,46621114154974.77,0.6498936352651641,0.4725070750601656,466211141549.7477,0.6428571428571428,0.0800158947492565,6,0.3333333333333333,0.8333333333333334,7.0,1.1666666666666667,0.455158888680452,0.866923076923077,0.3164251207729469,0.0234801769256591,0.013717919,0.001046773,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.1875,0.3420109540119237,0.263210212146815,109068154119104.28,0.7296233685587706,0.5615151192465386,1090681541191.0426,0.5714285714285714,0.125702127824192,0.2011330768450633,0.1364357636471261,12831547543424.549,0.5566240963851754,0.3775780435815817,128315475434.24548,0.7286944304115999,0.3341550123294403,16,1.375,1.375,47.0,2.9375,0.5889519772492623,0.9041253306878309,0.1360294117647059,0.8150262832641602,0.527736702,0.098126676,0.5,0.4375,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.15384615384615385,0.368996608815646,0.2948531401190733,249655294112686.62,0.8911616212906169,0.7120981497215355,2496552941126.8667,0.6785714285714285,-0.3544753005762298,0.2236829280785179,0.1433302785280718,22300140912290.406,0.6347128093315919,0.4067076755848716,223001409122.90405,0.7857142857142857,0.2051348759054747,13,0.8461538461538461,1.6153846153846154,34.0,2.6153846153846154,0.6191414233819152,0.9282916600307906,0.1549773755656108,0.8003461360931396,0.45776114,0.079963285,0.3846153846153846,0.3846153846153846,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.3125,0.3468726347494342,0.3153938593099111,138357885139965.05,0.707348117920415,0.6431561052594267,1383578851399.6504,0.5629826740448429,-0.2525388615653166,0.1953420232524289,0.1311081634733441,10550978575900.28,0.5336172342505375,0.3581491294881596,105509785759.0028,0.7330501658345068,0.3881325590045067,16,1.125,1.375,45.0,2.8125,0.5711709872786719,0.8961545492312799,0.1783088235294117,0.7930507659912109,0.4671131620000001,0.077402843,0.5,0.25,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.375,0.3862209602514053,0.3126226613331695,417714341017608.25,0.9860960687269924,0.7981855182974542,4177143410176.0825,0.7857142857142857,-0.4682156349830855,0.233453203668351,0.1605240317713482,25268701707168.65,0.648897663919037,0.4461865058286819,252687017071.6865,0.7760774551846252,0.1312871108911623,8,0.125,0.625,9.0,1.125,0.5753538365452369,0.901345840661846,0.2242647058823529,0.0591299533843994,0.036452014,0.001614482,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,kidney,0.21428571428571427,0.3027448171940637,0.2136705233294376,134096023561493.52,0.9632789637992936,0.6798607560482105,1340960235614.935,0.7218956202315014,0.1273833952288569,0.2556355824635962,0.1835101322501634,24074255022097.883,0.7045477108697118,0.5057654429490952,240742550220.9788,0.7964701687663418,-0.0644044165892117,14,1.0714285714285714,1.2142857142857142,35.0,2.5,0.5218339699459976,0.8874441671776874,0.1873706004140787,0.8485548496246338,0.431222602,0.082145392,0.5,0.5,C2,C2,C2
