model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,kidney,0,0.3553842046948812,0.3019859530478521,80421421917331.22,0.8747918884797077,0.7433500382716359,804214219173.3121,0.6785714285714285,-0.1445051622772739,0.2422864459728153,0.1531403250159307,11935430771369.08,0.6864782635896436,0.433897587545137,119354307713.6908,0.8214285714285714,0.061617897721263,10,0.5,1.8,23.0,2.3,0.6151046126526567,0.9093954248366014,0.0926470588235294,1.405521155,1.385189805,0.0085755739999999,0.9,0.9,C2,C2,C2
complex,no_discretization,kidney,0,0.4790474117122864,0.3311688311688311,180948199313993.56,0.9691074076018666,0.669950738916256,1809481993139.9355,0.8928571428571428,-0.9884115884115884,0.2138914440082351,0.1454831932773109,42576046897410.766,0.6557959893585824,0.4460547504025767,425760468974.10767,0.6785714285714285,0.1257465459893416,9,0.4444444444444444,1.3333333333333333,16.0,1.7777777777777777,0.6715443121693121,0.9629629629629632,0.0359477124183006,1.083708168,1.069211676,0.003253841,1.0,1.0,C2,C2,C2
complex,no_discretization,kidney,0,0.3733016993784967,0.2975295381310419,91910196476949.34,0.7757675940209385,0.6183035714285714,919101964769.4934,0.6785714285714285,-0.5253933875530408,0.2399256761579677,0.1656314699792961,18648445661990.195,0.6918453825928265,0.4776119402985075,186484456619.90195,0.8214285714285714,0.0615402085990323,5,0.2,1.0,6.0,1.2,0.652049253200569,0.9704260651629072,0.1333333333333333,0.601315871,0.588047352,0.003207856,0.6,0.6,C2,C2,C2
complex,no_discretization,kidney,0,0.3121332031621539,0.2220664065734463,114887745596186.52,0.7574432396734936,0.5388811466182297,1148877455961.8652,0.6785714285714285,0.0914480658882853,0.2204864400174674,0.1626481946850365,16644670883737.814,0.6464033415990095,0.4768381064210784,166446708837.37814,0.7171956128437579,0.1207710296880226,12,0.25,1.75,24.0,2.0,0.6011834860691482,0.9466555140574748,0.1280193236714975,1.393908554,1.366525806,0.0130694249999999,0.6666666666666666,0.5833333333333334,C2,C2,C2
complex,no_discretization,kidney,0,0.3624660434482949,0.3259183673469388,413595884146271.0,1.0751111458212137,0.9667070217917676,4135958841462.71,0.6785714285714285,-0.0018830926294819,0.2281164597206968,0.1651138716356107,41959002739477.36,0.6597619763179434,0.4775449101796407,419590027394.7736,0.6785714285714285,0.0518646880796642,4,0.5,0.75,5.0,1.25,0.675595238095238,1.0,0.0289855072463768,0.416596381,0.405794765,0.000759608,1.0,1.0,C2,C2,C2
complex,no_discretization,kidney,0,0.3652492531303167,0.2952294474698204,77998950671497.78,0.7791984066780091,0.6298228212689502,779989506714.9778,0.6160714285714285,0.0028555816193553,0.1967040862314149,0.12597011337039,9461343754980.611,0.5443671223613578,0.3486149649087539,94613437549.80614,0.7873533714953591,0.3631562311017113,21,0.7142857142857143,1.8095238095238095,53.0,2.5238095238095237,0.5394248027708135,0.8596327419856833,0.1092436974789915,2.51237985,2.4621067240000003,0.0402409949999999,0.5238095238095238,0.3809523809523809,C2,C2,C2
complex,no_discretization,kidney,0,0.3104653057937781,0.2589373366513799,221563068638272.5,0.749803002671766,0.6253580960637101,2215630686382.725,0.5357142857142856,0.0411459861754641,0.2058425964509824,0.1284526685377054,23653359387450.637,0.5840898713005522,0.3644916257761417,236533593874.50632,0.7857142857142857,0.3268710542045522,19,0.6842105263157895,2.0,51.0,2.6842105263157894,0.5605353007965276,0.8348684210526315,0.1029411764705882,1.851894157,1.8117951300000008,0.03019635,0.5789473684210527,0.3684210526315789,C2,C2,C2
complex,no_discretization,kidney,0,0.3526002336511843,0.3103399585737829,60316066437998.29,0.7190279274455523,0.6328501116014398,603160664379.9829,0.5605236668155604,-0.2942444834665325,0.2057766377189984,0.1131736016706278,8428063346564.881,0.5621215469397031,0.3091571557831786,84280633465.6488,0.8214285714285714,0.3210182296038932,16,0.8125,1.875,43.0,2.6875,0.6013766662895257,0.8875685690943044,0.1231617647058823,1.842026083,1.805187993,0.0220121879999999,0.6875,0.6875,C2,C2,C2
complex,no_discretization,kidney,0,0.3178169473748335,0.2578175175229114,281474976710656.4,0.8114475252123412,0.6582574915478591,2814749767106.564,0.6785714285714285,0.0058034085053508,0.2432266993615782,0.1728984810475606,23653359387450.64,0.6760637015831313,0.4805820553497159,236533593874.5064,0.7857142857142858,0.0570273823662571,7,0.2857142857142857,1.2857142857142858,11.0,1.5714285714285714,0.6320898898783829,0.9620998196849592,0.1197478991596638,0.859029895,0.843288862,0.004859839,0.7142857142857143,0.7142857142857143,C2,C2,C2
complex,no_discretization,kidney,0,0.2963593471370824,0.2350821993622661,126685312773203.23,0.9429615590725348,0.7479888161526649,1266853127732.0325,0.6428571428571428,0.1638055176540737,0.2306409148371049,0.1430480693302865,19622159341806.93,0.6356608380389256,0.3942494578403904,196221593418.06924,0.8214285714285714,0.1335634511919964,20,0.75,1.9,53.0,2.65,0.5925058366524713,0.9185811900517784,0.1050724637681159,2.291879447,2.2520443839999995,0.0290582139999999,0.75,0.7,C2,C2,C2
