model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,kidney,0.38461538461538464,0.3321877357984498,0.2769462705052674,120489995420832.14,0.817692888119261,0.6817138966283505,1204899954208.3213,0.6785714285714285,2.6013995944373924e-05,0.2184329261262924,0.1503624930935254,16984376039460.02,0.618893290691162,0.4260270637649887,169843760394.60022,0.7502524868406157,0.2372930843706933,13,0.8461538461538461,1.1538461538461537,31.0,2.3846153846153846,0.5121842441948167,0.8547287482632311,0.1481900452488688,0.2236261367797851,0.1466020409999999,0.020890902,0.6153846153846154,0.5384615384615384,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.3333333333333333,0.4026043162018278,0.3103578183579751,139669219431292.72,0.8144639040404792,0.6278502992069382,1396692194312.9272,0.7857142857142857,-0.4044495475536778,0.2098218532465169,0.1503262669222352,21322122839294.61,0.6433185323371469,0.4609037233815394,213221228392.9461,0.6428571428571428,0.1586979075249359,15,1.0,0.9333333333333333,34.0,2.2666666666666666,0.5158458511382146,0.872475617636908,0.192156862745098,0.1517255306243896,0.099697457,0.010399746,0.8,0.5333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.0,0.3318477322359542,0.2636949516648764,91910196476949.28,0.6896210685528424,0.5479910714285714,919101964769.4928,0.5357142857142856,-0.205423444130127,0.2205896113787661,0.153324795160456,18648445661990.33,0.6360882525130989,0.4421246332089567,186484456619.9033,0.8214285714285714,0.2067093670755874,6,0.0,1.3333333333333333,8.0,1.3333333333333333,0.5783018036791255,0.8821926611400296,0.2246376811594203,0.0301744937896728,0.019121432,0.001451488,0.5,0.5,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.0,0.233276681078642,0.1639979940075012,137865294715423.7,0.5660847460841714,0.3979684654582029,1378652947154.237,0.5357142857142856,0.4925275447384174,0.2099981350597096,0.1312920101290893,20127529240754.64,0.6156546235741411,0.3849107186182102,201275292407.5464,0.7559050171706173,0.2024294773712609,17,1.1176470588235294,1.7647058823529411,49.0,2.8823529411764706,0.5023819716422195,0.870895559649885,0.1014492753623188,0.1539616584777832,0.085693682,0.0429286489999999,0.4705882352941176,0.4117647058823529,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.0,0.3471509489326961,0.3095216338678196,423961163891471.6,1.0296850180207089,0.9180726428282784,4239611638914.716,0.6428571428571428,0.0809923920102874,0.2247044246154915,0.163372011459726,46621114154974.77,0.6498936352651641,0.4725070750601656,466211141549.7477,0.6428571428571428,0.0800158947492565,6,0.3333333333333333,0.8333333333333334,7.0,1.1666666666666667,0.455158888680452,0.866923076923077,0.3164251207729469,0.0241312980651855,0.014248761,0.001045522,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.5625,0.3408947529280662,0.2704666540227811,90784327944896.8,0.7272421395798747,0.5769955285819331,907843279448.968,0.5732783631755707,0.1313996047032072,0.2279438112110139,0.154402794746439,11496781576926.2,0.6308212449793177,0.4273007575540988,114967815769.262,0.7631820258279042,0.1448116991732591,16,1.0,1.25,45.0,2.8125,0.5648532887060326,0.8809466443306209,0.2454044117647058,0.7187020778656006,0.438256088,0.085840223,0.625,0.5,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.5238095238095238,0.3602580823938052,0.2765423244236329,261369621231324.72,0.8700572555925861,0.667875802381604,2613696212313.247,0.6304232046986459,-0.291081939938149,0.1961690764285635,0.1208599658453157,21614632717709.32,0.5566407176154767,0.3429469075551136,216146327177.0932,0.7986832743668062,0.3886514892504519,21,1.0,2.0952380952380953,76.0,3.619047619047619,0.5903173895450399,0.9103551038333648,0.1169467787114846,1.3143208026885986,0.8012611729999999,0.202528922,0.5714285714285714,0.4761904761904761,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.2727272727272727,0.3667174901604987,0.2857218456303583,89683317895148.25,0.7478160583665073,0.5826484695207307,896833178951.4825,0.6318681318681318,-0.3999559744458913,0.2393705227303993,0.1738970428482381,10550978575900.346,0.6538902084342617,0.4750358243659187,105509785759.00346,0.7600989094586579,0.0812289188121213,11,1.3636363636363635,0.6363636363636364,25.0,2.272727272727273,0.5173898548835549,0.8503321986451834,0.231283422459893,0.586266279220581,0.346190919,0.050693408,0.4545454545454545,0.4545454545454545,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.5555555555555556,0.3019157797604444,0.2661601569278562,221158910272658.72,0.7708487993883688,0.6795578474753777,2211589102726.5874,0.5357142857142856,0.1027989144331212,0.254543272596655,0.1776753489147313,21181092870615.613,0.7075188190131843,0.4938596559615306,211810928706.15613,0.7857142857142857,-0.0327610153219437,9,0.4444444444444444,0.8888888888888888,17.0,1.8888888888888888,0.5220356738018144,0.8914639610633527,0.176470588235294,0.0603983402252197,0.0399981419999999,0.003438447,0.4444444444444444,0.4444444444444444,C2,C2,C2
exact_M-of-N,no_discretization,kidney,0.55,0.302182057028235,0.2091898134858416,128922511651080.22,0.9614883632716564,0.6656039520004052,1289225116510.8022,0.7239280245267754,0.1306245238534412,0.2116049329450463,0.1469314134887957,23637318417518.496,0.5831964771038938,0.4049521980889492,236373184175.18497,0.7696547207561094,0.2706841780825596,20,1.05,1.1,54.0,2.7,0.5543947977481709,0.9027656387877612,0.1898550724637681,1.1695048809051514,0.7095234020000001,0.177374832,0.5,0.4,C2,C2,C2
