model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,lowbwt,0.6,0.1862941339817848,0.1498683968474583,86169473939214.25,0.3331794047339182,0.2680334704201963,861694739392.1425,0.4122868488670871,0.471224681090818,0.1275833128207657,0.0965160021887517,12643393329091.2,0.2456786763214302,0.1858544282737059,126433933290.912,0.4772575370338624,0.4622622031208904,5,0.8,1.0,12.0,2.4,0.5023143303619684,0.801190093092748,0.3952941176470588,0.3347117900848388,0.029544636,0.0031204809999999,0.4,0.4,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.75,0.2130465408275298,0.1613888967978449,72799564330994.8,0.3494783498990462,0.2647399254916701,727995643309.948,0.4861241174197871,0.1042199205951819,0.1338099640682007,0.0977956761133029,8136421895817.3955,0.2782195945164958,0.2033381709888352,81364218958.17395,0.528344671201814,0.4360518721585338,4,0.0,0.5,5.0,1.25,0.4809930314696902,0.7507862794240503,0.3602941176470587,0.082230806350708,0.026401201,0.000738518,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.4,0.2720524982936737,0.2361743906154025,87223798066691.89,0.4291005555230708,0.3725110515397482,872237980666.919,0.4723579913218175,0.0770144727203425,0.1184184054628622,0.0897407110953156,11673244506291.61,0.2268115634267723,0.1718840150481694,116732445062.91608,0.4406367639807704,0.5003301121546375,5,0.4,0.8,8.0,1.6,0.5372693557509374,0.7915617433414044,0.3070588235294118,0.0829851627349853,0.030102235,0.00124322,0.8,0.8,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.75,0.1987202522518555,0.1486194322485782,106082653320886.02,0.3568662400300061,0.2668940753694575,1060826533208.86,0.4239914552286328,0.415415287398758,0.1193587734396073,0.0880019542896683,9379393861393.648,0.2281823058176874,0.1682363873857961,93793938613.93648,0.4343081947576745,0.5045042631854626,8,0.625,1.125,20.0,2.5,0.6361202227182866,0.8291188357480066,0.2638888888888888,0.1069035530090332,0.0383643819999999,0.0022392469999999,0.875,0.875,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.8,0.1994480701126518,0.154707295531315,85131613273018.92,0.3415669045276293,0.2649456172357336,851316132730.1892,0.4122868488670871,0.3905458730265313,0.1143212664083975,0.085354444133995,9514709718749.33,0.2184174841280045,0.1630746713414826,95147097187.4933,0.4122868488670871,0.5321822269615529,5,0.4,0.6,9.0,1.8,0.6284245996177822,0.8331630087932609,0.3270588235294117,0.3148524761199951,0.020328581,0.00059422,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.8,0.2511623934556045,0.1940788923709245,91104398558202.6,0.5720657551115994,0.4420482166452228,911043985582.026,0.595616500614444,0.0474159685613102,0.1490992570971114,0.109341251779721,16138873309125.775,0.2849818293826437,0.2089901087761813,161388733091.25778,0.6092034571361832,0.27572633793885,5,0.0,1.4,11.0,2.2,0.5014715210014911,0.7734615846338535,0.408235294117647,0.0855896472930908,0.030815827,0.001404591,0.6,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,1.0,0.2299028896997037,0.198062629036134,87738887508724.34,0.5244415515253897,0.4518093383105559,877388875087.2434,0.4041111889745387,0.4383326962091324,0.1154862909397962,0.0895693486462781,8800686838336.402,0.2193917872612016,0.1701568153537179,88006868383.36403,0.4041111889745387,0.5301822823721392,6,0.16666666666666666,0.5,10.0,1.6666666666666667,0.5052392719105105,0.766466871060571,0.2323529411764705,0.4764168262481689,0.02011396,0.0005805119999999,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.5,0.2106865406005281,0.1608851573383182,81834301494407.81,0.371906234159558,0.2839962763037171,818343014944.0781,0.4181951900919541,0.4516571558837376,0.1150978520851751,0.0873069815844033,9146186637610.436,0.2208433114383999,0.1675197458117855,91461866376.10435,0.4107807469193957,0.5440849518871915,8,0.5,1.125,17.0,2.125,0.5372321080326942,0.7812183327102503,0.3882352941176471,0.0710699558258056,0.035710431,0.002080602,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,0.8333333333333334,0.2548704051679086,0.2181887771714806,99430846356712.23,0.6363893432762778,0.5447984928769439,994308463567.1224,0.4194835769361109,-0.1235116207271203,0.130581903137112,0.0971555708379524,11933604265131.557,0.228501286677671,0.1700095680261713,119336042651.31557,0.569773429454171,0.5054789958409576,6,0.3333333333333333,0.5,10.0,1.6666666666666667,0.5597410244436372,0.7904669976098547,0.3205882352941176,0.1029582023620605,0.0297687139999999,0.000989797,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,lowbwt,1.0,0.2811613305164181,0.2583194505691358,87869442808951.5,0.7902781850117541,0.7260750479948713,878694428089.515,0.4566268517937824,0.1315608350849223,0.1268394693748713,0.0933009892358213,11195417416801.768,0.2409760188869051,0.1772579233819506,111954174168.01768,0.5230086428404578,0.4556299190254874,6,0.16666666666666666,1.0,13.0,2.1666666666666665,0.5680943899602581,0.8173432221324385,0.3058823529411765,0.3148007392883301,0.023990463,0.0006824229999999,1.0,1.0,C2,C2,C2
