model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,lowbwt,0,0.2292161152605689,0.1940443996659561,87275064001287.2,0.4099436048018815,0.3470404364904758,872750640012.8721,0.4702172389628591,0.1994967279758994,0.1399430541948792,0.1017970303731146,9524836443138.19,0.2694790059517891,0.1960237520298081,95248364431.3819,0.4702172389628591,0.3530279637051471,9,0.8888888888888888,4.333333333333333,47.0,5.222222222222222,0.5293780440770658,0.8420194003527337,0.0849673202614379,5.812866628,5.523590008,0.282264246,1.0,1.0,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2169096538748959,0.1662598298775508,71067663292767.7,0.3558153425956792,0.2727301310521649,710676632927.677,0.4934307437740325,0.0714395353037318,0.127038277053182,0.0956309835589411,6901608072416.108,0.2641398058503029,0.1988373112141442,69016080724.16109,0.5210380448475687,0.4916867374348687,6,0.16666666666666666,2.5,16.0,2.6666666666666665,0.4575964559080535,0.7904399522046582,0.1892156862745098,2.893900821,2.7072415219999995,0.175129897,0.8333333333333334,0.5,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2701141813983136,0.2325936490368885,84768819748266.58,0.4260433042138735,0.366863251169739,847688197482.6658,0.4769913571595422,0.0901197754935879,0.1290864186170414,0.0945704979843214,9474162207159.363,0.2472444406699607,0.1811347012994472,94741622071.59364,0.4769913571595422,0.4062469359120116,4,1.0,3.0,16.0,4.0,0.5626645907901192,0.7888888888888889,0.1470588235294117,2.518942749,2.3960570010000004,0.112223143,1.0,1.0,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2432243392146299,0.1832537559884926,133428300102349.69,0.4367876672645341,0.3290911627271192,1334283001023.4968,0.5332866152768044,0.124255821966434,0.1306867048111658,0.095628634004735,9297029735724.531,0.249838305004162,0.1828165754437561,92970297357.24532,0.4667133847231955,0.4059896078383531,5,1.6,2.6,21.0,4.2,0.683354575271894,0.8524558899844317,0.1719298245614035,2.881165604,2.756622234,0.113312455,1.0,1.0,C2,C2,C2
complex,no_discretization,lowbwt,0,0.1971157720588121,0.1512818120524437,83163139948985.16,0.3375727027976457,0.2590792692298204,831631399489.8516,0.4106517168885775,0.4047161555455307,0.127801770973688,0.0933340120122141,9248751952438.86,0.2441727786976817,0.178320103754408,92487519524.3886,0.4898388227049754,0.4153493893336942,7,0.7142857142857143,3.857142857142857,32.0,4.571428571428571,0.5145466597335934,0.816247742034667,0.1739495798319328,3.95169477,3.703366446,0.239644826,0.7142857142857143,0.7142857142857143,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2233564313203136,0.1847905166343297,87869442808949.22,0.5087328711289444,0.4208923357571287,878694428089.4922,0.4702172389628591,0.2466600566908194,0.1383889838537463,0.1026408405650467,9217736337117.283,0.2645106793480451,0.1961832344647275,92177363371.17284,0.4702172389628591,0.3760428375757667,5,0.0,4.0,20.0,4.0,0.4702984033127579,0.8247619047619048,0.0717647058823529,3.019879167,2.823776506,0.1834154249999999,0.4,0.4,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2381406379245326,0.2014374576793478,85126530964204.75,0.5432330398174587,0.4595078077473306,851265309642.0475,0.4636767110488203,0.3973608964805248,0.1257642837684173,0.0932216950378291,9025912910770.572,0.2389171109838631,0.1770952562372085,90259129107.70572,0.4636767110488203,0.4428358460215805,9,0.8888888888888888,4.0,44.0,4.888888888888889,0.5500096852848906,0.8322623055956389,0.0901960784313725,4.18022107,3.913176052,0.255646801,0.7777777777777778,0.7777777777777778,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2491725136029749,0.1958708573066606,81834301494407.73,0.4398421034681003,0.3457534245656588,818343014944.0774,0.4702172389628591,0.2330291425056784,0.1287740984178984,0.0947455215591062,9146186637610.428,0.2470845268342423,0.1817923996495359,91461866376.10428,0.4702172389628591,0.429301771158541,3,1.0,2.3333333333333335,10.0,3.3333333333333335,0.6662885035955222,0.8937179487179487,0.1666666666666666,1.776515026,1.695936488,0.070327131,1.0,1.0,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2315894760300182,0.2002262419246315,95656784673311.95,0.5782588781280664,0.4999475969803079,956567846733.1196,0.4160659114315139,0.0723665720435657,0.1351770723567155,0.1014785769533773,10244754710593.412,0.2365422330412611,0.1775742644807237,102447547105.93411,0.4160659114315139,0.470062286703761,5,0.8,3.0,19.0,3.8,0.5610996022828437,0.8210021786492374,0.1035294117647058,2.381953216,2.23828412,0.128433437,1.0,1.0,C2,C2,C2
complex,no_discretization,lowbwt,0,0.2827561464534678,0.2514864134493919,129174171438740.12,0.7947608364554805,0.7068689923001183,1291741714387.4011,0.5449661294090166,0.1216808942737076,0.130173923902753,0.0966669104013033,9381338932758.748,0.2473109837148764,0.183652670114514,93813389327.58748,0.4550338705909834,0.426632057621397,5,0.6,4.2,24.0,4.8,0.602413491019786,0.8656277056277057,0.1176470588235294,2.53131335,2.398713286,0.121698142,1.0,1.0,C2,C2,C2
