model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,lowbwt,0.6153846153846154,0.1796293361387177,0.1477208936451827,87746948281987.53,0.3212596876147409,0.2641927491730724,877469482819.8754,0.3701909928283695,0.5083824870416962,0.1199886477819804,0.0920735301127013,13386716452141.703,0.2310541363829303,0.1772998560878256,133867164521.41704,0.5053161881960591,0.5243766888723411,13,0.9230769230769231,1.9230769230769231,45.0,3.4615384615384617,0.5173565432235251,0.8484619129129735,0.2135746606334842,0.4341182708740234,0.148632428,0.035212411,0.4615384615384615,0.2307692307692307,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.6,0.2137628491790046,0.1668861684155099,72790636877482.7,0.3506533713742598,0.2737575673948245,727906368774.827,0.4861241174197871,0.0981861831761503,0.1310055451946045,0.0966318434886716,7963543206554.297,0.2723886066128697,0.2009183135203363,79635432065.54297,0.5210380448475687,0.4594428592274658,10,0.3,1.6,25.0,2.5,0.5242348644151426,0.8005827106591678,0.3047058823529411,0.1078827381134033,0.049887755,0.003687309,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.5,0.2720222654454481,0.2326185596964003,87659525649099.3,0.4290528701239292,0.3669025420341936,876595256490.9929,0.5517691039838114,0.0772196017380201,0.1179753135851141,0.089396659664038,10496902332029.146,0.2259628916249445,0.1712250394208396,104969023320.29146,0.4106517168885775,0.50406239443067,6,0.5,0.3333333333333333,8.0,1.3333333333333333,0.572973408205755,0.8127617187090553,0.3137254901960784,0.124619722366333,0.034770486,0.0015252769999999,0.8333333333333334,0.8333333333333334,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.5,0.2101020537030469,0.1580462065871155,118529800723635.56,0.3773059317203472,0.2838228859747377,1185298007236.3557,0.4737402499234014,0.34653280605073,0.1117742144280327,0.0827296565361111,9266116476546.94,0.2136826413690821,0.1581571529592393,92661164765.46942,0.4071453497219256,0.565475288159442,12,0.6666666666666666,1.5,32.0,2.6666666666666665,0.5611806218474547,0.8179361080489334,0.226120857699805,0.1406655311584472,0.067575437,0.008124547,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.8181818181818182,0.2007883200525981,0.155798172256498,84334572157267.84,0.3438621637548669,0.2668138097232895,843345721572.6785,0.3898621817332399,0.3823275403993921,0.1230009129957379,0.0909068092088252,9425628652871.27,0.2350004579725616,0.1736827904491933,94256286528.71268,0.3973370707778555,0.4584490352338678,11,0.5454545454545454,1.7272727272727273,34.0,3.090909090909091,0.63574871200221,0.8623073543834446,0.2433155080213903,0.3399221897125244,0.0922150499999999,0.015072425,0.8181818181818182,0.8181818181818182,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.5,0.2501599086049263,0.1937273301246657,89436488356207.97,0.5697824226222052,0.4412474728749963,894364883562.0797,0.5855721184607416,0.0550050447805394,0.147952336255589,0.108051689981458,15872779922510.594,0.2827896548142537,0.2065252964925654,158727799225.10593,0.5991590749824808,0.2868261867750525,6,0.0,1.3333333333333333,11.0,1.8333333333333333,0.4902439786901205,0.7936971448285965,0.3313725490196078,0.0825631618499755,0.030412105,0.001191442,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.9,0.2229880130397332,0.1903802112273433,88012371510036.55,0.508667723502182,0.4342846385541888,880123715100.3655,0.3832811556121827,0.4716115468181991,0.118945032342795,0.0899269945820844,11660444464199.404,0.2259624325897784,0.1708362430193284,116604444641.99403,0.445187106238575,0.501619385249533,10,0.3,1.5,27.0,2.7,0.5099254685199829,0.8063913432995511,0.2911764705882352,0.4807615280151367,0.07516014,0.0134727789999999,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.875,0.2533348766611585,0.2047285082332833,92732883444766.31,0.4471895532186235,0.3613890488928252,927328834447.6632,0.5685449054100777,0.2071910167585706,0.1310256758725942,0.0951415222311812,11826324116860.566,0.2514047275334448,0.1825522235573545,118263241168.60568,0.4464151492614163,0.4091703168547314,8,0.125,0.75,14.0,1.75,0.596714111380128,0.8167169352603179,0.3764705882352941,0.069854736328125,0.032508847,0.0014546239999999,0.75,0.75,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.6,0.2578653436568934,0.2213836847481927,95922297272802.7,0.6438674454784625,0.5527759005843345,959222972728.027,0.404681543427372,-0.150071142779087,0.1316078557399981,0.1014883525946131,14239025240214.754,0.2302965698233274,0.17759137057695,142390252402.14755,0.5374887847767671,0.4976777892942113,5,0.2,1.0,9.0,1.8,0.4845933511383532,0.7633462071697366,0.4247058823529411,0.0983290672302246,0.028408817,0.000993975,0.6,0.6,C2,C2,C2
exact_M-of-N,no_discretization,lowbwt,0.5714285714285714,0.2847231429492048,0.2621731904753017,101706343618125.84,0.8002895996666958,0.736907001923096,1017063436181.2584,0.4290835528540512,0.1094183151161448,0.1222981798888474,0.0902919612142035,13496251216621.229,0.2323482481594773,0.1715412202378721,134962512166.21228,0.5094508607918093,0.4939127428116214,14,0.5,2.857142857142857,55.0,3.9285714285714284,0.5517582326679282,0.8463487698270727,0.2315126050420168,0.3291161060333252,0.127923458,0.028470612,0.7857142857142857,0.6428571428571429,C2,C2,C2
