model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,lowbwt,0,0.1959711725289117,0.1680689210712511,81834301494407.55,0.3504863905944295,0.3005843602261064,818343014944.0754,0.4041111889745387,0.4148634889073503,0.1086748626334941,0.0846709812165931,9146186637610.426,0.2092679348961418,0.1630452613920802,91461866376.10426,0.4041111889745387,0.6098415531836756,2,1.0,0.0,2.0,1.0,0.541621183369283,0.7264822134387352,0.5,0.060916602,0.052510216,0.005918383,1.0,1.0,C2,C2,C2
plain,no_discretization,lowbwt,0,0.1987410234716708,0.1573578441287786,71903753449153.2,0.3260117938096654,0.2581274471586757,719037534491.532,0.4546581012951486,0.2204796269688366,0.1138823552998333,0.0887085453657554,8036301856082.072,0.2367858248430153,0.1844440785383473,80363018560.82072,0.4429327286470144,0.5915159228306835,7,3.142857142857143,0.0,22.0,3.142857142857143,0.5044582667302944,0.7588186284614855,0.2369747899159664,0.609920906,0.4464216599999999,0.160275902,0.8571428571428571,0.8571428571428571,C2,C2,C2
plain,no_discretization,lowbwt,0,0.2535694867179039,0.2072245321922043,122419242627966.8,0.3999478346892384,0.3268492751928207,1224192426279.668,0.5164681149264191,0.1981679021035293,0.1042127501376312,0.0766428495431549,9474162207159.348,0.1996028969933438,0.1467971508518375,94741622071.59348,0.410184536323289,0.6130218233939748,17,4.117647058823529,0.0,70.0,4.117647058823529,0.5003619900475996,0.8058141404602053,0.1370242214532872,0.400809413,0.3356833059999999,0.062231105,1.0,0.4705882352941176,C2,C2,C2
plain,no_discretization,lowbwt,0,0.1825411750840336,0.153269521265009,87783314390595.44,0.3278114941215805,0.2752448084441888,877833143905.9543,0.3626939985387796,0.506729801029228,0.1038449140751417,0.0817494407896251,9240348883220.744,0.1985239229447583,0.1562832405287872,92403488832.20744,0.3626939985387796,0.6249391872575327,4,2.75,0.0,11.0,2.75,0.4510267927783172,0.7459197874493927,0.3172514619883041,0.179080498,0.150371753,0.026157816,0.75,0.75,C2,C2,C2
plain,no_discretization,lowbwt,0,0.1908725943965649,0.1518501950748354,83938295714155.45,0.3268808827800072,0.2600526595937118,839382957141.5546,0.3859330117041348,0.4418274192532119,0.1016270924628115,0.076631780487921,9381338932758.703,0.194164520323586,0.1464095108833726,93813389327.58704,0.4302733006306937,0.6303066275262342,14,4.071428571428571,0.0,57.0,4.071428571428571,0.4752783447023289,0.7947901794750534,0.142016806722689,0.660099151,0.5195218519999999,0.137728611,0.7857142857142857,0.6428571428571429,C2,C2,C2
plain,no_discretization,lowbwt,0,0.2165937239862387,0.1765390979708594,83163139948987.08,0.4933296364948147,0.4020983038022834,831631399489.8707,0.4415613201488212,0.2915881656532224,0.1025260889341006,0.0735497100288202,9294703876651.45,0.1959639031927388,0.140579713961447,92947038766.5145,0.399814140197864,0.6575315921333569,25,4.4,0.0,110.0,4.4,0.4286516590080461,0.7964260848815136,0.0738823529411764,0.805526689,0.690315512,0.1117309439999999,0.56,0.36,C2,C2,C2
plain,no_discretization,lowbwt,0,0.2192433256273301,0.1850295647611294,83163139948985.95,0.5001255530270591,0.4220790445398189,831631399489.8595,0.4041111889745387,0.4892092249258274,0.1073539500849994,0.0831947452829111,9250534990395.61,0.2039426046765668,0.1580468444334515,92505349903.9561,0.4041111889745387,0.5940200536853095,6,3.3333333333333335,0.0,20.0,3.3333333333333335,0.4719889592917829,0.7840630561912025,0.2049019607843137,0.260300043,0.216924249,0.0406105129999999,0.8333333333333334,0.8333333333333334,C2,C2,C2
plain,no_discretization,lowbwt,0,0.1998404984961237,0.1546020502360069,81834301494407.7,0.3527606795214324,0.272905265484605,818343014944.077,0.3958869900103392,0.5066608234742312,0.1093953606688473,0.0857721925090438,9146186637610.424,0.2099016903306582,0.1645748785043484,91461866376.10423,0.4106517168885775,0.588142197703227,7,2.857142857142857,0.0,20.0,2.857142857142857,0.6349682652648488,0.8064969140956985,0.3025210084033613,0.486882695,0.397747611,0.086079533,1.0,1.0,C2,C2,C2
plain,no_discretization,lowbwt,0,0.255648244187156,0.2240958593213874,91663594778993.02,0.6383315399872195,0.5595479657613364,916635947789.9302,0.3867147270854789,-0.1303797757129028,0.1141534123346217,0.0889255985862559,10244754710593.406,0.1997535720529297,0.1556081907782108,102447547105.93408,0.3867147270854789,0.6220828932220489,4,2.5,0.0,10.0,2.5,0.5445898255414235,0.7665534204762929,0.3294117647058823,0.140565335,0.1182742429999999,0.019625509,1.0,1.0,C2,C2,C2
plain,no_discretization,lowbwt,0,0.2578985127050969,0.2434826057503615,84768819748270.17,0.7248918909419992,0.6843721766464329,847688197482.7017,0.3898621817332399,0.269322226783082,0.106043207300272,0.081613714460521,9474162207159.363,0.2014662316955493,0.1550538495170125,94741622071.59366,0.3898621817332399,0.6195030988230421,10,3.8,0.0,38.0,3.8,0.5182323808151332,0.8036646010605499,0.1423529411764705,0.332184499,0.267091425,0.061239145,0.9,0.8,C2,C2,C2
