model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,machine,0.0,0.3563653291069295,0.2383486468518032,4834699172881.259,1.3439889692373654,0.8989032491018691,48346991728.81259,0.9659090909090908,-0.742225188194237,0.143562476006527,0.0575383520885705,753838652105.0238,1.7834152856047931,0.7147743580195836,7538386521.050238,0.9763986013986014,-0.0866664953703493,5,1.8,0.6,12.0,2.4,0.5418426156505229,0.9093350309010372,0.3670212765957447,9.094443321228027,0.255850088,0.040517635,0.6,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.0,0.2056579894303544,0.1116861042080572,5177779976614.127,1.3703361848026752,0.7441846064909252,51777799766.14127,0.7631118881118881,0.1624492696662358,0.1213776271465673,0.0511227378220852,1242114993878.1355,1.352376782140938,0.5696041790846764,12421149938.781357,0.9667832167832168,0.2952261439116534,6,1.6666666666666667,1.3333333333333333,18.0,3.0,0.6455880415623133,0.929503613430029,0.4751773049645389,1.959181785583496,0.141395267,0.028185093,0.8333333333333334,0.8333333333333334,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.36363636363636365,0.2126006569833418,0.1194106348448642,4750937807676.371,1.2404643783346765,0.6967270986890213,47509378076.76371,0.7701048951048951,0.1413247869711208,0.1238185089926514,0.0498338656989889,1099755735224.578,1.4135513756604663,0.5689192188339584,10997557352.24578,0.9597902097902098,0.2656249790351248,11,1.2727272727272727,1.5454545454545454,35.0,3.1818181818181817,0.6453488747847526,0.89899032901128,0.4869439071566731,3.520471811294556,0.554355633,0.2301758539999999,0.8181818181818182,0.8181818181818182,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.18181818181818182,0.1735992033307934,0.1025929559696428,5344089532836.424,1.1617537507796882,0.686568538993786,53440895328.36424,0.639245823404526,0.3804666094733677,0.1119354749089226,0.0405477135253196,1157309719862.549,1.2376497388344476,0.4483285311986967,11573097198.62549,0.9748524749928604,0.4076321415213709,11,1.8181818181818181,2.090909090909091,45.0,4.090909090909091,0.6487839277725054,0.9207408418262102,0.341029341029341,53.152608156204224,2.611911152,2.00763147,0.5454545454545454,0.5454545454545454,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.16666666666666666,0.2919128433921036,0.1988088605333086,5430647497809.193,1.1640024630260133,0.7927503313765685,54306474978.091934,0.7272727272727273,-0.2340995489188915,0.1275528401794201,0.0517115000086139,1268697439353.3318,1.434782659156289,0.5816786469588194,12686974393.533318,0.972902097902098,0.2338067190842537,6,1.5,2.0,22.0,3.6666666666666665,0.6905205629716699,0.932062471010424,0.4973404255319149,9.968683242797852,0.338041408,0.0456216639999999,0.8333333333333334,0.8333333333333334,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.1,0.2000583282102198,0.127035297302934,5891226940191.848,1.0980818852376106,0.6972724405031803,58912269401.91848,0.6396818682634104,0.3198850988323359,0.118351202891767,0.0473717408727717,586249777951.7788,1.3096331502540712,0.5241991692214844,5862497779.517788,0.9741792230912932,0.3362033041951314,10,1.8,2.1,40.0,4.0,0.6658288610442943,0.8905504926131943,0.3223404255319149,112.44874143600464,2.649448683,2.1789267330000004,0.6,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.2222222222222222,0.2407434112565371,0.139595482552391,5030576502906.539,1.375653063499486,0.79767480331685,50305765029.06539,0.8012262119264608,0.0011585882702854,0.1250853359110747,0.0513896330017868,1107011803751.2522,1.3924613542995166,0.5720740760331415,11070118037.512522,0.9702797202797204,0.2553402433574016,9,1.5555555555555556,1.6666666666666667,31.0,3.4444444444444446,0.6383340111466117,0.9044011203513284,0.4143026004728132,28.933719396591187,0.987641383,0.5125719260000001,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.09090909090909091,0.2473333943286537,0.1012611827215853,5176851786585.768,1.8916115240313909,0.7744478690114692,51768517865.85767,0.8072789946998103,0.10284336865905,0.0957969232184461,0.0443886569510961,1141743610595.006,1.170305928454283,0.5422753324502213,11417436105.950062,0.9753727536949092,0.3502757494747269,11,2.090909090909091,1.3636363636363635,39.0,3.5454545454545454,0.5996427803538806,0.8814858468493512,0.4095744680851064,8.325324058532715,0.863698409,0.409503378,0.8181818181818182,0.7272727272727273,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.0,0.3273717476774759,0.2094813883375805,5046007542048.338,1.2788101975708954,0.8182958288487585,50460075420.483376,0.977339311385952,-0.3038756354313499,0.1183624541909252,0.0460950771381673,1160338552251.5193,1.3199445062610533,0.5140392217287112,11603385522.515192,0.9772727272727272,0.342391356764543,9,1.7777777777777777,1.6666666666666667,31.0,3.4444444444444446,0.5798535352737539,0.8680427245107208,0.3670212765957447,3.6922903060913086,0.4855957989999999,0.172885963,0.7777777777777778,0.7777777777777778,C2,C2,C2
at_least_M-of-N,no_discretization,machine,0.0,0.2244089876692225,0.0922608181057586,11081532520275.734,1.73951540295786,0.7151634872174569,110815325202.75734,0.9771528998242532,0.0278539750479822,0.1041029476814928,0.0443701247656894,1275724950556.769,1.2646037382903303,0.5389917086572039,12757249505.56769,0.8574055622466545,0.324376399015104,5,1.2,1.4,13.0,2.6,0.6733798248484508,0.912402486507079,0.4457446808510638,5.178356170654297,0.2852188479999999,0.094500194,0.6,0.6,C2,C2,C2
