model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,machine,0,0.2753871671030113,0.1692130336411199,4511446550487.98,1.0385895726262373,0.6381666006476673,45114465504.87979,0.7788461538461539,-0.0404010832375985,0.1013019141896454,0.0367404597765706,649138839312.8405,1.2584303869113054,0.456411030154601,6491388393.128405,0.8976816912003711,0.4589346772239355,21,0.9523809523809523,5.142857142857143,128.0,6.095238095238095,0.5226835900185707,0.8584703744091181,0.1061296859169199,74.656330396,72.02923214699999,2.612765404,0.8095238095238095,0.8095238095238095,C2,C2,C2
complex,no_discretization,machine,0,0.1980585163960654,0.1041483444311532,5297046323580.518,1.3196995287060012,0.6939591569314287,52970463235.805176,0.7516863744288254,0.223203977166853,0.112259378896161,0.042651508097348,1183382689311.14,1.2507822171659924,0.4752186266131091,11833826893.1114,0.8604363215617771,0.3971381952809607,12,1.0,3.9166666666666665,59.0,4.916666666666667,0.5488777159362217,0.8643119705694762,0.2007978723404254,30.314535695,28.907386494,1.39254857,0.75,0.75,C2,C2,C2
complex,no_discretization,machine,0,0.1878461157712269,0.0934865853382505,4162586547164.027,1.0960286695680177,0.5454676415855625,41625865471.64027,0.7653518566641713,0.3296460688654742,0.1015893974900222,0.0429439551887961,1009408800405.812,1.1597767873546403,0.4902618148715308,10094088004.05812,0.7578671328671329,0.5056397700440187,16,1.5625,4.0,89.0,5.5625,0.5101294620101093,0.8429495567046797,0.1253324468085106,59.393801906,57.513644675,1.867635318,0.75,0.75,C2,C2,C2
complex,no_discretization,machine,0,0.1727558962333281,0.1056661624633572,4929622603058.186,1.156110204238334,0.7071349304431175,49296226030.581856,0.6281710039837236,0.3864711060891831,0.1152194138409486,0.0444823610213574,1875941829338.533,1.2739596411677097,0.4918331971666485,18759418293.38533,0.8896533043385103,0.3723647650410918,32,1.03125,4.75,185.0,5.78125,0.5056629423822342,0.8588048242582601,0.1339285714285714,108.581494713,105.046423541,3.5203350290000004,0.84375,0.8125,C2,C2,C2
complex,no_discretization,machine,0,0.2789931531082722,0.1863512696098244,4556908496550.093,1.1124851980192356,0.7430756875691749,45569084965.50093,0.6844405594405594,-0.1272776006744491,0.101849744643071,0.0413071460633165,980923954772.4104,1.145660474888838,0.4646449015758168,9809239547.724102,0.8520718307909851,0.5114849347688177,17,1.0,4.705882352941177,97.0,5.705882352941177,0.5072738665691889,0.8451911962051112,0.1210888610763454,55.408750798,53.41496687099999,1.98147364,0.9411764705882352,0.8823529411764706,C2,C2,C2
complex,no_discretization,machine,0,0.2431025413433433,0.1404898458120274,4993771444422.015,1.33434333522895,0.7711218829335971,49937714444.22015,0.827334569562616,-0.0042642836885093,0.1106071989720289,0.0399076309079617,400756814160.8237,1.2239407026812217,0.4416039305740461,4007568141.608237,0.8733324262357601,0.4202289545838631,30,1.6,5.1,201.0,6.7,0.5390807205561571,0.8597295002968363,0.1292553191489361,109.767238564,105.39408591500003,4.3566671470000005,0.9,0.9,C2,C2,C2
complex,no_discretization,machine,0,0.1939975353097574,0.1202911146358717,5608208553601.028,1.108538349470492,0.6873660196842103,56082085536.010284,0.5987762237762237,0.3513952207832834,0.1011235091495547,0.0441442279023386,1104550679684.3242,1.125716115932352,0.491417566429181,11045506796.843245,0.8115923448102887,0.5133134441058391,27,1.5185185185185186,4.37037037037037,159.0,5.888888888888889,0.5170743135814712,0.844639206362288,0.148542159180457,99.268749546,95.88046553700002,3.372252615,0.8888888888888888,0.8888888888888888,C2,C2,C2
complex,no_discretization,machine,0,0.2206048217497156,0.0984497326391904,4875243224680.24,1.687190782350043,0.752945833714001,48752432246.8024,0.7368881118881119,0.286271962799299,0.0859447418655932,0.0376535311110966,1089269914590.3492,1.0499464653517112,0.4599954696464517,10892699145.903492,0.8324839816217426,0.4770446884669594,16,1.5625,4.125,91.0,5.6875,0.5257741371283978,0.8522903161069244,0.1326462765957446,49.050230026,47.25258492099999,1.783180125,0.75,0.625,C2,C2,C2
complex,no_discretization,machine,0,0.29491831075043,0.1943752260054925,4418007015247.192,1.1520375411551762,0.7592867220046723,44180070152.47192,0.8871816835922284,-0.058174402418657,0.0999150555418648,0.0368463899311449,1068332744977.4648,1.1142243505911005,0.4109004861179719,10683327449.774649,0.8209635143285818,0.5314008915272184,16,1.0625,4.0,81.0,5.0625,0.5619323096515197,0.8813892495070079,0.1768617021276595,57.444870743,55.42031480599999,2.015967265,0.75,0.75,C2,C2,C2
complex,no_discretization,machine,0,0.1758209977067504,0.0765377404308396,8349008389646.353,1.362883620887422,0.5932854105793731,83490083896.46353,0.7355008787346222,0.4032499118654072,0.091114863254188,0.0393544923656255,1124415967482.5042,1.1068293381815808,0.4780636790070064,11244159674.82504,0.7859487988261771,0.4824441594362878,17,1.1764705882352942,4.823529411764706,102.0,6.0,0.513446982566059,0.8377172946781417,0.175531914893617,58.221457495,55.78426680999999,2.425908311,0.7058823529411765,0.7058823529411765,C2,C2,C2
