model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,machine,0.625,0.2296775517012883,0.1493917501376029,5459659235400.291,0.8662012568437983,0.5634130143444944,54596592354.00291,0.7003977232891205,0.2763134539219134,0.0738642936959083,0.0357208956578141,693825542015.7141,0.9175845534434466,0.4437454208350607,6938255420.157141,0.6551802675394223,0.7123373375479409,8,1.75,0.75,25.0,3.125,0.6054808003967898,0.8540049051659573,0.3191489361702128,10.117051362991331,0.7758724370000001,0.309101532,0.5,0.5,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.4444444444444444,0.2000043118244513,0.1093012814512543,5344340202934.657,1.332664713725685,0.7282941033938184,53443402029.34657,0.7368881118881119,0.2078659764663992,0.117893283400624,0.0491817285271761,1239798606120.6602,1.313554589832617,0.547977657244824,12397986061.206602,0.9084427005650656,0.3351087376898444,9,1.1111111111111112,1.1111111111111112,24.0,2.6666666666666665,0.6949840492216616,0.9487245834445008,0.4923167848699765,1.9922821521759035,0.21076667,0.041123634,0.8888888888888888,0.8888888888888888,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.6,0.203943361663619,0.1178778936224824,5152394033459.723,1.1899515219342325,0.6877839895070084,51523940334.59723,0.7272727272727273,0.2098330343287208,0.11090900140717,0.045703681665444,1171438116877.5093,1.266172341984335,0.5217677277536167,11714381168.775091,0.8708488835003958,0.4107761106324207,10,1.0,0.7,23.0,2.3,0.6553249791278613,0.9092671863556158,0.5765957446808511,2.9825243949890137,0.32378976,0.06993556,0.9,0.9,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.3333333333333333,0.1930909284886472,0.1113119902738775,5212328666469.421,1.2921955061381745,0.7449177169379954,52123286664.69421,0.665008477453057,0.2335338062809364,0.1166506905953377,0.0439297830377968,1138569087532.7185,1.2897850021867323,0.4857234451189096,11385690875.327185,0.9778174274462936,0.3566747135416015,12,1.3333333333333333,1.8333333333333333,42.0,3.5,0.6251334787806104,0.906420155751676,0.3298059964726632,53.27178859710693,2.459153847,1.7829546790000002,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.6666666666666666,0.2842152830811169,0.1979329793479269,5418111361067.839,1.1333084412859538,0.7892577551498589,54181113610.67839,0.7272727272727273,-0.1698727961133106,0.1256487312509554,0.0489300393047114,1286123830390.9983,1.4133642221550993,0.550391287308729,12861238303.909985,0.9733198721463162,0.2565114447382319,9,1.4444444444444444,1.7777777777777777,35.0,3.888888888888889,0.6680150389553527,0.9084713821146866,0.4196217494089834,9.65346622467041,0.482718105,0.095300515,0.7777777777777778,0.7777777777777778,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.5,0.1900483837345506,0.1225486599362859,5889826404556.632,1.0431392152707972,0.6726461464517298,58898264045.56632,0.5987762237762239,0.3862416965900628,0.1116393685018572,0.0475895867229256,588030073004.115,1.2353623308515875,0.5266097754513828,5880300730.04115,0.8642007047945319,0.4093577960255694,8,1.125,1.25,23.0,2.875,0.6853465817379343,0.90869556749949,0.3364361702127659,108.1482424736023,1.421787203,1.3729103430000005,0.5,0.5,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.6,0.1814160197154236,0.113288940167209,4735492702344.768,1.0366452065575646,0.6473542797628664,47354927023.44768,0.6518250705868165,0.4327963874810305,0.0961733272515721,0.0425303633439039,1037116366762.4677,1.0706102400957624,0.4734518791459686,10371163667.624676,0.6844405594405594,0.5597956109193196,15,1.7333333333333334,0.4666666666666667,42.0,2.8,0.6540441372227929,0.8835047459627338,0.3812056737588652,31.331130027771,1.973971647,1.203093632,0.8,0.7333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.625,0.2302769437907845,0.0933034723711734,4995619174312.045,1.761163395568671,0.7135871160807875,49956191743.12045,0.7989802124793535,0.2223150936168217,0.0882257401162615,0.0381464090282837,1063428706418.54,1.077812347531076,0.4660167272099423,10634287064.1854,0.9058181788390628,0.4489175558265277,16,1.75,1.25,58.0,3.625,0.6418074700640344,0.8911599160170652,0.3321143617021276,8.141404867172241,0.8507314039999999,0.326401023,0.8125,0.8125,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.6666666666666666,0.3180147855658047,0.1966385444037524,4971019363402.173,1.2422591553640454,0.7681279084191338,49710193634.02173,0.9769747568942888,-0.23040588809574,0.1189983819476544,0.0459635071916913,1110871680347.1582,1.3270361921728684,0.5125719910158373,11108716803.471582,0.9772727272727272,0.3353060862821274,9,1.6666666666666667,1.3333333333333333,33.0,3.6666666666666665,0.5642789944870118,0.8624015538527033,0.2813238770685579,3.681552648544312,0.473890176,0.177448846,0.7777777777777778,0.7777777777777778,C2,C2,C2
exact_M-of-N,no_discretization,machine,0.0,0.2242888762592517,0.0911850611664325,8636196711344.454,1.7385843544740835,0.7068247135113219,86361967113.44453,0.9771528998242532,0.0288943485412411,0.1033074472142941,0.0430733373706006,1202928581659.345,1.2549402956401856,0.5232388195784567,12029285816.59345,0.8574055622466545,0.3346624747084756,5,1.2,1.4,13.0,2.6,0.6525219103329334,0.917202886042814,0.3691489361702127,5.419655084609985,0.424970074,0.1646094169999999,0.6,0.6,C2,C2,C2
