model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,machine,0,0.2116625421198464,0.1338237017540521,5998800702458.643,0.7982598153493641,0.5046999926471236,59988007024.586426,0.6609994738085603,0.3853874637458722,0.0985138135416546,0.0442628840721731,670078801871.4172,1.223795004102741,0.5498588923450831,6700788018.714172,0.6844405594405595,0.4883079618362204,8,2.875,0.0,23.0,2.875,0.5750846739639912,0.8148531003310415,0.1589095744680851,0.144178371,0.131144461,0.009614502,0.125,0.125,C2,C2,C2
plain,no_discretization,machine,0,0.2043720912064629,0.1160959873705642,5674740992094.337,1.3617680135828127,0.7735684514126505,56747409920.94337,0.6718064581336156,0.1728902737427853,0.0642987941596747,0.0373011444581201,1267761285468.5356,0.7164104158684959,0.4156054365071132,12677612854.685356,0.4182537331782787,0.8022219202481616,8,2.75,0.0,22.0,2.75,0.5896020346966709,0.7716372564675822,0.2121010638297872,0.082348078,0.0738565029999999,0.005330856,0.625,0.375,C2,C2,C2
plain,no_discretization,machine,0,0.1452399914486005,0.0791201493957319,4874025570747.819,0.8474340496310822,0.4616435731034145,48740255707.4782,0.5683201591144478,0.5992512731226041,0.0764161933758379,0.0368285201306561,1088878053040.1208,0.8723915038870543,0.4204460683444178,10888780530.401209,0.5534270563743824,0.720283841015481,19,3.3157894736842106,0.0,63.0,3.3157894736842106,0.555798516367117,0.8434351015398098,0.1206606942889138,5.07367929,3.840043116,1.2296658829999998,0.7368421052631579,0.631578947368421,C2,C2,C2
plain,no_discretization,machine,0,0.1626256065697733,0.0922516365670313,5314562497335.404,1.088316678765214,0.6173627686130204,53145624973.35404,0.6440614001972191,0.4563152876544748,0.099395033333351,0.0452765281836572,1136016741236.742,1.0989924074254072,0.5006141558556707,11360167412.36742,0.6818181818181819,0.5329263567387316,16,3.0625,0.0,49.0,3.0625,0.5885738184818439,0.8286868907607545,0.1716269841269841,1.991714445,1.4851370629999998,0.503611398,0.625,0.5625,C2,C2,C2
plain,no_discretization,machine,0,0.3030504358418774,0.2055967586630937,5542575880917.047,1.2084136129194865,0.8198170751690862,55425758809.17047,0.7716715872471983,-0.3300672897686203,0.0473821201098345,0.0285065671279706,1238235037226.7566,0.5329794631936373,0.3206571341708629,12382350372.267569,0.2893356643356644,0.894272722046741,9,2.2222222222222223,0.0,20.0,2.2222222222222223,0.5889682181612211,0.7846350176832467,0.2588652482269504,0.704403201,0.537281885,0.133228116,0.6666666666666666,0.6666666666666666,C2,C2,C2
plain,no_discretization,machine,0,0.2709875462459908,0.1506801825248338,5249020018527.36,1.487398791741532,0.8270546913745752,52490200185.273605,0.928338107278231,-0.2478652321821683,0.0695145888321554,0.0378746976445948,586326704198.0812,0.7692242050478152,0.4191081998260086,5863267041.980812,0.3535526610208168,0.7709967476967511,13,2.923076923076923,0.0,38.0,2.923076923076923,0.5795917976577778,0.7864070171540267,0.1501636661211129,0.719753081,0.539319613,0.176959985,0.6153846153846154,0.4615384615384615,C2,C2,C2
plain,no_discretization,machine,0,0.1793181896194248,0.1193641102023264,5315221474496.198,1.0246578114168232,0.682068942259627,53152214744.96198,0.5137918911613761,0.4458384224653006,0.0772244072700361,0.0402513794702775,1187443095366.8284,0.8596691366656943,0.4480820230554618,11874430953.668283,0.4519600053055788,0.7161726431055662,11,2.6363636363636362,0.0,29.0,2.6363636363636362,0.6227238523211999,0.8274303159622917,0.2794970986460348,0.503870075,0.345093736,0.155687305,0.5454545454545454,0.5454545454545454,C2,C2,C2
plain,no_discretization,machine,0,0.1736058250203129,0.0796729862446498,4792550165426.858,1.327741367633657,0.6093408427254751,47925501654.268585,0.5987762237762237,0.5579907659708773,0.058535547746162,0.0270785314146264,1070676100787.2404,0.7151012396968232,0.3308056750017915,10706761007.872404,0.5987762237762237,0.757414226165068,17,3.1176470588235294,0.0,53.0,3.1176470588235294,0.5412354377013043,0.8088173560778976,0.107008760951189,2.529451263,2.045411586,0.479976275,0.8823529411764706,0.6470588235294118,C2,C2,C2
plain,no_discretization,machine,0,0.2807076540592387,0.191337222386011,5285310953344.176,1.0965265423600752,0.7474193875861942,52853109533.44176,0.7306242299257935,0.0413451237035942,0.0740460038247205,0.0382150839462167,1180760957662.7822,0.8257400256450435,0.426163773435691,11807609576.627825,0.4983946714189707,0.7426389380110667,13,2.769230769230769,0.0,36.0,2.769230769230769,0.5904834154225954,0.8024774918963469,0.1513911620294599,1.344655477,1.094631726,0.2463296079999999,0.6923076923076923,0.6153846153846154,C2,C2,C2
plain,no_discretization,machine,0,0.1541321047637749,0.0703515677003332,12533552847858.297,1.1947612843479387,0.5453330408376786,125335528478.58296,0.656414762741652,0.5413966429630364,0.0820864644414826,0.0412625365410372,1400024520240.3665,0.9971557204445022,0.5012418872209672,14000245202.403664,0.656414762741652,0.5799298135976697,6,2.5,0.0,15.0,2.5,0.5213710610297245,0.8327776637490012,0.4308510638297871,0.07787799,0.064799158,0.0098840039999999,0.6666666666666666,0.5,C2,C2,C2
