model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,mbagrade,0,0.263729538174859,0.1966470821778189,432743841745634.56,0.4884891587088211,0.3642366660950095,4327438417456.3457,0.576530612244898,0.2570329019967342,0.2312440393834767,0.1734296315928968,47208419099524.38,0.4201501303062013,0.3151064239622458,472084190995.24384,0.576530612244898,0.1130057647326021,2,0.5,1.0,3.0,1.5,0.4829043250810492,0.80625,0.1909090909090909,0.064972304,0.0624195009999999,0.000331418,0.0,0.0,C2,C2,C2
complex,no_discretization,mbagrade,0,0.2838609397931488,0.2374111358233693,405038476788075.75,0.4865601957176428,0.4069415425593349,4050384767880.757,0.5396196513470681,0.2086566048192663,0.2531127796713329,0.1862038046917573,72280795056777.56,0.4880697309975335,0.3590511746764883,722807950567.7756,0.8827258320126786,-0.0026068639171423,11,0.18181818181818182,1.3636363636363635,17.0,1.5454545454545454,0.3561945925879801,0.7747884983869113,0.2628099173553719,0.2833625,0.276543135,0.004100068,0.0909090909090909,0.0909090909090909,C2,C2,C2
complex,no_discretization,mbagrade,0,0.3892306503032108,0.3467162577994825,425459556495238.2,0.662509041883732,0.5901453433364245,4254595564952.382,0.5668259948013846,0.028275025801761,0.2152339163524801,0.1501366926262864,47730251292960.375,0.3910414641423407,0.2727714716203235,477302512929.60376,0.8209285187914518,0.0514996691143453,11,0.18181818181818182,1.3636363636363635,17.0,1.5454545454545454,0.3963902980689884,0.7725326416502888,0.224793388429752,0.179499942,0.173364834,0.003027501,0.0909090909090909,0.0909090909090909,C2,C2,C2
complex,no_discretization,mbagrade,0,0.3548461467792823,0.2976396314853736,435479264259830.4,0.9151711313372132,0.7676318335413418,4354792642598.304,0.5801749271137029,-0.160885942633929,0.2302904670806989,0.1692316153173652,47506828828345.66,0.4141397642074674,0.3043353993433993,475068288283.4565,0.5801749271137029,0.1383221977677764,5,0.4,1.0,7.0,1.4,0.465309464451858,0.7133333333333334,0.1381818181818181,0.107687284,0.105408543,0.000681421,0.0,0.0,C2,C2,C2
complex,no_discretization,mbagrade,0,0.35116012805735,0.3169329701646944,433077875353626.8,0.6828949588088394,0.6163340035302509,4330778753536.268,0.5769756344080075,-0.0814647017569458,0.2396841093119599,0.1717059312444982,62519628058737.77,0.4324652787690807,0.309811333071346,625196280587.3777,0.7635180361799211,0.0099506770120108,7,0.42857142857142855,0.7142857142857143,8.0,1.1428571428571428,0.389927927231721,0.789908090895933,0.2311688311688311,0.121754926,0.1182596119999999,0.001232649,0.1428571428571428,0.1428571428571428,C2,C2,C2
complex,no_discretization,mbagrade,0,0.3509263708028149,0.2979880422935925,409312380741533.75,0.6331096306127497,0.537603084521454,4093123807415.3374,0.5453136352360666,-0.0594440525068333,0.2510951792473189,0.1728567187329203,70842469622168.39,0.4516828106987694,0.3109434788811691,708424696221.684,0.8651603498542276,-0.1002640737044018,11,0.2727272727272727,1.0,14.0,1.2727272727272727,0.3759558505462166,0.7786892584124888,0.2297520661157024,0.207875605,0.202823214,0.0023849379999999,0.0,0.0,C2,C2,C2
complex,no_discretization,mbagrade,0,0.3397902171076175,0.2934129224673976,394028205333789.6,0.637300012663149,0.550316194491204,3940282053337.896,0.524951023095962,0.0381076935805378,0.2342549524451238,0.1703840654678735,46042556709556.99,0.4247820135413333,0.3089628870141235,460425567095.57,0.8119533527696796,0.0852423794094567,11,0.18181818181818182,1.1818181818181819,15.0,1.3636363636363635,0.4026031982368897,0.7792689180592405,0.2760330578512396,0.241244022,0.234579857,0.0037650049999999,0.0,0.0,C2,C2,C2
complex,no_discretization,mbagrade,0,0.3660562449216827,0.2983302357861791,357603981184065.8,0.755477782072409,0.6157028270480718,3576039811840.658,0.6279530221514233,-0.0806239623543083,0.2210686753770531,0.1563497353157039,12157433396422.443,0.4146254878571999,0.2932418406680641,121574333964.22446,0.8119533527696795,0.1205067030429306,14,0.2857142857142857,1.0,18.0,1.2857142857142858,0.3601695678241637,0.754713084534513,0.2169312169312169,0.272131731,0.265211717,0.00360048,0.0,0.0,C2,C2,C2
complex,no_discretization,mbagrade,0,0.4473832530888499,0.3562966150260918,619175891028306.6,0.8175855761385766,0.6511262351934289,6191758910283.066,0.8249079966149063,-0.3839765081106139,0.2333320093855961,0.1652221568763837,70842469622168.31,0.4228543775844061,0.2994227516965324,708424696221.6831,0.8651603498542276,-0.0108394192326379,10,0.4,1.0,14.0,1.4,0.4309936839280421,0.820954715219421,0.1563636363636363,0.195276813,0.190884277,0.0017905929999999,0.0,0.0,C2,C2,C2
complex,no_discretization,mbagrade,0,0.4249753178385767,0.3135325650771254,653921251585274.2,0.6788969623865477,0.5008674553682544,6539212515852.742,0.8711981157620049,-0.2137836341228711,0.2509859267162316,0.1832726568132531,70842469622168.3,0.4439198863211802,0.324155135081757,708424696221.683,0.8651603498542276,-0.1293793009365693,13,0.5384615384615384,0.9230769230769231,19.0,1.4615384615384615,0.4120414776753425,0.7814824283199258,0.2307692307692307,0.22646833,0.220314357,0.004091427,0.0,0.0,C2,C2,C2
