model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,mbagrade,0,0.2598254581151388,0.2185476566337504,395542095552583.8,0.4812578838311465,0.4048016830637371,3955420955525.838,0.5269679300291544,0.2788668894568694,0.2265910335618297,0.1710460862562964,52745316903542.31,0.4116960269810187,0.3107757312168959,527453169035.4231,0.6441497179420878,0.148342169281252,4,0.25,1.0,5.0,1.25,0.3531159275569143,0.7889384920634921,0.3636363636363636,0.014477252960205,0.005371353,0.000480016,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.2636812285082048,0.2263425682361859,371136577849866.8,0.4519705678544968,0.387969138622892,3711365778498.668,0.4944532488114105,0.3171707189316975,0.2474439611693534,0.1795448441829405,72280795056777.66,0.4771387194345154,0.3462109021762945,722807950567.7766,0.8827258320126786,0.0417998251523227,9,0.6666666666666666,1.2222222222222223,17.0,1.8888888888888888,0.2922073565156953,0.7226557239057239,0.2626262626262626,0.1497642993927002,0.084268133,0.033765321,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.459023635550272,0.4008454349587333,388298567724648.94,0.7813036017423046,0.6822785534774921,3882985677246.489,0.6922439319165682,-0.3514481796422741,0.178252671046577,0.1270883940935739,12068331553214.0,0.3238531670779279,0.2308968425796955,120683315532.14,0.589535740604274,0.349438792336916,12,0.4166666666666667,1.8333333333333333,27.0,2.25,0.3287064712148583,0.7029761904761904,0.1333333333333333,0.1413123607635498,0.082393546,0.032911095,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.2979835982484928,0.2363499150253037,388162109925658.0,0.7685189460395423,0.6095616962122531,3881621099256.58,0.5171358140718549,0.1813578811782138,0.2260949679940478,0.1594978021806059,13249391959664.56,0.4065948448519065,0.2868307274027913,132493919596.6456,0.838192419825073,0.1694327980432975,7,1.0,1.2857142857142858,16.0,2.2857142857142856,0.3919682168822843,0.7434201266713583,0.1688311688311688,0.0350961685180664,0.024273096,0.0017926259999999,0.1428571428571428,0.1428571428571428,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.3547507312959688,0.3092894685557009,445913983246388.7,0.6898775421228968,0.6014698196455234,4459139832463.887,0.5940767654429476,-0.1036936662767624,0.2389408345348824,0.1519314144356979,70842469622168.34,0.4311241780403191,0.2741319050575717,708424696221.6835,0.8651603498542276,0.016081560615477,8,0.875,1.125,16.0,2.0,0.4372539867318338,0.7968614718614718,0.1727272727272727,0.0551979541778564,0.0409070359999999,0.0033347719999999,0.125,0.125,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.2866629799042026,0.2466287416954399,258223885339999.7,0.5171714308682669,0.4449452778258827,2582238853399.997,0.423469387755102,0.2930491200080176,0.2279443782544159,0.1532840748603984,45009871154384.17,0.4100379695124609,0.2757352091579219,450098711543.84174,0.8119533527696796,0.0932700640990261,10,0.8,1.3,21.0,2.1,0.4096262350294436,0.7809706959706959,0.1527272727272727,0.1070330142974853,0.0670876099999999,0.0174607349999999,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.356206795831204,0.323081217969359,462833489401778.9,0.6680904395255965,0.6059611311231073,4628334894017.789,0.6166180758017494,-0.0570830542125877,0.2563824598222215,0.1691239239845217,70842469622168.45,0.4649065318927484,0.306677832072668,708424696221.6846,0.8651603498542277,-0.0957338889811429,11,0.8181818181818182,1.6363636363636365,27.0,2.4545454545454546,0.3704393948921829,0.7595500459136822,0.1834710743801652,0.1139261722564697,0.06997534,0.020612533,0.0909090909090909,0.0909090909090909,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.2920612544775167,0.2152595805821803,386310919492808.5,0.6027647166876409,0.4442591343930104,3863109194928.085,0.6004477884790432,0.312097566932967,0.230910986885632,0.154865279011675,13494751070028.742,0.4330852411620349,0.2904576677488981,134947510700.2874,0.8381924198250729,0.0404506608909156,14,1.0714285714285714,2.142857142857143,45.0,3.2142857142857144,0.3676297095772958,0.747239665096808,0.1177248677248677,0.1610958576202392,0.1014049919999999,0.037438786,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.3927134462223536,0.3193909818391642,479246024486948.8,0.7176773984503692,0.5836817942950104,4792460244869.488,0.6384839650145774,-0.0664016664567597,0.2029669483980551,0.1444886163111862,42075771763798.56,0.3678254983577232,0.2618485311088671,420757717637.98553,0.5583090379008748,0.2351360856698033,10,0.4,1.9,23.0,2.3,0.3873508104634096,0.7671148459383752,0.1381818181818181,0.0876641273498535,0.060061801,0.012593452,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,mbagrade,0,0.4245928316995159,0.3173881049905049,650356316427510.6,0.6782859417764945,0.5070266703289399,6503563164275.106,0.866448668049871,-0.2115997590746385,0.2150052243235523,0.1538332883057107,47208419099524.13,0.3802806634974512,0.2720855975892773,472084190995.2413,0.576530612244898,0.1712202931665734,13,0.8461538461538461,1.2307692307692308,27.0,2.076923076923077,0.3933904686658547,0.7168161798221769,0.1748251748251748,0.1480722427368164,0.0826128519999999,0.039201684,0.0,0.0,C2,C2,C2
