model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,mbagrade,0,0.2823132375721031,0.2086401040655493,470492672441524.25,0.5229105426276695,0.3864505645185891,4704926724415.242,0.6268221574344023,0.1486374974289137,0.218592003006293,0.1547439077317291,13249391959664.596,0.3971624902931443,0.2811561031839612,132493919596.64597,0.6766836287378817,0.2074106317386711,10,1.4,0.0,14.0,1.4,0.349658044678847,0.694280303030303,0.14,0.058608198,0.051409335,0.004876991,0.0,0.0,C2,C2,C2
plain,no_discretization,mbagrade,0,0.2719412336344155,0.2229064442394275,354562759178516.6,0.46612887267011,0.3820793491872931,3545627591785.166,0.4723724866975362,0.2737204160900242,0.2254300933902047,0.1684875594600083,44186015649610.88,0.4346900428440412,0.3248894738892981,441860156496.1088,0.5396196513470681,0.2047085583870188,7,1.5714285714285714,0.0,11.0,1.5714285714285714,0.3798206417904061,0.7308673469387755,0.2311688311688311,0.034156079,0.029638849,0.002345878,0.1428571428571428,0.1428571428571428,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3821706076659791,0.2938194167308657,308094447610583.2,0.65049215143688,0.500109691036829,3080944476105.832,0.7163899854024192,0.0632065042798022,0.1910669914001331,0.1353451937736203,13395848024067.584,0.3471344913132652,0.2458979682885626,133958480240.67584,0.7936624907885041,0.2525409564818054,8,1.625,0.0,13.0,1.625,0.3178663269205413,0.6513888888888888,0.1386363636363636,0.039228063,0.034527079,0.0027805399999999,0.125,0.125,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3285105667245439,0.2828016995955203,411580442574250.2,0.8472499694143022,0.7293638488454619,4115804425742.502,0.5483353005976124,0.0050344316587773,0.2071628096593669,0.1600104278185989,22261137009391.477,0.3725484525367801,0.287752600824372,222611370093.91476,0.5342565597667639,0.3027049712385162,7,1.7142857142857142,0.0,12.0,1.7142857142857142,0.335760653917602,0.6655328798185941,0.2753246753246753,0.033757244,0.0298921209999999,0.002596947,0.2857142857142857,0.2857142857142857,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3421409371957802,0.2857605164329412,435144779306024.0,0.6653554960971308,0.5557134780028213,4351447793060.24,0.5797293036371756,-0.0266254656699242,0.1908052481221815,0.1436285258002702,25299049571996.824,0.3442724887212429,0.2591508908442539,252990495719.96823,0.4438775510204081,0.3725791034577879,9,1.4444444444444444,0.0,13.0,1.4444444444444444,0.3708358344573962,0.7025673400673401,0.2363636363636363,0.03949978,0.034048708,0.003438246,0.0,0.0,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3419026970112763,0.2965936012259043,387907513089405.0,0.6168299341970562,0.535087360019885,3879075130894.05,0.5167966229483296,-0.0056597545029781,0.2113306687259753,0.16005698093849,42317183246117.375,0.3801523817507471,0.287918657932691,423171832461.17377,0.5167966229483296,0.2206272134721708,7,1.2857142857142858,0.0,9.0,1.2857142857142858,0.3319523401703853,0.6771103896103897,0.3116883116883117,0.036969478,0.032391347,0.002650664,0.1428571428571428,0.1428571428571428,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3424840576232147,0.2961817644302287,401560025083812.94,0.6423524965436925,0.555509348764435,4015600250838.1294,0.5349854227405249,0.0227955643391728,0.1998434996779596,0.1540164661963894,28479372676657.56,0.3623826232926139,0.2792829946455411,284793726766.5756,0.4650145772594751,0.3342540597298026,10,1.4,0.0,14.0,1.4,0.3754383380788766,0.6977942890442891,0.26,0.048343202,0.042204918,0.004080624,0.0,0.0,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3312736990828987,0.2628801573227649,337160363606767.1,0.683692527894493,0.5425398991554934,3371603636067.6714,0.6009850921222688,0.1149804439401291,0.2013314548616028,0.1539946286466939,20469896625757.363,0.3776073319777841,0.288824718930086,204698966257.57364,0.4759475218658893,0.2705401726219612,7,1.4285714285714286,0.0,10.0,1.4285714285714286,0.4027798746339779,0.7078231292517005,0.1931216931216931,0.036648619,0.031993894,0.002359053,0.0,0.0,C2,C2,C2
plain,no_discretization,mbagrade,0,0.3830625772407494,0.3237736500850338,435479264259830.5,0.7000405932680442,0.591691048816909,4354792642598.305,0.5801749271137029,-0.0146323959982135,0.1784361469195727,0.1309830127763154,13249391959664.44,0.3233697170093171,0.237373091190969,132493919596.6444,0.4927113702623907,0.40884794890031,7,1.7142857142857142,0.0,12.0,1.7142857142857142,0.4014781285203407,0.6615646258503401,0.1532467532467532,0.032907748,0.0285287589999999,0.0022513719999999,0.1428571428571428,0.1428571428571428,C2,C2,C2
plain,no_discretization,mbagrade,0,0.45656353298786,0.3648669650627876,669631431474914.0,0.729359053740773,0.5828740255226177,6696314314749.14,0.8921282798833822,-0.4009295729718782,0.1931083756288332,0.1386694937715345,13249391959664.4,0.3415516131856308,0.2452653290830676,132493919596.644,0.5830903790087466,0.3314355122013533,7,1.7142857142857142,0.0,12.0,1.7142857142857142,0.387545511212822,0.6848639455782314,0.1584415584415584,0.033547042,0.0297513389999999,0.002009912,0.0,0.0,C2,C2,C2
