model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,ozone,0.0625,0.240008160551222,0.1881258826460843,16520049183072.244,0.5986250050957806,0.4692209514835475,165200491830.72244,0.7216324971161298,0.1709819742931095,0.1256598090738721,0.0955577377934371,1835561020341.7825,0.4299114700849255,0.3269252741631633,18355610203.417824,0.4193598663004731,0.6717794666055663,32,3.34375,1.90625,170.0,5.3125,0.5100028622530954,0.8644969050598693,0.1054292929292929,3295.4029788970947,44.29443423299999,111.45914248600002,0.78125,0.625,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.0,0.1466053991525369,0.1122278671066188,50567616541089.72,0.5128598768940339,0.3925992524224477,505676165410.8972,0.4071473477641713,0.6833694646961184,0.1318135043236611,0.0977371889509407,3969948864395.697,0.4516677889032467,0.3349030150863384,39699488643.95697,0.6328171942494916,0.6300912733196539,36,3.138888888888889,1.7222222222222223,175.0,4.861111111111111,0.4866243069224956,0.843245295651492,0.0784698840254395,5175.584733486176,63.959662458,192.84401299000004,0.5,0.4166666666666667,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.13043478260869565,0.2712496631276411,0.1983818047880103,22130710699609.992,0.6867352582358534,0.5022523470426611,221307106996.0999,0.6076733642808214,0.2443272124121821,0.1363412636321107,0.1057606941703063,4917935711024.962,0.4763924152792574,0.3695403078656585,49179357110.24962,0.5956753244493981,0.5872102563929704,23,3.347826086956522,1.6521739130434783,118.0,5.130434782608695,0.4804807501256976,0.8448886765809244,0.0993997950519689,2833.546580314636,20.003804703,37.34402728000002,0.5652173913043478,0.3478260869565217,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.043478260869565216,0.2001496380704897,0.1481614865159591,15586349493025.932,0.6081272890735087,0.4501684040433744,155863494930.2593,0.6686447299413859,0.4180911082815388,0.1398891581653405,0.103371198022688,3569832987184.0537,0.4377565897760224,0.3234805593296185,35698329871.84054,0.5151515151515151,0.6486410255035719,46,3.608695652173913,1.7608695652173914,249.0,5.413043478260869,0.4843071228553923,0.8694745223163168,0.0772946859903381,359.16114044189453,20.126671055,23.33931903300001,0.7391304347826086,0.5869565217391305,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.0,0.2109915063941848,0.1517192090988571,36313708478394.41,0.6631161629531523,0.4768318000249796,363137084783.9441,0.5191441441441442,0.3776372406646392,0.1325923449659052,0.0980946481655703,5400682718060.051,0.4454470433599303,0.3295512346962555,54006827180.60051,0.6367147821348658,0.6350714013991197,39,3.6923076923076925,1.7179487179487178,211.0,5.410256410256411,0.4708807105299469,0.850083459928559,0.0702754036087369,2684.764154434204,34.914187017,61.388310611,0.5641025641025641,0.4615384615384615,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.07407407407407407,0.1758250252243444,0.1396217508104444,53609956646977.96,0.6839125505874691,0.5430914489699036,536099566469.7796,0.4819028562082983,0.5060934072665668,0.1339376658738022,0.0994309128860432,4457972071949.13,0.4514849724807401,0.3351675772100395,44579720719.4913,0.4597543948175872,0.61632442113229,27,2.962962962962963,1.5925925925925926,125.0,4.62962962962963,0.4805233439783595,0.8548138113719729,0.0872926798852724,1101.4594974517822,20.193561789,44.427503008,0.6666666666666666,0.4814814814814814,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.07407407407407407,0.1801623779067457,0.1302200350403351,16406498255065.877,0.5765196093015864,0.4167041121290724,164064982550.65878,0.5708698442304786,0.4954751436520067,0.1398395608790498,0.1040988211975133,3780966127769.5776,0.4812705714061631,0.3582655640900325,37809661277.69578,0.6374980567986508,0.5801926261097547,27,3.4074074074074074,1.7037037037037037,140.0,5.185185185185185,0.4724414958348173,0.8217884887850344,0.1237061977802718,1245.500467300415,23.043643332,26.912263558000006,0.7037037037037037,0.5185185185185185,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.06060606060606061,0.1876972935088468,0.1466716772247306,15591749288386.203,0.5578456828818832,0.4359155127455502,155917492883.86206,0.452213962051936,0.5145400336427578,0.14130840978458,0.0999987959213662,3868946361152.0464,0.490163546440262,0.3468708233522393,38689463611.52046,0.6534300310773804,0.5741699289870672,33,2.727272727272727,2.0,158.0,4.787878787878788,0.4930356734237432,0.8616920941269033,0.0868278747066625,2711.309464454651,34.093287228,69.165961635,0.696969696969697,0.4545454545454545,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.0,0.2150834104245174,0.1693908631010895,62595722054705.65,0.6015044528821248,0.4737202103674538,625957220547.0565,0.4862739173906277,0.4258723791073986,0.138756891373076,0.1008551561180358,3889231592421.877,0.4772455334268333,0.3468849172397795,38892315924.218765,0.6090692533940912,0.5975679306474764,37,3.324324324324324,1.7567567567567568,188.0,5.081081081081081,0.4801915769566258,0.8606026303438226,0.0757120757120757,2147.7256104946136,39.53259161300001,75.084130209,0.6486486486486487,0.5135135135135135,C2,C2,C2
at_least_M-of-N,no_discretization,ozone,0.03333333333333333,0.2278364610862319,0.1738328695736209,21041487445185.48,0.6508641589836538,0.4965912124834486,210414874451.8548,0.5498602050326189,0.3337273226326482,0.1356815468680927,0.101787555808476,2458967855512.7407,0.4629011234192707,0.3472658959265269,24589678555.127407,0.6343734077865111,0.6047723841173204,30,3.066666666666667,1.8,147.0,4.9,0.47556612879701,0.8437319280397445,0.091358024691358,4014.672300100327,38.88658388900001,95.537506618,0.5333333333333333,0.5,C2,C2,C2
