model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,ozone,0,0.2745769695935016,0.2068159514664305,13928659637225.156,0.6848460462535594,0.5158374603435972,139286596372.25156,0.765072765072765,-0.0850260669012517,0.1383122122626228,0.0872103416695603,1746723975130.6255,0.4731982878436993,0.2983668881092149,17467239751.30626,0.6263061487868558,0.6023563867172159,64,1.265625,5.4375,429.0,6.703125,0.525224230830904,0.908500536786082,0.0508733164983164,1954.364712136,1917.196355112,37.14894867,0.8125,0.609375,C2,C2,C2
complex,no_discretization,ozone,0,0.1660880117212197,0.123714952287024,49047532503442.34,0.5810145993074473,0.432783755350367,490475325034.42346,0.4936764702583813,0.5936227024271514,0.1254030374913727,0.0786232520405591,2879103699327.954,0.4297018955387263,0.269407831828408,28791036993.27954,0.6486486486486487,0.6651958158101716,62,1.032258064516129,5.67741935483871,416.0,6.709677419354839,0.5127399189016361,0.9063001869613584,0.0430650591940914,1739.468229316,1706.2577993159994,33.18947666300001,0.8387096774193549,0.5645161290322581,C2,C2,C2
complex,no_discretization,ozone,0,0.292756275827568,0.2108169291304057,11854472820578.586,0.741184539595192,0.533734923750789,118544728205.78586,0.7567567567567568,0.1197464284352181,0.1372375102319136,0.0839409925045326,3387432127601.903,0.4795240063397454,0.2932997032217199,33874321276.019028,0.8918918918918919,0.5817654281024436,55,1.2545454545454546,5.7272727272727275,384.0,6.9818181818181815,0.5261419827967799,0.9107470436479572,0.0579124579124579,1345.621787322,1317.0485438239998,28.554351443,0.7454545454545455,0.5636363636363636,C2,C2,C2
complex,no_discretization,ozone,0,0.2131191646713926,0.1468320731473573,17671537530697.82,0.6475334210476075,0.4461291634247071,176715375306.9782,0.8787878787878788,0.3402333094284676,0.1400805116901773,0.0947104900588272,3870081230801.299,0.4383553943408135,0.2963785163047784,38700812308.012985,0.6340485000113768,0.6476791244746062,43,1.186046511627907,4.046511627906977,225.0,5.232558139534884,0.528510354121087,0.90466305081442,0.0570824524312896,932.912540641,916.5909455640002,16.30423816,0.8372093023255814,0.7209302325581395,C2,C2,C2
complex,no_discretization,ozone,0,0.2515267779371676,0.169174813717377,32328077456929.41,0.7905127306596698,0.5316922716831849,323280774569.2941,0.8458560024612723,0.1155320361441938,0.136242209192277,0.0878854037009841,3879196284640.847,0.4577088464732289,0.2952530422715116,38791962846.40847,0.6907501348622666,0.6147041326080995,54,1.0740740740740742,5.777777777777778,370.0,6.851851851851852,0.5159454822212332,0.9061574925651844,0.0546826287567028,1562.201799828,1532.2578129349995,29.926208751,0.7037037037037037,0.5925925925925926,C2,C2,C2
complex,no_discretization,ozone,0,0.2149883688539432,0.1472915072592694,59839269439221.86,0.8362475336029809,0.5729247601757896,598392694392.2186,0.8378378378378378,0.2615631249394237,0.1487835003345706,0.0921439179523429,4098279759187.351,0.5015281856369929,0.3106041455148149,40982797591.87351,0.7837837837837838,0.5265564020277611,52,0.9615384615384616,5.365384615384615,329.0,6.326923076923077,0.4967157447561158,0.8886055483636993,0.0431235431235431,1493.886017366,1469.0465487779995,24.821294665,0.6346153846153846,0.5,C2,C2,C2
complex,no_discretization,ozone,0,0.2349893261969663,0.1532877289712087,14753807133073.385,0.7519658438302923,0.490520732707868,147538071330.73383,0.7255067567567568,0.1416772401341163,0.1338320506287338,0.0859275696109558,3278623807349.901,0.4605951783147999,0.2957275485295315,32786238073.49901,0.8918918918918919,0.6154877109063901,37,1.6486486486486487,5.891891891891892,279.0,7.54054054054054,0.5027377257917752,0.887139275573349,0.0467740467740467,1192.497843536,1168.778105952,23.705164887,0.945945945945946,0.6756756756756757,C2,C2,C2
complex,no_discretization,ozone,0,0.2006734146232816,0.1404655384092881,13629585774234.133,0.5964113596101879,0.4174705598064868,136295857742.34132,0.5594143088125015,0.4450969883007943,0.1524553151583871,0.0961644607387518,3249845658451.466,0.5288293744556555,0.3335704731875454,32498456584.51466,0.7484731019938797,0.5043382008681576,52,1.2884615384615385,5.576923076923077,357.0,6.865384615384615,0.5024658081727401,0.8893735092192059,0.0609298109298109,1611.105264569,1582.2155227160004,28.871337341,0.7307692307692307,0.5,C2,C2,C2
complex,no_discretization,ozone,0,0.234403572006552,0.1820412429915665,60087013584796.58,0.6555354132386624,0.5090983914170929,600870135847.9658,0.6237837837837837,0.318096273771583,0.1196010020748091,0.0785392998964628,3278623807349.916,0.4113600662911041,0.2701309441509328,32786238073.49916,0.7302101659654421,0.7010124561994195,54,1.2592592592592593,5.37037037037037,358.0,6.62962962962963,0.516019424304425,0.8933761100468333,0.0515026811323107,1395.483729295,1367.499569594,27.961209323999995,0.8703703703703703,0.6481481481481481,C2,C2,C2
complex,no_discretization,ozone,0,0.2631465230770073,0.1751023793762018,14753807133073.334,0.7517349927901376,0.5002178419791795,147538071330.73334,0.8918918918918919,0.1112065943254376,0.1292417184912259,0.0748741156572765,1639311903675.129,0.4409305322881348,0.255446028238998,16393119036.75129,0.8918918918918919,0.6413992790797854,67,1.1492537313432836,5.402985074626866,439.0,6.552238805970149,0.5025439045472607,0.8968976377042737,0.0386451580481431,1798.094536964,1764.210672807,33.85035160600002,0.7313432835820896,0.582089552238806,C2,C2,C2
