model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,ozone,0.15151515151515152,0.2581767171696125,0.2013588821716237,17895458645635.934,0.6439407654986267,0.5022265142536431,178954586456.35934,0.7360307470392852,0.0407184200040039,0.1656906182267865,0.1114528461490386,2458967855512.641,0.5668661904402733,0.381306141448252,24589678555.12641,0.7567567567567568,0.4293513519886535,33,3.3333333333333335,1.5454545454545454,166.0,5.03030303030303,0.4933609804422627,0.85609063436759,0.0761146821752882,3283.534643650055,39.241926962,91.879072996,0.7878787878787878,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.10344827586206896,0.2246856922494754,0.1531987988958418,52049933254051.17,0.7860029516854441,0.5359251268794467,520499332540.5117,0.6918918918918919,0.2562898622933474,0.1716965837318373,0.1155311122368293,3855550611411.704,0.5883298280727036,0.395875083370913,38555506114.11704,0.8918918918918919,0.3723781236388813,29,2.793103448275862,1.0344827586206897,114.0,3.9310344827586206,0.4760565724726309,0.8541321078370698,0.0649018924880993,5013.005264997482,51.98262819599999,165.00526468000004,0.5862068965517241,0.5517241379310345,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.19047619047619047,0.2683317006181626,0.2022536211138907,19044039616192.133,0.6793477182316975,0.5120548026613583,190440396161.92133,0.5763236688549274,0.2604980314589461,0.1369351711631966,0.1035030811012926,4407126695823.37,0.4784675980643459,0.3616519422009873,44071266958.2337,0.4864864864864865,0.583606169243017,21,3.1904761904761907,0.8095238095238095,88.0,4.190476190476191,0.4649468075296278,0.8525476309719529,0.0952380952380952,2792.808452129364,23.493951258,47.820588376,0.6190476190476191,0.5238095238095238,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.10714285714285714,0.212382501909063,0.1653675814855929,21202247856652.07,0.6452951720408362,0.5024467693219551,212022478566.5207,0.6037931258473663,0.3447864950717224,0.1552520663475937,0.1158612159424168,5112829882677.462,0.4858318972773839,0.3625657016129077,51128298826.77462,0.5575692592744235,0.5672294335255093,28,3.0,1.5,129.0,4.607142857142857,0.4806205972447107,0.855553718797904,0.1063011063011062,342.2417857646942,11.971431153,15.549819774999994,0.5714285714285714,0.5,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.15151515151515152,0.2053117391724815,0.1482387512260043,47949873182487.56,0.6452654659706561,0.4658932181388708,479498731824.8756,0.596963922021015,0.4106935212165437,0.1358314464750315,0.100189554721212,4492261446718.068,0.456328879643571,0.3365891216237845,44922614467.18069,0.6704025876969733,0.6170239217248011,33,3.3333333333333335,1.393939393939394,161.0,4.878787878787879,0.4759058208633587,0.8518152457643873,0.0810121416182022,2658.830216407776,27.711508065,52.96756481299999,0.7272727272727273,0.5151515151515151,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.16666666666666666,0.1906335409776458,0.147589308709092,48178658216575.89,0.741513735437763,0.5740831285528561,481786582165.7589,0.5135135135135135,0.4193932558025292,0.1556207684595844,0.1086370944350131,4362294666989.4185,0.5245756517185195,0.3662003161798649,43622946669.89419,0.8648648648648649,0.4820428701581455,24,3.0833333333333335,1.5,114.0,4.75,0.4784147513582295,0.8713146202085932,0.092732884399551,1069.6896226406095,15.965771615999998,34.523866561,0.6666666666666666,0.625,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.21739130434782608,0.2030586586974933,0.1371938108983678,16763296852819.725,0.6497877078319786,0.4390201948747772,167632968528.19724,0.6672330664605711,0.3590895053709884,0.1426753767691631,0.1014902587564722,3725177078404.804,0.4910302897952813,0.3492879591214761,37251770784.04804,0.7750708900734673,0.5629933801634096,23,2.869565217391304,1.2173913043478262,99.0,4.304347826086956,0.4633014643845815,0.8119526736221223,0.1279461279461279,1169.4414689540863,7.881715553999999,7.592707044000001,0.6521739130434783,0.3478260869565217,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.10714285714285714,0.1847054515260291,0.1489855147391839,14816701274595.91,0.5489537798459936,0.4427923528117983,148167012745.9591,0.4522901346849185,0.5298928807988008,0.1363882107516504,0.1005413708015048,4098279759187.509,0.4730966060447873,0.3487528799677198,40982797591.87509,0.550137552811664,0.6033075154086931,28,2.8214285714285716,1.6428571428571428,128.0,4.571428571428571,0.476235989693506,0.8465573546808302,0.0823713323713323,2782.2556190490723,24.144230945999997,56.70556604800001,0.6428571428571429,0.5,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.09375,0.2174120544044596,0.1653956748914405,62794496850263.76,0.6080167623175565,0.4625472263913168,627944968502.6376,0.5104977621639989,0.4133732640471669,0.1356308139904734,0.1007446121305685,3636822972420.428,0.4664935884010369,0.3465047082011948,36368229724.20428,0.5525075534826805,0.6154965906243268,32,2.625,1.59375,138.0,4.3125,0.4957410493347106,0.8425127262581582,0.1165824915824915,2165.720471382141,35.995921104999994,71.40942702300003,0.53125,0.46875,C2,C2,C2
exact_M-of-N,no_discretization,ozone,0.18181818181818182,0.2174737117493651,0.1679025954901316,22130710699609.84,0.6212607228183356,0.4796501011464359,221307106996.0984,0.5146564343434022,0.3929575174543336,0.1355421787945804,0.1000089133893284,1639311903675.3047,0.4624256450709854,0.3411977489088264,16393119036.753046,0.7238614258364675,0.6055838993651497,33,2.8181818181818183,1.5151515151515151,149.0,4.515151515151516,0.4813810837843618,0.8637331893257602,0.077237016630956,3903.261258125305,36.09601392900001,81.30802766700002,0.696969696969697,0.6666666666666666,C2,C2,C2
