model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,ozone,0,0.2433653540585388,0.1830379259988099,12368092871640.514,0.6069984702971697,0.4565306410086597,123680928716.40514,0.5770348682992521,0.1476274415992504,0.1419781496890871,0.1032889628860213,1374232541293.9153,0.4857403134910891,0.3533755956271757,13742325412.939154,0.5300671057735717,0.5809981120106167,26,2.923076923076923,0.0,76.0,2.923076923076923,0.4466836337593654,0.8063714599653464,0.1028231028231028,29.607107548,26.541290449,3.061979561,0.5769230769230769,0.3846153846153846,C2,C2,C2
plain,no_discretization,ozone,0,0.2302116781300601,0.1626373540001792,68870068936957.45,0.8053341390415533,0.5689433938522171,688700689369.5746,0.7567567567567568,0.2192579564980613,0.1480146033251139,0.1076549549748608,2580664084758.3486,0.5071819382412464,0.3688869037164781,25806640847.583485,0.5405405405405406,0.5335727705605791,24,2.7916666666666665,0.0,67.0,2.7916666666666665,0.4463238185359203,0.7926148284573277,0.0773007856341189,46.952752409,43.046318314,3.901837875,0.5,0.375,C2,C2,C2
plain,no_discretization,ozone,0,0.2818276385270717,0.2018957043196556,4641981574130.553,0.713516005477269,0.5111486482378583,46419815741.30553,0.6533084808946878,0.1842397648378226,0.1307227994641329,0.0878996783769386,3084719774918.896,0.4567608404805585,0.3071318173876564,30847197749.18896,0.7297297297297298,0.6205304361724568,37,3.324324324324324,0.0,123.0,3.324324324324324,0.4611854093385155,0.8288652485460998,0.0633360633360633,38.52050403,33.055056433000004,5.460832121,0.6756756756756757,0.5945945945945946,C2,C2,C2
plain,no_discretization,ozone,0,0.1541226218008272,0.1264365596422317,16542147391628.207,0.4682804979523854,0.38416018632985,165421473916.2821,0.3181818181818182,0.6549530827467993,0.1474372574856481,0.1045027573707634,3273597333178.843,0.4613769350628472,0.3270215597033372,32735973331.78843,0.5817757919606233,0.6097010119077666,40,3.6,0.0,144.0,3.6,0.4747601967141923,0.8554531052020501,0.0791245791245791,97.848642151,81.43130998,16.412342062,0.725,0.675,C2,C2,C2
plain,no_discretization,ozone,0,0.1842943364383341,0.1433864270123137,26559378785172.902,0.579210771663336,0.4506430563244146,265593787851.72903,0.442262015575281,0.5251705684639343,0.1321942808257151,0.0938813583243956,2949003876096.151,0.4441097376929939,0.3153965902252472,29490038760.96151,0.5335089393100052,0.6372592642672822,48,3.6875,0.0,177.0,3.6875,0.4455752188368783,0.8301034179980902,0.059553872053872,136.281699568,115.519210487,20.756883065,0.6875,0.4583333333333333,C2,C2,C2
plain,no_discretization,ozone,0,0.1387336128797942,0.1007675073724962,45107605676935.69,0.5396368288061958,0.3919587834298997,451076056769.3569,0.4203858298793247,0.6924987829817997,0.1241580092144572,0.0886023165978244,3610407826248.092,0.4185191298336412,0.2986659070838934,36104078262.48092,0.5405405405405406,0.6703081698897702,49,3.3469387755102042,0.0,164.0,3.3469387755102042,0.4725885847287006,0.837214489177156,0.0694702123273551,100.777264926,85.20012964099999,15.571507064,0.7142857142857143,0.5510204081632653,C2,C2,C2
plain,no_discretization,ozone,0,0.2138415799139774,0.1467405765402617,11065355349805.324,0.6842930557247279,0.4695698449288376,110653553498.05324,0.6444256756756757,0.2892143265072759,0.1431128258414938,0.1012712322969991,3463282666032.3003,0.4925358105769421,0.3485341596341134,34632826660.323006,0.539583792803314,0.5603095084287004,33,3.787878787878788,0.0,125.0,3.787878787878788,0.4685979544203982,0.8334968860675731,0.0798898071625344,58.836831854,51.734595161,7.097977891,0.6666666666666666,0.5757575757575758,C2,C2,C2
plain,no_discretization,ozone,0,0.251944072173871,0.1696409382271329,14345499206856.623,0.7487903014608528,0.5041812977744293,143454992068.56622,0.7837837837837838,0.1253270619716946,0.1360188190186435,0.0930235830705954,3050588709445.846,0.4718152784709198,0.3226755537761278,30505887094.45846,0.7297297297297298,0.6054533971836564,30,3.066666666666667,0.0,92.0,3.066666666666667,0.451947224112004,0.817962354913368,0.0763187429854096,121.651452322,99.219211056,22.427996486,0.6,0.4333333333333333,C2,C2,C2
plain,no_discretization,ozone,0,0.2138354272894286,0.1681439475806221,56152473674123.59,0.5980143305551817,0.4702330737424177,561524736741.236,0.5135135135135135,0.4325155962714115,0.1497836008637126,0.103553626772047,2258630698299.488,0.5151712018439241,0.356166136024421,22586306982.994877,0.5945945945945946,0.5310657081211101,31,3.7419354838709675,0.0,116.0,3.7419354838709675,0.4461194045062496,0.8202376524667226,0.069295101553166,82.03574611,69.728011876,12.302558478000002,0.4516129032258064,0.3548387096774194,C2,C2,C2
plain,no_discretization,ozone,0,0.2147745414606919,0.1652449083669956,18303093911724.777,0.6135499587399469,0.472057842708104,183030939117.24777,0.4936914437600583,0.4079325951090727,0.1428819456341228,0.1051054799905935,2020208405954.801,0.4874665323108897,0.3585855695798299,20202084059.54801,0.5945945945945946,0.5617111514479439,36,3.0,0.0,108.0,3.0,0.4894940491940934,0.8521966666057329,0.1025065469509914,71.366021769,61.816245509,9.545069897,0.6944444444444444,0.6388888888888888,C2,C2,C2
