model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,pharynx,0.875,0.228545288660851,0.1667090189078895,37135407113644.37,0.6271167769128168,0.4574411628977144,371354071136.44366,0.7119739045168109,0.41863666781146,0.1760207275347574,0.1260167383075372,8386254312947.617,0.6069878278880286,0.4345546535008052,83862543129.47617,0.6993855774721305,0.3776895287001637,16,0.8125,1.5625,52.0,3.25,0.4852999388641578,0.8566506298200424,0.3353571428571429,0.3042483329772949,0.123222636,0.043101625,0.75,0.75,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.0,0.1680612400008899,0.1386597534261316,40673535096196.8,0.6667082822272776,0.5500709504482092,406735350961.968,0.468945868945869,0.5896001926193506,0.1847487093974158,0.1346723823767703,8458430960392.654,0.5879586277776421,0.4285918391530554,84584309603.92654,0.7407407407407407,0.3836864159347963,6,0.5,1.3333333333333333,11.0,1.8333333333333333,0.3880380608213223,0.7919467787114846,0.2152380952380952,0.1463215351104736,0.057679793,0.048705398,0.6666666666666666,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.0,0.2910834481482497,0.2250276733514862,40183019765067.6,0.7201613935768838,0.5567346541519405,401830197650.676,0.6817944051656603,0.0235024934486145,0.1708376309047928,0.1237053688653952,8758051399254.369,0.5754166064352555,0.4166653633239431,87580513992.54369,0.6898454746136866,0.4521963949650918,8,1.5,1.375,23.0,2.875,0.3920927819352847,0.7723658472036947,0.1825284090909091,0.3649716377258301,0.116212434,0.1237364829999999,0.25,0.125,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.0,0.2470840064461909,0.1618047079994114,36003466880026.52,0.8476595691073596,0.5550958600478758,360034668800.26526,0.8442662674626452,-0.0647303662819149,0.1686721098005881,0.1230785155243568,7773475803642.897,0.5557496035863372,0.4055254676871165,77734758036.42897,0.705722758032908,0.480969552166715,8,1.625,2.25,31.0,3.875,0.4279828953227026,0.8092604925071181,0.2294034090909091,0.3932371139526367,0.1142108219999999,0.189274809,0.875,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.8333333333333334,0.2313354649199539,0.1890268279526065,40467614234896.17,0.7145214024594346,0.5838435289543219,404676142348.9617,0.4856512141280353,0.3853925467113697,0.1856770589695441,0.1321063368664752,8787091779151.5,0.6210500936598836,0.4418674732318227,87870917791.515,0.7676600441501104,0.3505842572676187,6,0.6666666666666666,0.5,12.0,2.0,0.4601339441570302,0.8195430427132099,0.4270833333333333,0.0901877880096435,0.037326567,0.003839859,0.8333333333333334,0.8333333333333334,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.4,0.2009743300165294,0.1506535454599807,34223083142865.08,0.6040959919757548,0.4528399372289304,342230831428.6508,0.619469535304547,0.487846207135873,0.1784428743555373,0.1294563806136672,8975953845785.307,0.5970879679439137,0.4331741881941381,89759538457.85307,0.7015556022856793,0.3938216594251665,5,1.4,1.2,15.0,3.0,0.4371606726750587,0.7828828051793167,0.2868571428571428,0.3670835494995117,0.123612534,0.075501583,0.6,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.7333333333333333,0.2001402147487502,0.1607791481013699,36576300065104.3,0.5681789290569209,0.4564366251810014,365763000651.04297,0.4245115699420553,0.3916265602269072,0.1797928599546071,0.1310489140003931,8343602137687.873,0.5906114708394806,0.4304897973658687,83436021376.87872,0.7009391990538107,0.4198916263491222,15,1.8,0.06666666666666667,39.0,2.6,0.4628131006930103,0.7873559509308177,0.3302857142857143,0.1387181282043457,0.078895048,0.010877718,0.5333333333333333,0.5333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.8461538461538461,0.2665594402183844,0.1682614221635188,37891619770971.27,0.9028981392974902,0.5699401411652297,378916197709.7127,0.827262693156733,-0.1518623645413037,0.2022841913839425,0.1399220648179618,4328453145276.489,0.6523106665837672,0.4512100265805896,43284531452.76489,0.6943101866166596,0.2447198071307222,13,0.8461538461538461,0.5384615384615384,29.0,2.230769230769231,0.4653903818658472,0.8372460639111191,0.374065934065934,0.2159576416015625,0.10403762,0.0342150769999999,0.8461538461538461,0.7692307692307693,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.8,0.2504637705296165,0.195998204319488,41439649514791.82,0.6870860565403326,0.5376731054160164,414396495147.9182,0.5954884233598506,0.3093652116330586,0.174311351170033,0.1251318948875851,4473598527165.97,0.574941891696359,0.4127302546581742,44735985271.6597,0.6882372442338678,0.4209861669623295,10,0.7,0.8,23.0,2.3,0.4579436565932895,0.8058743794381499,0.3443181818181817,0.1930289268493652,0.069253725,0.026832791,0.6,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,pharynx,0.8333333333333334,0.2202206706826381,0.1581329060530673,43886460445561.76,0.9435002450550822,0.6774951467991508,438864604455.6176,0.5150768262324348,0.1474998286469568,0.1737195836023759,0.1275846845621192,9475485778019.416,0.5558915117677844,0.4082627974862493,94754857780.19415,0.6781086083484291,0.4309509172369108,6,0.6666666666666666,0.5,12.0,2.0,0.4452023783534674,0.7571473841321908,0.365530303030303,0.2054977416992187,0.0497448319999999,0.001419151,0.5,0.5,C2,C2,C2
