model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,pharynx,0,0.3148765656781795,0.2176278317389525,45780487643633.91,0.8640054588327277,0.5971598242358994,457804876436.3391,0.7814569536423841,-0.1035290503962387,0.0991797133965486,0.0470997499104795,4024698367426.945,0.3420101691901078,0.1624182293337364,40246983674.26945,0.5353200883002207,0.8024280968864679,66,0.16666666666666666,1.3636363636363635,101.0,1.5303030303030303,0.5490495921502335,0.7032694434370529,0.0315151515151515,2119.746362581,2118.980789224,0.246229941,0.9848484848484848,0.9545454545454546,C2,C2,C2
complex,no_discretization,pharynx,0,0.263503265672165,0.1905234188203964,35727129317540.15,1.0453321040391994,0.7558169943595685,357271293175.4015,0.7521367521367521,-0.0088904822847097,0.1279237151165183,0.0705167616021355,6332256797350.395,0.4071143568225552,0.2244180136475403,63322567973.50394,0.7521367521367521,0.7045111888548761,65,0.13846153846153847,1.2153846153846153,88.0,1.353846153846154,0.5312679025344108,0.6948266716671891,0.0445714285714285,2301.318751401,2300.795089825,0.225666425,0.9692307692307692,0.7846153846153846,C2,C2,C2
complex,no_discretization,pharynx,0,0.3574316242068555,0.2844476226981505,52717283891900.85,0.8843115547612969,0.7037438839792836,527172838919.0085,0.7775938189845475,-0.4723873112048777,0.1164570839804729,0.0565469912187642,112974102633.5298,0.3922516351021893,0.1904620054662244,1129741026.335298,0.6594922737306843,0.7454403129460425,66,0.24242424242424243,1.4545454545454546,112.0,1.696969696969697,0.5422052536881775,0.6970211398429319,0.037362258953168,3415.548143761,3414.856367179,0.387798905,0.9696969696969696,0.8333333333333334,C2,C2,C2
complex,no_discretization,pharynx,0,0.2696499973115692,0.1760503179963528,35671027389748.98,0.9250756607781608,0.6039676093988747,356710273897.48975,0.8495093755034956,-0.2680933101885607,0.1141306748791323,0.0534975271210105,5289351337856.358,0.3760436588841304,0.1762664232130642,52893513378.56358,0.6611479028697571,0.7623646466221232,64,0.21875,1.390625,103.0,1.609375,0.540120577530653,0.699244374716905,0.0403053977272727,2808.114734258,2807.562326959,0.240443628,0.984375,0.828125,C2,C2,C2
complex,no_discretization,pharynx,0,0.2992013294062117,0.2115129182944501,40711226783758.94,0.924137393196617,0.6532958838383559,407112267837.58936,0.7676600441501104,-0.0281119932892868,0.0939331845550045,0.040429375802064,3429683246126.7954,0.314186434174539,0.1352276246070926,34296832461.26796,0.6495584988962472,0.8337948763790538,67,0.1044776119402985,1.1791044776119404,86.0,1.2835820895522387,0.5537412149497396,0.7054059297529446,0.0289179104477612,1835.348358547,1834.8082817520003,0.217264083,0.9552238805970148,0.8507462686567164,C2,C2,C2
complex,no_discretization,pharynx,0,0.2773973660432529,0.2026338358152522,26221289221170.406,0.8338111489043304,0.6090841952034334,262212892211.70407,0.7781456953642384,0.0242829809313864,0.098869940786193,0.042709774735019,4678132876931.995,0.3308288562822691,0.1429112409222042,46781328769.319954,0.6650110375275938,0.813906783639003,67,0.1791044776119403,1.4029850746268657,106.0,1.5820895522388059,0.5462974531992355,0.7141764052802565,0.0326652452025586,2055.766987057,2055.26851522,0.191205679,0.9701492537313432,0.835820895522388,C2,C2,C2
complex,no_discretization,pharynx,0,0.2818068250897767,0.2027246131521672,39269798075307.3,0.8000226255450255,0.575515788962629,392697980753.073,0.7676600441501104,-0.20615893059329,0.0996290945542127,0.0413060880403994,2327776543255.503,0.3272771014818126,0.1356886442449644,23277765432.55503,0.5673289183222958,0.8218701838561474,64,0.171875,1.125,83.0,1.296875,0.5413476519375309,0.6914505762411347,0.0237499999999999,1477.215219029,1476.77567622,0.1451338559999999,0.96875,0.84375,C2,C2,C2
complex,no_discretization,pharynx,0,0.3087654824671472,0.2031493973582343,33356477429447.93,1.045859712829827,0.6881137382487107,333564774294.47925,0.8758888485644563,-0.5455033136575462,0.1338234439363812,0.0753594122708881,3207014132556.1807,0.4315436580656384,0.2430132978532209,32070141325.56181,0.6661147902869757,0.6694412843303374,63,0.20634920634920634,1.2857142857142858,94.0,1.492063492063492,0.5565691969992467,0.7121434878036421,0.0541496598639455,2830.398044199,2829.769529221,0.322803179,0.984126984126984,0.8571428571428571,C2,C2,C2
complex,no_discretization,pharynx,0,0.3290879223846786,0.2480151221374185,56903271694731.13,0.9027721748667156,0.6803687889527228,569032716947.3113,0.759933774834437,-0.1922916704066477,0.1171344845917219,0.0628505219918772,56487051316.93142,0.3863519025123617,0.2073037571309113,564870513.1693141,0.5879942475775282,0.7385388646728701,61,0.18032786885245902,1.4098360655737705,97.0,1.5901639344262295,0.5647446276320348,0.7033202538897178,0.048155737704918,2206.869133843,2206.29904698,0.2532435069999999,0.9836065573770492,0.8852459016393442,C2,C2,C2
complex,no_discretization,pharynx,0,0.2373079500214015,0.1645814770690722,59388701952661.71,1.0167079607226153,0.7051230180384666,593887019526.6171,0.749448123620309,0.0100736410064681,0.1037861597665081,0.0498843434690267,190643798193.79495,0.3321090464114371,0.159626695675325,1906437981.93795,0.5033112582781456,0.7968901180609721,60,0.2,1.3166666666666667,91.0,1.5166666666666666,0.5511388216253058,0.7029254908565254,0.0278409090909091,2391.318801899,2390.73296472,0.286110561,0.9666666666666668,0.85,C2,C2,C2
