model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,pharynx,0.8571428571428571,0.241364129524609,0.1750617917871559,38087284054238.91,0.6622910314920374,0.480360751557901,380872840542.389,0.7134947014293216,0.3515917294089388,0.165507518178802,0.1163952662512404,8081198952930.121,0.570734199122386,0.4013760812591711,80811989529.30121,0.6955428500304045,0.4498071552855468,14,1.2857142857142858,2.857142857142857,70.0,5.0,0.4916636775798125,0.8578328798686454,0.1579591836734693,0.3058290481567383,0.134512378,0.036802625,0.4285714285714285,0.4285714285714285,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.0,0.1680612400008899,0.1386597534261316,40673535096196.8,0.6667082822272776,0.5500709504482092,406735350961.968,0.468945868945869,0.5896001926193506,0.1847487093974158,0.1346723823767703,8458430960392.654,0.5879586277776421,0.4285918391530554,84584309603.92654,0.7407407407407407,0.3836864159347963,6,0.5,1.3333333333333333,11.0,1.8333333333333333,0.3880380608213223,0.7919467787114846,0.2152380952380952,0.1421270370483398,0.057250493,0.0482846699999999,0.6666666666666666,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.0,0.2910834481482497,0.2250276733514862,40183019765067.6,0.7201613935768838,0.5567346541519405,401830197650.676,0.6817944051656603,0.0235024934486145,0.1708376309047928,0.1237053688653952,8758051399254.369,0.5754166064352555,0.4166653633239431,87580513992.54369,0.6898454746136866,0.4521963949650918,8,1.5,1.375,23.0,2.875,0.3920927819352847,0.7723658472036947,0.1825284090909091,0.3505828380584717,0.1109963859999999,0.119856769,0.25,0.125,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.0,0.2470840064461909,0.1618047079994114,36003466880026.52,0.8476595691073596,0.5550958600478758,360034668800.26526,0.8442662674626452,-0.0647303662819149,0.1686721098005881,0.1230785155243568,7773475803642.897,0.5557496035863372,0.4055254676871165,77734758036.42897,0.705722758032908,0.480969552166715,8,1.625,2.25,31.0,3.875,0.4279828953227026,0.8092604925071181,0.2294034090909091,0.3860871791839599,0.1096821419999999,0.19304804,0.875,0.5,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.7142857142857143,0.2077890927765114,0.1585819574987168,40467614234896.11,0.6417941755615361,0.4898090429669004,404676142348.9611,0.4614871930138573,0.5041402221198585,0.1755936115451121,0.1283433442598118,8717621045376.582,0.5873231162825373,0.4292810668993468,87176210453.76582,0.6917927308941464,0.4192038377594647,7,1.0,0.8571428571428571,18.0,2.5714285714285716,0.4775833163361062,0.8094271960380696,0.3108766233766234,0.1004674434661865,0.046021388,0.007720231,0.5714285714285714,0.5714285714285714,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.5555555555555556,0.1718723915221789,0.1453222892463766,37454680371248.8,0.5166203208205573,0.4368150523067157,374546803712.488,0.3685130335116744,0.6254313253858483,0.1779765553131928,0.1287559286722129,8725904446614.172,0.5955276171010313,0.4308304049084462,87259044466.14172,0.6993248021023518,0.3969857325750918,9,1.3333333333333333,1.3333333333333333,29.0,3.2222222222222223,0.4570535355983158,0.7654843455859874,0.2476190476190476,0.2524213790893554,0.073093991,0.0087492519999999,0.3333333333333333,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.5,0.2110671092437492,0.1648724604042727,39980325050543.8,0.5991993375234572,0.4680571473408207,399803250505.438,0.5183594627889515,0.3233834025917014,0.1753501234393884,0.1276762450102525,8499598428445.8,0.5760172809007476,0.4194107311925815,84995984284.458,0.6884292209921119,0.4482067230332314,14,2.4285714285714284,0.35714285714285715,46.0,3.2857142857142856,0.4308146918702639,0.8097769801882533,0.2216326530612245,0.1487412452697754,0.086054234,0.01527115,0.7142857142857143,0.5,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.7,0.2711514951138179,0.1730853558507377,36300460091617.46,0.9184524855147616,0.5862799141881475,363004600916.1746,0.827262693156733,-0.1918907794787767,0.1671357369891827,0.121134998975547,4148624010471.559,0.5389666056427059,0.3906269263443565,41486240104.71559,0.7030905077262694,0.4843881980092974,10,1.5,1.3,35.0,3.5,0.4744275077147562,0.8084543932515535,0.1662857142857143,0.257798433303833,0.139461808,0.044322787,0.3,0.3,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.6,0.2207839019737493,0.1669609438241141,39112823532700.53,0.6056666009377714,0.4580164877570495,391128235327.0053,0.4483259842906831,0.463347161096684,0.1743735068291554,0.1276426153688299,4222407085917.479,0.5751469035443864,0.4210115190354986,42224070859.17478,0.6900966782123774,0.4205731657132531,5,1.2,2.0,19.0,3.8,0.4979023742984031,0.8072718778295597,0.3397727272727273,0.181983470916748,0.057578827,0.032245723,0.6,0.6,C2,C2,C2
exact_M-of-N,no_discretization,pharynx,0.5,0.2172106502446414,0.1542800795769076,42775562860177.48,0.9306042938618204,0.6609883279199639,427755628601.7748,0.4976505438440509,0.1706448525510484,0.1701794555942464,0.1261022700978642,9235632890266.012,0.5445633294783601,0.4035191663969225,92356328902.66013,0.6821192052980133,0.4539072280802984,4,1.0,0.25,7.0,1.75,0.434630640247987,0.7418674136321195,0.3053977272727273,0.1781172752380371,0.048376366,0.0074551339999999,0.25,0.25,C2,C2,C2
