model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,pharynx,0,0.2819397525769753,0.2076988013275972,39152692730764.24,0.7736285003102604,0.569915064188894,391526927307.6424,0.7049488033324603,0.1152598850181676,0.1540147855757422,0.1011751960425415,5761208356513.759,0.5311027937934214,0.3488913683184338,57612083565.13759,0.6937086092715232,0.5235642779874545,34,3.735294117647059,0.0,127.0,3.735294117647059,0.4027957929606781,0.8146437835414315,0.0589915966386554,4.134803217,3.798493911,0.330276634,0.3235294117647059,0.1176470588235294,C2,C2,C2
plain,no_discretization,pharynx,0,0.1636275549652365,0.1313879374965965,40673535096196.77,0.6491196072059484,0.5212232523886944,406735350961.9677,0.468945868945869,0.6109683788344127,0.1785580188207477,0.1283414408174576,9296808021988.58,0.5682568937394141,0.4084437595053282,92968080219.8858,0.7099715099715099,0.4242981423681288,11,3.3636363636363638,0.0,37.0,3.3636363636363638,0.3791506038337247,0.7296570883185055,0.1111688311688311,0.427893602,0.405998539,0.015120542,0.0909090909090909,0.0909090909090909,C2,C2,C2
plain,no_discretization,pharynx,0,0.2682179049243685,0.2101473914230598,31402126184285.2,0.6635903945119827,0.5199197660551955,314021261842.852,0.6143820815730479,0.1708909633785701,0.1549183726066359,0.1045565171377329,6972098187017.609,0.52179723968112,0.3521680554421457,69720981870.17609,0.6810533108399978,0.5495322981969843,30,3.6,0.0,108.0,3.6,0.4032332767182432,0.7861426478547006,0.0897727272727272,4.25445511,3.863741926,0.384138118,0.4,0.1666666666666666,C2,C2,C2
plain,no_discretization,pharynx,0,0.2564651980925119,0.1750358640862175,38480916759301.305,0.8798431854531055,0.6004873697155674,384809167593.01306,0.837654880779535,-0.1471157736068562,0.1632670096608943,0.1153378228551476,7472286876523.345,0.5379405996939297,0.3800210325586143,74722868765.23344,0.6952707748192701,0.5137012447156897,20,3.4,0.0,68.0,3.4,0.4118473483342161,0.7927956271545168,0.115625,1.166174502,1.085618821,0.074411883,0.35,0.25,C2,C2,C2
plain,no_discretization,pharynx,0,0.2653649020506612,0.2208076850647242,60804992556690.46,0.8196274706187264,0.68200445124512,608049925566.9047,0.5435286961005567,0.1912759653735561,0.1555320202745962,0.1012922818317286,4624797282953.183,0.5202213795000529,0.3388010423459847,46247972829.53183,0.6832229580573952,0.5443347161618213,33,3.696969696969697,0.0,122.0,3.696969696969697,0.3974868651126664,0.789275296895618,0.0652548209366391,3.47511711,3.2061997680000003,0.262755808,0.4545454545454545,0.1212121212121212,C2,C2,C2
plain,no_discretization,pharynx,0,0.2124253581965324,0.1552942415181394,39269798075306.48,0.6385159113105888,0.4667891111780651,392697980753.0648,0.5382529860037399,0.4278209758095759,0.1700064113314159,0.1133721250719535,6684102182893.194,0.5688587064399208,0.3793546367439769,66841021828.931946,0.6890683707061394,0.4497847873022532,28,3.892857142857143,0.0,109.0,3.892857142857143,0.3956556676778044,0.8037009260119726,0.0832653061224489,1.851506382,1.7307144339999998,0.114805646,0.2857142857142857,0.1785714285714285,C2,C2,C2
plain,no_discretization,pharynx,0,0.1989081313013089,0.1503691739747242,38896983536617.26,0.5646811619811997,0.4268837042040105,388969835366.1726,0.4552980132450331,0.3990939214587305,0.1752444320465775,0.1280076655573868,8890739094084.816,0.5756700894217376,0.4204994328065322,88907390940.84816,0.6898454746136866,0.4488717037342616,8,2.75,0.0,22.0,2.75,0.3889696874028147,0.7502507949727438,0.1514285714285714,0.214383885,0.201525304,0.0074931089999999,0.125,0.125,C2,C2,C2
plain,no_discretization,pharynx,0,0.2230961940261313,0.1486279360682455,39269798075306.38,0.7556781268204852,0.5034370075721288,392697980753.06384,0.598732324417767,0.1931426195584762,0.1563754716975259,0.1069523009757601,4487976922893.19,0.5042677209844557,0.3448916411354519,44879769228.93191,0.6881898454746137,0.5486416580240003,21,3.4761904761904763,0.0,73.0,3.4761904761904763,0.3945905410195955,0.7433862433862435,0.0726530612244898,0.902018083,0.8379712920000001,0.058270532,0.0476190476190476,0.0476190476190476,C2,C2,C2
plain,no_discretization,pharynx,0,0.2422121143774154,0.1825040630127556,42252314384823.55,0.6644496573774756,0.5006552312650542,422523143848.2355,0.5526986036772175,0.3541222200182662,0.1608835410722607,0.113489109980516,4561329393817.045,0.5306521166063712,0.3743281383636679,45613293938.17045,0.6418322295805738,0.5067571096991053,31,3.7096774193548385,0.0,115.0,3.7096774193548385,0.3987799946139181,0.7859135591351256,0.0716642228739003,1.977442721,1.840808191,0.130624837,0.3225806451612903,0.1290322580645161,C2,C2,C2
plain,no_discretization,pharynx,0,0.2190445022495786,0.1583570404076899,42775562860177.51,0.9384611395007412,0.6784554145971561,427755628601.7751,0.4976505438440509,0.1565816844894754,0.168555565648436,0.1238836276144427,9235632890266.006,0.5393669859331945,0.3964196529246568,92356328902.66006,0.6821192052980133,0.4642793798062407,5,2.8,0.0,14.0,2.8,0.397757206400548,0.7256507936507937,0.2170454545454545,0.139799034,0.130318186,0.004400374,0.2,0.2,C2,C2,C2
