model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,pollution,0.6363636363636364,0.4193295849940836,0.3904843291661817,462181999640803.75,0.7687729209969094,0.7158898133572895,4621819996408.037,0.6157501170822182,-0.1898464983616603,0.147309966307388,0.1055216154434958,17943170063311.27,0.31262241396919,0.2239388343694146,179431700633.1127,0.4638502836336118,0.4346877362806591,11,2.4545454545454546,0.09090909090909091,35.0,3.1818181818181817,0.4132352104506708,0.7287878787878787,0.1750841750841751,5.543541193008423,0.850766632,4.598226610999999,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.4,0.3943349837729623,0.3549082747253637,418420302638567.8,0.6842045880029084,0.6157959092645441,4184203026385.678,0.5574478247519564,0.0197680302316535,0.1507019000861193,0.1034682202995187,41370843569886.79,0.3188444630595456,0.2189107710405403,413708435698.8679,0.4960533212580991,0.3862706165508938,10,2.1,0.4,29.0,2.9,0.4075121982943226,0.7524005602240896,0.15,4.179201364517212,0.939690414,2.971468601,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.13333333333333333,0.4306686162917196,0.3835406710332845,361891867347138.8,0.7269571649797685,0.6474064473737584,3618918673471.388,0.6637757010060504,-0.3556244519272264,0.1241916307732085,0.0889487881664675,20960513489509.445,0.2687053886594053,0.1924527324929037,209605134895.09445,0.4058798534843975,0.5875376039910031,15,3.2666666666666666,0.13333333333333333,53.0,3.533333333333333,0.4384627519559982,0.7668313532309476,0.137037037037037,0.5628418922424316,0.3459020490000001,0.1251479479999999,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.3333333333333333,0.3889792394586899,0.3510062493203776,436431933794796.8,0.7144506326760385,0.6447044249692402,4364319337947.968,0.5814441378967747,0.0379907823180393,0.1402673003556115,0.1063615805221316,33366929499003.55,0.3098547698238031,0.2349559944992734,333669294990.0355,0.4261774151232167,0.4714774906364574,9,3.2222222222222223,0.2222222222222222,34.0,3.7777777777777777,0.4194305020484911,0.7532887228965659,0.2325102880658436,2.339765787124634,0.817057969,1.320841659,0.1111111111111111,0.1111111111111111,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.5,0.2933392324474048,0.2482633173649059,361891867347138.56,0.5779418378364342,0.4891325197387964,3618918673471.3857,0.4821368202640629,0.3398046360411422,0.115108267343527,0.0802121165201256,16241237018516.623,0.2477241661165436,0.1726242618011968,162412370185.16623,0.3945314074988444,0.6302010672563738,12,2.4166666666666665,0.5,41.0,3.4166666666666665,0.4197800296632788,0.749537037037037,0.1172839506172839,2.4503278732299805,0.774395397,1.558780674,0.25,0.25,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.7142857142857143,0.5346776743216833,0.5053229302237703,183867797175776.9,0.6752667461145547,0.6381934148684528,1838677971757.7693,0.7061305417201931,-1.2555219248569056,0.1677363799674618,0.116005155007463,21834744834619.523,0.4140671420380564,0.2863655636597127,218347448346.1952,0.7381924863161387,0.3731218401459792,7,2.0,0.2857142857142857,21.0,3.0,0.4973582371810724,0.7920115081605764,0.201058201058201,0.8663616180419922,0.3139658879999999,0.403729822,0.5714285714285714,0.1428571428571428,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.6666666666666666,0.2250480427079851,0.1741226730764825,165520622239543.9,0.5198495015973893,0.4022144948537377,1655206222395.439,0.4508146131014225,0.4871669333928534,0.1267815889854539,0.0931699747037713,18391180248838.453,0.2768535620616486,0.2034557192440005,183911802488.3845,0.3423732177915347,0.5546548833088769,12,1.5833333333333333,0.4166666666666667,32.0,2.6666666666666665,0.3885314520789273,0.699284511784512,0.1404320987654321,9.023956298828123,1.372523398,7.413917021,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.5384615384615384,0.2646782576765812,0.2311467173363002,244909502370580.8,0.5486767050057095,0.4791659895084341,2449095023705.808,0.4584591471903263,0.4263429011169002,0.1245697738845099,0.0839075527714913,24529618114744.27,0.2646429532774064,0.1782578700697837,245296181147.4427,0.4602336040468483,0.5555807085947728,13,1.7692307692307692,0.46153846153846156,36.0,2.769230769230769,0.4425664838660603,0.7809523809523807,0.131054131054131,10.817622900009155,1.436007277,9.21731626,0.1538461538461538,0.1538461538461538,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,0.75,0.4834174774118808,0.458264255655374,189166937113486.28,1.831782874071538,1.7364713824639728,1891669371134.8628,0.7479790131025534,-0.9703734711523816,0.1559410089985436,0.1163735532682502,21135671699665.08,0.2945395563900478,0.2198050081584641,211356716996.6508,0.4668070562319456,0.4638193976728705,8,1.625,0.125,20.0,2.5,0.4830312432133496,0.8032242063492062,0.2222222222222222,1.5740816593170166,0.450402385,1.031273192,0.125,0.125,C2,C2,C2
at_least_M-of-N,no_discretization,pollution,1.0,0.2649008724380561,0.2138102528942909,316512880768540.3,0.5142622531056326,0.4150780681789363,3165128807685.404,0.4216798653836041,0.3019915877058532,0.1541067243784268,0.1158137439136929,41370843569886.84,0.3336472132073655,0.2507413811030586,413708435698.8684,0.4960533212580991,0.3803039532384847,10,1.5,0.0,25.0,2.5,0.3791549425778993,0.7396237627620607,0.2129629629629629,2.337042808532715,0.515283128,1.745465463,0.0,0.0,C2,C2,C2
