model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,pollution,0,0.3538612229296558,0.3255328029161528,372337592128979.5,0.6487472759238018,0.5968117030943404,3723375921289.795,0.4960533212580991,0.1526830848314184,0.131268065141366,0.0933341412579489,28141868443778.016,0.2785781602578549,0.1980744770853836,281418684437.7801,0.3842498829177818,0.5511075360848346,12,0.16666666666666666,2.75,35.0,2.9166666666666665,0.477777582979951,0.7711611917494269,0.1882716049382715,9.117724297,5.786960828,3.312504587,0.25,0.1666666666666666,C2,C2,C2
complex,no_discretization,pollution,0,0.3436092763308604,0.3016539920198012,270302206632618.72,0.5961911902832637,0.5233952193502851,2703022066326.187,0.5918735047799488,0.2557342956762319,0.1304069199343978,0.0926172409029958,24358486009744.875,0.2759057738619847,0.19595303329883,243584860097.4488,0.4058798534843975,0.540441571848346,12,0.3333333333333333,3.5,46.0,3.8333333333333335,0.475116690231985,0.7837807345160285,0.1481481481481481,9.6415327,6.142056423,3.481734334,0.0833333333333333,0.0833333333333333,C2,C2,C2
complex,no_discretization,pollution,0,0.3691338561629598,0.3338697631387139,361891867347138.8,0.6230881272121948,0.5635632765016336,3618918673471.388,0.482136820264063,0.004088601645804,0.1285274154808923,0.0992183555038279,18391180248838.457,0.27808644523921,0.2146723302674798,183911802488.38455,0.3020504120363623,0.5582350561489267,9,0.3333333333333333,2.888888888888889,29.0,3.2222222222222223,0.376341738551691,0.6879078137698827,0.1440329218106996,9.888263985,6.927757144999999,2.944325117999999,0.1111111111111111,0.1111111111111111,C2,C2,C2
complex,no_discretization,pollution,0,0.3752167327283018,0.3386574989767744,350242567857897.4,0.6891725955900045,0.6220230795379945,3502425678578.9736,0.4821035537374044,0.1048603747744438,0.1260388773704555,0.0828359325000419,41851187054023.03,0.2784237469279181,0.1829871162620814,418511870540.2303,0.5018128359329206,0.5732636247897804,12,0.4166666666666667,3.5833333333333335,48.0,4.0,0.4595502678941292,0.7545875420875422,0.1311728395061728,9.003078524,5.645014306,3.341508865,0.1666666666666666,0.1666666666666666,C2,C2,C2
complex,no_discretization,pollution,0,0.3141575999445311,0.2836721870160534,344001206560769.06,0.6189585319610454,0.5588956640381672,3440012065607.6904,0.4583016720271198,0.2427708769710416,0.1312811575864585,0.0893070531516486,20960513489509.465,0.2825297959951337,0.1921974483752151,209605134895.09464,0.4256675237188414,0.5189863343999788,12,0.25,2.9166666666666665,38.0,3.1666666666666665,0.4551863085701166,0.7638262322472849,0.140432098765432,9.778833175,6.534441293,3.227301403,0.1666666666666666,0.0833333333333333,C2,C2,C2
complex,no_discretization,pollution,0,0.5158286396163249,0.4813975375240267,124503435543622.05,0.6514615136461611,0.6079770380609397,1245034355436.2205,0.6709730296595195,-1.0992968528773432,0.1598740336107723,0.1098721608733299,17886023140592.848,0.3946584765699018,0.2712259060985488,178860231405.92847,0.6944006745176092,0.4305121378008193,11,0.36363636363636365,3.1818181818181817,39.0,3.5454545454545454,0.4311449965824422,0.7593359502450412,0.1548821548821548,14.504960784,10.525019524,3.963158994,0.0,0.0,C2,C2,C2
complex,no_discretization,pollution,0,0.2561707839940003,0.220132879936425,301419357797236.94,0.591741446762507,0.5084957262598228,3014193577972.369,0.4015712533130643,0.3355156841576132,0.1218791841773486,0.0857287397339823,12668445061422.184,0.2661481572418064,0.1872062588609147,126684450614.22185,0.3952323500494693,0.5884303036489159,13,0.0,3.3846153846153846,44.0,3.3846153846153846,0.4781984370300138,0.811965811965812,0.1239316239316239,15.258941151,11.29491349,3.946393453,0.0,0.0,C2,C2,C2
complex,no_discretization,pollution,0,0.291126371623745,0.2617290215085986,312315556443812.25,0.6035035130009374,0.5425629531730612,3123155564438.1226,0.4313379003606159,0.3059688975748073,0.1400083959251978,0.0912995817057844,20960513489509.44,0.2974416202732158,0.1939619073083598,209605134895.0944,0.5999168793789522,0.4385957317423578,14,0.07142857142857142,3.2857142857142856,47.0,3.357142857142857,0.4778278361269009,0.78843537414966,0.1349206349206349,14.319574244,9.697517766,4.603588779999999,0.2857142857142857,0.2857142857142857,C2,C2,C2
complex,no_discretization,pollution,0,0.3433192363560082,0.3205365292542056,250860239865610.62,1.3009175854857054,1.21458853317775,2508602398656.1064,0.532629405588332,0.0061973928725427,0.1348684020494612,0.0956132358906488,21018548568164.75,0.2547378625147532,0.1805931631782098,210185485681.6475,0.3589229957655515,0.5989386215186204,11,0.18181818181818182,2.8181818181818183,33.0,3.0,0.480348785650841,0.7878954378954379,0.1397306397306397,9.388169887,6.0946457160000005,3.276529581,0.2727272727272727,0.1818181818181818,C2,C2,C2
complex,no_discretization,pollution,0,0.2825572191970714,0.2438581370580398,282779528309636.5,0.5485391982222583,0.4734111815012412,2827795283096.365,0.4786165999323866,0.2058424025280851,0.1501049286767046,0.110058190373354,17301936085296.17,0.3249831656838705,0.2382803778149458,173019360852.9617,0.4786165999323866,0.4120702293405685,9,0.0,2.7777777777777777,25.0,2.7777777777777777,0.4382537230745016,0.7521692407657319,0.205761316872428,6.761726538,4.419371506999999,2.3260496590000006,0.0,0.0,C2,C2,C2
