model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,pollution,1.7,0.3717500579907328,0.3444597833044824,239353428682180.62,0.6815435595042463,0.631511258097102,2393534286821.806,0.6006030732304126,0.0648484067291587,0.1506196044114648,0.1004662224811048,41370843569886.76,0.3196461549922643,0.2132102381238105,413708435698.8676,0.5739724727414106,0.4090004476583259,10,1.3,0.1,31.0,3.1,0.4523298661245059,0.7788278388278388,0.1629629629629629,1.6785061359405518,0.5194682389999999,1.056459506,0.1,0.1,C2,C2,C2
exact_M-of-N,no_discretization,pollution,1.9230769230769231,0.3809379135224624,0.3420302960271064,317033334305899.2,0.6609595366927594,0.5934515257527216,3170333343058.992,0.5257382000618915,0.0852410970232616,0.1111848133190073,0.0794992878617803,21611059457523.88,0.2352369949072724,0.1681989924308879,216110594575.2388,0.3475806626698466,0.6659354416576638,13,1.1538461538461537,0.15384615384615385,42.0,3.230769230769231,0.4062875042293604,0.6901972386587771,0.121082621082621,1.723966121673584,0.7606729579999999,0.7505763289999999,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pollution,0.75,0.478559808183967,0.4185871770496257,361891867347138.8,0.8077962225950276,0.7065640170045773,3618918673471.388,0.677378355706859,-0.6738841113952618,0.1236625766768117,0.0893956090175809,26118838616405.824,0.2675607085734036,0.1934194898316393,261188386164.05823,0.3307806688171125,0.5910442835161821,16,2.5625,0.0,53.0,3.3125,0.4294630716080488,0.7601774961149962,0.1423611111111111,0.5391511917114258,0.360514794,0.093763846,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.0,0.4303421144502022,0.3854853430533049,421895567696976.94,0.7904231505104363,0.708033281197832,4218955676969.7695,0.6744556064548742,-0.1774814837705576,0.1407797686084042,0.0946278566848038,41851187054023.07,0.3109868279165197,0.2090358385571987,418511870540.2307,0.5020859016601746,0.4676085092710585,9,1.4444444444444444,0.0,31.0,3.4444444444444446,0.4347203788643453,0.7970276999688763,0.1728395061728395,1.0291023254394531,0.488484751,0.35411164,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.25,0.3251601371893916,0.2671699057770658,423069313645774.06,0.6406359139569864,0.5263825948923132,4230693136457.7407,0.56364155162628,0.1888022003542345,0.1285049259286642,0.0907120000356031,12668445061422.16,0.2765550759489968,0.1952210304627379,126684450614.2216,0.4211322004252639,0.5391154273228748,12,1.0,0.25,42.0,3.5,0.4297853920795418,0.7690874076903489,0.1373456790123457,1.1225829124450684,0.5776939889999999,0.428287567,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.142857142857143,0.4964548479009642,0.4524936648736864,124503435543622.02,0.626993543652595,0.5714731311800961,1245034355436.2202,0.7601181648701646,-0.9445649981331146,0.1502635208170355,0.0966271763937646,13833715060402.76,0.3709343591971845,0.2385298811166343,138337150604.0276,0.6035273953668381,0.4969215332458201,14,1.3571428571428572,0.14285714285714285,51.0,3.642857142857143,0.3906834059733855,0.7231292517006802,0.0965608465608465,0.8863763809204102,0.47634187,0.258664927,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.4166666666666665,0.2585721862629005,0.1717553199272366,372337592128978.8,0.597288563536335,0.3967460298098655,3723375921289.788,0.4960533212580991,0.3229992424638799,0.1315782360743226,0.0920137387467984,23320229726316.83,0.2873280232443231,0.2009308412563265,233202297263.16827,0.492253964512457,0.520319091912435,12,0.9166666666666666,0.25,43.0,3.5833333333333335,0.4143093957565613,0.7374278499278498,0.1219135802469135,2.1525144577026367,0.841150825,1.1276977819999998,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.0,0.3331487570867976,0.2944923663786977,261290950861867.5,0.6906157079909817,0.6104812033009496,2612909508618.675,0.4758565205481132,0.091149955710181,0.1256184175840846,0.0879027755711651,12668445061422.154,0.2668707502536495,0.1867455435056136,126684450614.22154,0.3833056342502823,0.5480668622450012,13,1.0769230769230769,0.07692307692307693,41.0,3.1538461538461537,0.4701364318128017,0.757808857808858,0.1239316239316239,3.971947431564331,1.215779609,2.586807624,0.1538461538461538,0.0769230769230769,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.727272727272727,0.4694329681501686,0.4289855423572509,189166937113484.75,1.778792269128901,1.625527430082506,1891669371134.8477,0.7479790131025534,-0.8580227593335639,0.1659222705483865,0.1044011349292242,56943839654632.95,0.3133920466232694,0.1971916442387415,569438396546.3295,0.682779908467472,0.3929844974523332,11,1.0909090909090908,0.0,42.0,3.8181818181818183,0.4648259147923452,0.7878000787091696,0.1397306397306397,0.6647293567657471,0.327820789,0.243697512,0.3636363636363636,0.0909090909090909,C2,C2,C2
exact_M-of-N,no_discretization,pollution,2.8181818181818183,0.2136777540024783,0.1837130662849988,294862518550530.6,0.4148208429836756,0.3566492421226742,2948625185505.306,0.3928357886325134,0.5458362160218284,0.1508817867695359,0.1099258373116038,28141868443778.12,0.3266650944820861,0.2379938281501565,281418684437.7812,0.4566578687004338,0.405968898584956,11,0.5454545454545454,0.18181818181818182,39.0,3.5454545454545454,0.3481481165326767,0.7147667147667147,0.132996632996633,1.0551211833953855,0.4327502439999999,0.5491304969999999,0.0909090909090909,0.0909090909090909,C2,C2,C2
