model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,pollution,0,0.4148996911828917,0.3669466261469731,159354272091180.47,0.76065142772096,0.6727372447068088,1593542720911.8047,0.7764159816202384,-0.1648396666810037,0.1367615161231299,0.0903093373932946,18646905590020.457,0.2902364068109551,0.1916552136122093,186469055900.20456,0.4763431889164237,0.5127498740619685,18,3.611111111111111,0.0,65.0,3.611111111111111,0.4070918950191982,0.7169312169312172,0.0946502057613168,1.119888159,0.921993312,0.193107605,0.0555555555555555,0.0555555555555555,C2,C2,C2
plain,no_discretization,pollution,0,0.4063121134429345,0.3670100833696852,322234429937144.3,0.7049859221693412,0.6367935720089312,3222344299371.4434,0.5271829138485639,-0.0406813889535184,0.1419496293311069,0.111314399175763,18391180248838.508,0.3003270252048207,0.2355111635335057,183911802488.38507,0.3326053277755326,0.4554873345407305,8,2.125,0.0,17.0,2.125,0.3463505746672149,0.6248998397435898,0.2106481481481481,0.259322448,0.219701043,0.035041288,0.25,0.25,C2,C2,C2
plain,no_discretization,pollution,0,0.2819432071076135,0.2583402817364978,264046132428319.9,0.4759126315938038,0.4360715215989375,2640461324283.199,0.380362834057085,0.4189998896332869,0.10668382145692,0.067899560267714,18391180248838.41,0.2308248754749135,0.1469098812693484,183911802488.38416,0.3993666704918693,0.6956335153807742,17,3.3529411764705883,0.0,57.0,3.3529411764705883,0.4492707888006744,0.7203739071386129,0.0991285403050109,1.221557204,1.022659185,0.194044791,0.2941176470588235,0.1764705882352941,C2,C2,C2
plain,no_discretization,pollution,0,0.4316727929226283,0.4153298348323764,381114142703449.2,0.7928672502979628,0.7628496155171779,3811141427034.492,0.5487263625733894,-0.1847746194819794,0.1140628663705449,0.0735970188531649,18391180248838.39,0.2519683712104358,0.1625780725703773,183911802488.3839,0.2978602643111689,0.6505064431957293,18,3.7222222222222223,0.0,67.0,3.7222222222222223,0.4692373896493005,0.7456088664421998,0.1018518518518518,1.186248822,0.973284075,0.208018286,0.3888888888888889,0.2222222222222222,C2,C2,C2
plain,no_discretization,pollution,0,0.2859283430951166,0.2524279104366853,376529179988543.75,0.5633407802945255,0.4973376703204754,3765291799885.4375,0.5016376380798127,0.3727414598374073,0.126793786176752,0.0852245334449221,18391180248838.45,0.2728725370842056,0.1834114696323942,183911802488.3845,0.4256675237188414,0.5513077577595384,19,3.6842105263157894,0.0,70.0,3.6842105263157894,0.4253222388195102,0.7036819991154356,0.1081871345029239,1.395471905,1.146381542,0.24413052,0.1578947368421052,0.1578947368421052,C2,C2,C2
plain,no_discretization,pollution,0,0.5589012481315646,0.532425630657101,195825369433429.1,0.7058597082886646,0.672422546196502,1958253694334.291,0.6999641122728669,-1.464524337914512,0.1482449167318813,0.0966976670302979,24800568582497.32,0.3659513160159243,0.2387038914083518,248005685824.9732,0.5837790954829442,0.5103472155651043,21,3.4761904761904763,0.0,73.0,3.4761904761904763,0.4571224845060474,0.7249701434575386,0.1084656084656084,1.47267241,1.1595777480000002,0.307867834,0.3333333333333333,0.0476190476190476,C2,C2,C2
plain,no_discretization,pollution,0,0.2958604679591352,0.2526009239963513,372337592128979.1,0.6834225926172414,0.5834952522245775,3723375921289.791,0.4960533212580991,0.1136618976421399,0.123939536833967,0.0861447370853518,18391180248838.477,0.2706473591894445,0.1881146742661522,183911802488.38477,0.3936071558170478,0.5743976169169516,21,3.7142857142857144,0.0,78.0,3.7142857142857144,0.437754279047501,0.7412887377173093,0.1181657848324514,1.496700667,1.224629044,0.26717139,0.0,0.0,C2,C2,C2
plain,no_discretization,pollution,0,0.2932328599696521,0.2584852940591137,311207364608416.2,0.607870252811419,0.5358387223860555,3112073646084.162,0.414611497945415,0.2958890304281842,0.1104885105073533,0.072571139335307,19870463785513.72,0.2347279344907255,0.1541741631016155,198704637855.1372,0.309481643679266,0.6503755564861458,18,3.2222222222222223,0.0,58.0,3.2222222222222223,0.431168295117407,0.7257716049382715,0.1039094650205761,1.585544515,1.27370225,0.306306347,0.0555555555555555,0.0555555555555555,C2,C2,C2
plain,no_discretization,pollution,0,0.4576046967802238,0.4439728140319006,389273590882655.25,1.7339721582770231,1.6823177383884056,3892735908826.5527,0.5457774332301346,-0.7655694384620009,0.1552466673009402,0.1147708885146848,21135671699665.125,0.293228091901594,0.2167779136912126,211356716996.65125,0.4008825332553929,0.4685835545627512,11,2.727272727272727,0.0,30.0,2.727272727272727,0.3853639978887974,0.6777384231929685,0.1329966329966329,0.524284605,0.464251181,0.0556313769999999,0.0,0.0,C2,C2,C2
plain,no_discretization,pollution,0,0.3376596550235383,0.2757383250395745,364891829188649.75,0.6555116764135247,0.5353014167047846,3648918291886.4976,0.5487263625733894,-0.1341022819902317,0.1301709974551535,0.0888615178479125,18391180248838.426,0.2818254084402231,0.1923887352152624,183911802488.38425,0.405969797440009,0.5578557185976714,19,3.6315789473684212,0.0,69.0,3.6315789473684212,0.4237478668095247,0.7186957779063042,0.1042884990253411,1.595930666,1.276960485,0.313886214,0.1052631578947368,0.1052631578947368,C2,C2,C2
