model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,pwlinear,2.2954545454545454,0.3027725677233156,0.2588350324275227,91921931612946.7,0.8594479068214101,0.734727153469114,919219316129.467,0.6118407632612108,-0.3565002359046918,0.1190602579859218,0.0800073581454301,11486183561494.598,0.255616810726417,0.1717720595414743,114861835614.94598,0.4590801163815113,0.6437202114906688,44,1.1818181818181819,1.1136363636363635,202.0,4.590909090909091,0.3925578437999915,0.7859530559860474,0.0380050505050505,27.06116414070129,5.994904535,20.923637431000003,0.0227272727272727,0.0227272727272727,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,3.8974358974358974,0.2690730784840871,0.1929779561622904,150447760477661.2,0.5209125096740586,0.3735960209122674,1504477604776.6118,0.6681222707423582,-0.0283859010810787,0.1357998642587145,0.0910402105490987,7873373091183.312,0.2954383493294036,0.1980618292517998,78733730911.83313,0.6004366812227073,0.510412072572242,39,0.6153846153846154,0.6153846153846154,200.0,5.128205128205129,0.4036453196793387,0.8064639064639066,0.0417378917378917,52.615740060806274,10.815403230999998,41.626636647000005,0.0512820512820512,0.0256410256410256,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,0.047619047619047616,0.2341143473747555,0.1674530364637845,133227857560527.23,0.4536366592472901,0.3244689481616833,1332278575605.2725,0.5916505399407112,0.2194460518279019,0.1117452277592866,0.0722867453375029,10018924935222.824,0.2489642989772444,0.1610522367636624,100189249352.22824,0.4192139737991266,0.6782467549731261,42,3.642857142857143,1.2380952380952381,207.0,4.928571428571429,0.4071994871195852,0.7840693037121611,0.0359788359788359,9.019986629486084,6.605350493,2.2181011589999997,0.0238095238095238,0.0238095238095238,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,3.0303030303030303,0.2757619884062061,0.219818250506318,100032380986808.69,0.6350781081650032,0.5062400350336009,1000323809868.0868,0.5836061061979377,0.081348576451472,0.1224469293858036,0.0854372931049486,3736611044543.492,0.268358638087337,0.1872471260367177,37366110445.43491,0.5200873362445415,0.5816979459842063,33,0.8181818181818182,0.8181818181818182,154.0,4.666666666666667,0.4021399899025852,0.8148387851737133,0.0503367003367003,42.90687298774719,8.649243043999999,34.10176526,0.0606060606060606,0.0606060606060606,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,2.710526315789474,0.2039883261218208,0.1765182512926384,31171202661058.277,0.3858328132525466,0.3338746622489846,311712026610.5828,0.3658393009590852,0.366606298252139,0.118644136815337,0.0777760893461219,8709617485546.77,0.2588284247268133,0.1696726296572149,87096174855.46771,0.5965065502183406,0.6304672103490527,38,0.7894736842105263,1.0,171.0,4.5,0.395991495982449,0.7869799089226337,0.0387426900584795,21.76886296272278,6.222199515999999,15.318797972000004,0.3157894736842105,0.0526315789473684,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,4.533333333333333,0.2696377991058726,0.2106189844310581,94211103316049.84,0.500811470725652,0.3911929399566297,942111033160.4984,0.6554153116475292,-0.1455723843615795,0.126340404632647,0.0826606446900006,4873579843672.194,0.2935596159135397,0.1920670364870096,48735798436.72195,0.5139460448102424,0.6047940425808322,45,0.6444444444444445,0.2222222222222222,243.0,5.4,0.4087498539740899,0.7921200223161007,0.0349382716049382,217.6452875137329,32.113378037000004,185.292163879,0.3777777777777777,0.0444444444444444,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,0.23255813953488372,0.2770707646134036,0.2535136103308947,61593965080767.17,0.8256598584471626,0.7554604756380341,615939650807.6716,0.5400726436271293,-0.5059873105538941,0.1400852253414506,0.0926301467200235,11351111712002.016,0.2854918267642479,0.188779007465499,113511117120.02016,0.6029822926374651,0.5470967094446096,43,3.2790697674418605,1.3953488372093024,211.0,4.906976744186046,0.3922509270126466,0.7865245219896382,0.0372093023255813,11.7370502948761,7.940131100999999,3.540204402999999,0.1860465116279069,0.0697674418604651,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,3.261904761904762,0.2988020560639403,0.2490500470434878,127814943394222.78,0.5737054574190672,0.4781806826949992,1278149433942.2278,0.5676123721897062,-0.0426368932835614,0.1342987651114374,0.0901016719496641,12152043775246.348,0.2965075039043091,0.1989282762595155,121520437752.46349,0.5288209606986899,0.5123240920458023,42,1.0952380952380953,0.4523809523809524,202.0,4.809523809523809,0.3930888287238804,0.7905652804270316,0.0394179894179894,174.1803412437439,25.822505249,148.13489116699998,0.238095238095238,0.0952380952380952,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,4.111111111111111,0.3098714298863796,0.2341725686765882,31171202661058.16,0.5332138226579407,0.402954381923679,311712026610.58154,0.7004366812227074,-0.1574979566885852,0.1259800218291726,0.0815948240684916,10969466341290.836,0.275843749159305,0.1786586623517688,109694663412.90836,0.6192139737991267,0.5870272165490618,45,0.4,0.35555555555555557,219.0,4.866666666666666,0.3630355991931503,0.7530964569199865,0.0341975308641975,206.86129474639893,37.488820508,169.13991361599997,0.2222222222222222,0.0666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,pwlinear,3.5294117647058822,0.2541495799836227,0.1907264976245319,105706759812735.92,0.4896881786124654,0.3674863882950747,1057067598127.3593,0.5497816593886462,0.1153944598712479,0.150599355900709,0.1036289380121628,13165544762206.666,0.3282277320241965,0.2258568178620485,131655447622.06668,0.5624454148471616,0.4218119695057091,34,0.6470588235294118,0.5,159.0,4.676470588235294,0.4061399697860863,0.7977110821366437,0.0545751633986927,80.3826847076416,14.184476067000002,66.00634196700001,0.3235294117647059,0.0588235294117647,C2,C2,C2
