model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,pwlinear,0,0.2413797508235645,0.1997898337021702,105706759812738.28,0.685178723932362,0.5671219016659448,1057067598127.3828,0.4694323144104804,0.1378387590841415,0.104461210686326,0.0726449052614291,11592234848714.676,0.2242733383243325,0.1559652172150083,115922348487.14676,0.4633187772925765,0.725736725313304,46,0.021739130434782608,3.4782608695652173,161.0,3.5,0.3779391710213975,0.7482502393196647,0.0361111111111111,1.988633455,1.816693711,0.1623888,0.1304347826086956,0.0434782608695652,C2,C2,C2
complex,no_discretization,pwlinear,0,0.230330541827635,0.1787958981216433,77744359716569.5,0.4459088262340402,0.346140240170778,777443597165.695,0.5179416835508348,0.2464385427766049,0.121129993721035,0.0863113736391655,8574192840188.232,0.2635234254067168,0.1877740445139813,85741928401.88232,0.551528384279476,0.6104749267574164,37,0.0,3.810810810810811,141.0,3.810810810810811,0.3940627859497176,0.7637380804260601,0.0442942942942942,1.567756154,1.4223088979999996,0.131226305,0.1891891891891892,0.1351351351351351,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2555682601217269,0.2192470051132889,81220909895996.22,0.4952072909298504,0.4248286363687015,812209098959.9622,0.4956266847018504,0.0698334916828535,0.1207803915409919,0.0786787949649322,8576724181188.608,0.2690943149265825,0.1752934906089609,85767241811.88608,0.4554585152838427,0.6241125447900088,41,0.024390243902439025,3.6341463414634148,150.0,3.658536585365854,0.3893528846798616,0.7561829092316898,0.0359078590785907,1.827459623,1.6745621719999997,0.142199561,0.0,0.0,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2675039009228954,0.2025005660633586,65220055840734.89,0.6160597851311675,0.4663575177316417,652200558407.3489,0.6091703056768558,0.13554540395348,0.110781209011552,0.0753816173493755,8543946891324.201,0.2427916692164554,0.1652087828593972,85439468913.242,0.3698689956331877,0.6576057989463817,42,0.023809523809523808,3.619047619047619,153.0,3.642857142857143,0.3855731748356156,0.7642668178382466,0.0379629629629629,1.783057015,1.6136965499999996,0.151186525,0.2142857142857142,0.0476190476190476,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2422648929387998,0.2134929429510821,100200175115514.4,0.4582308555200461,0.4038102785312771,1002001751155.144,0.4449781659388647,0.1066038417644303,0.1202799295059004,0.0830969635693466,10200223970464.518,0.2623969925182174,0.1812803966344428,102002239704.64516,0.4167851926291506,0.620207181561617,39,0.0,3.58974358974359,140.0,3.58974358974359,0.3764234718459088,0.7583825006901933,0.0371794871794871,2.199451114,2.020716624,0.168657365,0.2564102564102564,0.1025641025641025,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2377155367079755,0.1816249278360418,92415236655729.16,0.4415206916383188,0.3373408607088257,924152366557.2916,0.587911075924139,0.1096185088035115,0.1210333848538501,0.0791849762418426,7759250258580.807,0.281228432612053,0.1839911094100717,77592502585.80806,0.4236068610288789,0.6372985316517146,49,0.02040816326530612,3.836734693877551,189.0,3.857142857142857,0.3626830467007742,0.7382815030774215,0.0315192743764172,2.274714184,2.068534538,0.194522713,0.1020408163265306,0.0408163265306122,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2757416501253649,0.2300802235266563,108182926743220.52,0.8216991501364704,0.6856299149914737,1081829267432.2052,0.5924916834442417,-0.4915734576468182,0.1185354598054476,0.0776392871189741,10663308164129.58,0.2415736911134764,0.1582278349072351,106633081641.2958,0.5549860205032616,0.6757220735611464,44,0.022727272727272728,3.9545454545454546,175.0,3.977272727272727,0.3896412942625247,0.7622549104935469,0.0359848484848484,1.937977941,1.767015518,0.1592732739999999,0.1590909090909091,0.0909090909090909,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2837145308645878,0.2479334700735286,70730314663614.28,0.5447371308290924,0.4760368343234974,707303146636.1428,0.6212972525254642,0.0599973370449067,0.1098937309258438,0.070285044018759,6531442000519.273,0.2426255805443644,0.1551767281442554,65314420005.19273,0.5200873362445415,0.6734624734679785,49,0.0,3.816326530612245,187.0,3.816326530612245,0.3819519707489319,0.767802718823127,0.0319727891156462,2.413961322,2.2147304949999995,0.183747964,0.0,0.0,C2,C2,C2
complex,no_discretization,pwlinear,0,0.3051498268604927,0.2522731620092064,39234415967704.11,0.5250890852485267,0.4341011274200325,392344159677.0411,0.543836718158909,-0.1224924186209748,0.1057962464938639,0.072417174687315,10139108331392.326,0.2316496921981924,0.1585634347353921,101391083313.92326,0.4358078602620088,0.7087549237784205,45,0.044444444444444446,3.688888888888889,168.0,3.7333333333333334,0.3855141118282565,0.7425711978653157,0.0335802469135802,2.161562963,1.968217372,0.180320159,0.3111111111111111,0.0444444444444444,C2,C2,C2
complex,no_discretization,pwlinear,0,0.2097663415062107,0.1686133389202999,57693928554166.11,0.4041718176870327,0.3248793833575039,576939285541.6611,0.5109978445200967,0.3973814862898922,0.1157239794320432,0.0810563178473052,6642442579802.961,0.2522176743892402,0.1766603264279177,66424425798.02961,0.4100436681222708,0.6585952283249126,39,0.0,3.8205128205128207,149.0,3.8205128205128207,0.376759329296165,0.7504930709848744,0.038034188034188,1.776593847,1.5777129690000005,0.185908443,0.0512820512820512,0.0512820512820512,C2,C2,C2
