model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,pwlinear,2.6875,0.2961918234866411,0.2521763529830387,105706759812740.0,0.84076785630671,0.7158258766665663,1057067598127.4,0.5318849207141917,-0.2981741488322635,0.1315369234682009,0.091471014065567,9444638538233.469,0.2824036285364175,0.1963839931550979,94446385382.33469,0.4558951965065503,0.5651365499549371,48,1.2291666666666667,0.7291666666666666,223.0,4.645833333333333,0.373912109874524,0.7787307253819405,0.0357638888888889,27.151437997817997,6.170634343,20.843977863,0.0416666666666666,0.0416666666666666,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,4.5,0.2109799419101277,0.1732736340266635,29302897138786.656,0.4084469975608924,0.335449403075498,293028971387.8666,0.4165731611332194,0.3677367263077583,0.1297505563173024,0.0911911995258157,5823431832577.821,0.2822778240037581,0.1983903121578152,58234318325.77821,0.4331877729257641,0.5530587022517096,46,0.2608695652173913,0.2391304347826087,230.0,5.0,0.3788130391057959,0.7773063511621866,0.0369565217391304,70.52729058265686,12.823154253999997,57.53399205000001,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,0.023809523809523808,0.2663750805859947,0.2101256176234419,140807059225273.9,0.5161473571302712,0.4071543853243148,1408070592252.739,0.6344847598106983,-0.010494731916296,0.1272918371421671,0.0898623822962049,10128182568104.293,0.2836015786543646,0.2002101160059654,101281825681.04292,0.4048034934497816,0.5824907761666074,42,3.4285714285714284,1.5714285714285714,211.0,5.023809523809524,0.4003447192373562,0.7836955714418766,0.0424603174603174,7.619481086730957,5.388082587,1.98638059,0.0238095238095238,0.0238095238095238,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,3.3617021276595747,0.2896956155179487,0.2167697839896211,77190517630696.08,0.6671671629224969,0.4992194360039172,771905176306.9608,0.7214296735035968,-0.0138315288499497,0.1344576860032359,0.0858867832212422,10165401962632.486,0.2946817995126189,0.188232243066988,101654019626.32486,0.5890829694323145,0.4956111641702653,47,1.0638297872340425,0.44680851063829785,229.0,4.872340425531915,0.393651916160548,0.7644960240704919,0.0333333333333333,68.11475920677185,13.180009165,54.768691992,0.2765957446808511,0.0638297872340425,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,3.3636363636363638,0.2059179814055325,0.1732819493761406,38841088489331.016,0.3894826511666903,0.3277533733658587,388410884893.3102,0.4140134512050673,0.3545662716577787,0.1170694640067258,0.0788835097867326,5621069207383.997,0.2553931931725786,0.1720885255948261,56210692073.83997,0.5008733624454149,0.6402111680282607,44,1.0454545454545454,0.7272727272727273,226.0,5.136363636363637,0.4006633454500016,0.7751984757666573,0.0359848484848484,25.41852879524231,7.06287786,18.218926393,0.2727272727272727,0.0454545454545454,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,4.434782608695652,0.2513366132716189,0.2038706522270613,63742917715488.33,0.4668197832691122,0.3786589325317214,637429177154.8833,0.5582990397805212,0.0046575968980986,0.1317686945211491,0.0922183826862206,4777402160335.6455,0.3061725776922315,0.214275022153438,47774021603.35645,0.4476451760402378,0.5701039624471389,46,0.2391304347826087,0.21739130434782608,225.0,4.891304347826087,0.3618159246606359,0.7664570587053422,0.0370772946859903,192.43492245674133,28.893957123,163.29305643899997,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,0.5454545454545454,0.2639072723882977,0.1984434688649843,82789844035306.6,0.7864331751757747,0.5913536444072044,827898440353.0659,0.7240311386693682,-0.3662891585628838,0.1179063128835355,0.0749654528004535,10643463769019.13,0.2402914980513461,0.1527785961156441,106434637690.19131,0.4631873252562907,0.679155257663622,44,3.25,1.0,211.0,4.795454545454546,0.4072029162328807,0.7850947663447664,0.0318181818181818,11.36027717590332,7.193193629999997,3.878876492,0.25,0.0909090909090909,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,4.51063829787234,0.3107852874858341,0.2565041784648132,98823528941209.05,0.5967134827145324,0.4924927524747942,988235289412.0905,0.5672489082969432,-0.1279421537039755,0.1241131339222735,0.0810685391744851,8543946891324.201,0.2740194633249124,0.1789847447655209,85439468913.242,0.4764192139737991,0.5834925764129777,47,0.44680851063829785,0.1276595744680851,239.0,5.085106382978723,0.3880038275619966,0.7711895374129416,0.0358156028368794,212.4468958377838,28.945389867,183.266277658,0.1914893617021276,0.0851063829787234,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,4.288888888888889,0.3499511177431247,0.2945888870887201,40807725881196.06,0.602181276614145,0.5069162608980149,408077258811.96063,0.5910247747426687,-0.4762908589563852,0.1334193765676654,0.0913274881823575,9997073408646.584,0.2921328358938231,0.1999691409458861,99970734086.46584,0.5323990800590073,0.5368135071368982,45,0.3333333333333333,0.26666666666666666,220.0,4.888888888888889,0.3696393997043434,0.7759358542691877,0.0358024691358024,198.35952806472775,35.34241208299999,162.77206086000004,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,pwlinear,4.304347826086956,0.2764156325320687,0.2212302454793808,101380157550633.4,0.5325897750583086,0.4262601416448044,1013801575506.334,0.606029831388825,-0.0463959828011706,0.1238764960542361,0.082163070702198,10841419419986.637,0.2699858914256807,0.1790724680821773,108414194199.86636,0.5074235807860263,0.6087983364749162,46,0.32608695652173914,0.1956521739130435,222.0,4.826086956521739,0.3822962060650834,0.7705818590257951,0.0367149758454106,99.93493103981018,20.932157225,78.809458187,0.108695652173913,0.0652173913043478,C2,C2,C2
