model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,pwlinear,0,0.2263717286836715,0.1868929510956863,97938542114871.98,0.6425770664881261,0.530512908836736,979385421148.7198,0.5526833769796966,0.2417172082371028,0.0955201661464606,0.0574912231165675,7571553958679.828,0.2050773334734655,0.1234309697158185,75715539586.79828,0.4449781659388647,0.7706769624482672,46,4.6521739130434785,0.0,214.0,4.6521739130434785,0.4872887019080354,0.8160973084886131,0.0400966183574879,0.172959903,0.141169519,0.026826335,0.9130434782608696,0.3043478260869565,C2,C2,C2
plain,no_discretization,pwlinear,0,0.1901502072075117,0.1491792605889625,51458441046134.63,0.3681216352432861,0.2888038575338653,514584410461.3463,0.4066078390230667,0.486418673311599,0.0899797119868189,0.0598812206230397,6004352356633.377,0.1957546697681256,0.1302741285734786,60043523566.33377,0.3515283842794761,0.7850580295420736,48,4.8125,0.0,231.0,4.8125,0.4398114889967393,0.7805515801815143,0.040625,0.172045886,0.1399062839999999,0.026262148,0.5416666666666666,0.1458333333333333,C2,C2,C2
plain,no_discretization,pwlinear,0,0.1674565688072067,0.1482266361860734,38841088489331.016,0.3244757926822661,0.2872145035318088,388410884893.3102,0.3920070114958005,0.6006522498878963,0.0918759647011677,0.0584106727128761,6702182256142.141,0.2046963042928098,0.1301368521622788,67021822561.42141,0.3938864628820961,0.7824952278302436,43,4.72093023255814,0.0,203.0,4.72093023255814,0.456218182134199,0.7947397813489336,0.0397932816537467,0.165259091,0.133371571,0.02679914,0.7906976744186046,0.1395348837209302,C2,C2,C2
plain,no_discretization,pwlinear,0,0.2172827613038665,0.1761263903171431,72370394446944.97,0.500400819501133,0.4056179584685097,723703944469.4497,0.4645524440518926,0.4296617587037353,0.1024558666892608,0.0688234208551174,7189152243595.037,0.2245455805768497,0.1508356279886612,71891522435.95038,0.4441048034934498,0.707134737135064,45,4.533333333333333,0.0,204.0,4.533333333333333,0.4380984444286423,0.7986219644552978,0.0398765432098765,0.291363249,0.2417343669999999,0.042239728,0.5111111111111111,0.1555555555555555,C2,C2,C2
plain,no_discretization,pwlinear,0,0.1685597560654727,0.1369621527795746,100200175115514.14,0.3188216018061016,0.2590564554390721,1002001751155.1414,0.4449781659388647,0.5675151484153681,0.0879632271960356,0.0616560090772821,6413423050137.215,0.1918964066844098,0.1345058266912363,64134230501.37215,0.2751091703056768,0.796875304486423,46,4.934782608695652,0.0,227.0,4.934782608695652,0.4537038907291065,0.7974794529142357,0.0388888888888888,0.172159054,0.138184952,0.028982928,0.6521739130434783,0.1521739130434782,C2,C2,C2
plain,no_discretization,pwlinear,0,0.1723592142926484,0.1240722544747958,17915554073216.18,0.3201311978114979,0.2304454659021008,179155540732.1618,0.4934423029873189,0.5319093136992524,0.0899971181011499,0.0631469424800838,8019670118342.886,0.2091137787623653,0.146725762312286,80196701183.42886,0.3575674439871971,0.799462239386131,41,4.634146341463414,0.0,190.0,4.634146341463414,0.4614222959313255,0.8024392214671984,0.0432249322493224,0.16261534,0.132765825,0.024928685,0.6829268292682927,0.2195121951219512,C2,C2,C2
plain,no_discretization,pwlinear,0,0.216233139486803,0.1764231575440237,61069314611595.086,0.6443661553010437,0.525733992497718,610693146115.9508,0.5195712954333644,0.0827569835795035,0.0956862813828431,0.0679852496339877,7972160323553.77,0.1950073692759557,0.1385530348666075,79721603235.5377,0.3186315340996422,0.7886899444854244,35,4.4,0.0,154.0,4.4,0.4625370281982445,0.7962308472291448,0.0519047619047619,0.130947101,0.107762155,0.0185946209999999,0.6857142857142857,0.4,C2,C2,C2
plain,no_discretization,pwlinear,0,0.2256940835521847,0.1918330069380846,67947321888930.89,0.4333368021181742,0.3683229106359906,679473218889.309,0.4789024780217762,0.4051516325987463,0.0949072944492274,0.0701050720719926,7549702432103.636,0.2095382258809402,0.1547793824749616,75497024321.03636,0.3393013100436681,0.7564509451056662,25,4.12,0.0,103.0,4.12,0.4875863193608494,0.7808620268620271,0.0673333333333333,0.10801628,0.08788068,0.015419618,0.84,0.64,C2,C2,C2
plain,no_discretization,pwlinear,0,0.2261480453030707,0.1817083042135479,53885864537097.04,0.389146117042434,0.3126760654698765,538858645370.9704,0.5624709001243844,0.3834861502813401,0.0838032396038521,0.0609896296589389,5987318281899.855,0.1834941720788709,0.1335418732326611,59873182818.99854,0.3283842794759826,0.8172574471695729,34,4.705882352941177,0.0,160.0,4.705882352941177,0.4668995996290279,0.7825922035480861,0.0454248366013071,0.144672377,0.1217705929999999,0.016920366,0.8529411764705882,0.4411764705882353,C2,C2,C2
plain,no_discretization,pwlinear,0,0.1802860914642891,0.1428092260325389,75617207717203.7,0.347370110798519,0.2751607529291853,756172077172.037,0.3789985296320433,0.5548613449227908,0.1183625749392866,0.0880529562618519,8401911968578.48,0.2579684308509262,0.1919093342663982,84019119685.7848,0.3430195676338043,0.6428491591282421,29,4.517241379310345,0.0,131.0,4.517241379310345,0.4279894821277334,0.7794956958750064,0.0637931034482758,0.110974978,0.0924065359999999,0.0135928679999999,0.6551724137931034,0.2068965517241379,C2,C2,C2
