model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,pyrim,2.0,0.4754707319919724,0.4358645101668864,332140472518576.2,1.2348342183674603,1.1319738009344606,3321404725185.7617,0.6401353163326751,-0.6273016260451885,0.1140326293153262,0.0746596512267058,40259451214372.695,0.1648619377303256,0.1079387088187636,402594512143.7269,0.59,0.4874979714755117,7,0.5714285714285714,0.0,18.0,2.5714285714285716,0.4576747903460827,0.7353493250044973,0.2467532467532467,2.1523749828338623,0.533600955,1.547615507,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,1.4615384615384615,0.4819851248093003,0.4588848834115513,390224523664875.8,1.4403290889242897,1.371298017354363,3902245236648.7583,0.6931780015138038,-1.566170478445931,0.1149887295370828,0.068762488990681,44268337246312.34,0.1647510289687933,0.098520010276456,442683372463.1234,0.6487499999999999,0.5102808758386858,13,1.0,0.5384615384615384,39.0,3.0,0.4476641480284981,0.7436817568396515,0.1468531468531468,1.6977708339691162,0.675596095,0.944256358,0.1538461538461538,0.1538461538461538,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,1.25,0.4212710179886423,0.3492126239560698,452351400943186.9,1.0468584797017764,0.8677933705308337,4523514009431.869,0.7030953167679971,-0.5835172149312053,0.1221813890785503,0.0762859098260988,43607615794874.85,0.1750440342824765,0.1092915501745088,436076157948.7485,0.6487499999999999,0.4371210438940721,8,1.0,0.125,19.0,2.375,0.4984299243635423,0.8201156633221849,0.2425373134328358,0.2393836975097656,0.1011862279999999,0.1107162689999999,0.625,0.25,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,2.0833333333333335,0.4619034355895438,0.3641476826438413,429450393038545.5,1.0314187826963652,0.8131326390219111,4294503930385.455,0.8277474416402838,-0.4898322224795617,0.153077627136757,0.0766489538130283,61252315827483.14,0.2188689931319402,0.1095919740817946,612523158274.8314,0.91125,0.1105165286739209,12,0.3333333333333333,0.25,32.0,2.6666666666666665,0.4708106020683397,0.7639550264550263,0.1156716417910447,0.8643360137939453,0.286471245,0.5357629620000001,0.25,0.25,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,0.0,0.4555656056196552,0.4344963317714367,437223597519294.6,0.6906164272564087,0.6586763807505894,4372235975192.946,0.6795819868255081,-1.497796377782083,0.1511478679223177,0.1097293846116781,23762295085824.336,0.3045941392488669,0.2211273497637401,237622950858.24332,0.4677060133630289,0.6218898594961919,11,2.3636363636363638,0.7272727272727273,34.0,3.090909090909091,0.4924995805864556,0.7911638025274391,0.1506105834464043,1.1948764324188232,0.691060809,0.234173215,0.4545454545454545,0.4545454545454545,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,2.6,0.3755239892294643,0.3096335483541052,355495151866194.8,0.7087515169627635,0.5843920851736536,3554951518661.948,0.6402822580645158,-0.3875945460545384,0.1210317753634822,0.0755213051526421,42221246506598.47,0.1766252380860634,0.1102104671529118,422212465065.9847,0.6187499999999999,0.4091411053851568,10,0.5,0.2,33.0,3.3,0.505253496258997,0.828909005249697,0.1984848484848484,1.2107491493225098,0.395749364,0.7627914039999999,0.5,0.3,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,1.3333333333333333,0.3281950608058787,0.2830117564969626,389239682079879.1,0.7334154930253822,0.6324446395187228,3892396820798.791,0.605,-0.2938041478182791,0.1024538396091175,0.0593321145363855,43775660557090.13,0.145791430245273,0.0844293768856098,437756605570.9013,0.6512499999999999,0.6144405183141228,12,1.0833333333333333,0.5833333333333334,36.0,3.0,0.4662272773173341,0.7701731139231139,0.1393034825870646,7.0687994956970215,1.233149418,5.750957317000001,0.6666666666666666,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,2.0,0.38908359270439,0.3344796020479333,382110744051685.2,1.0027693759495069,0.8620407236454025,3821107440516.852,0.6787650336045278,-0.7263491897279049,0.1244336465632787,0.0776773453038389,43249377010377.92,0.1765632887732421,0.1102191242386041,432493770103.7791,0.6338171948805231,0.3782381027392786,9,0.4444444444444444,0.5555555555555556,27.0,3.0,0.4415244219656529,0.7868840836582771,0.1750841750841751,3.5905728340148926,0.915050829,2.582924266,0.3333333333333333,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,2.4444444444444446,0.5175605067022205,0.4512999121381927,423173749996378.06,1.202076015566448,1.0481804410951576,4231737499963.781,0.92375,-0.7340315266685074,0.1170270889202603,0.0752278871512218,44212182835441.92,0.1685019063591563,0.1083171641139388,442121828354.4192,0.6577441369281186,0.4413223851544439,9,0.4444444444444444,0.0,26.0,2.888888888888889,0.4826150171980852,0.7717315737664575,0.2106135986733001,0.8004324436187744,0.27900245,0.481525595,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,pyrim,2.3333333333333335,0.4050384218962954,0.3512645343166442,417387179750945.3,0.8773774352357255,0.7608946696096822,4173871797509.453,0.6487499999999999,-0.519944437623697,0.1279465384506063,0.0787316985024478,44699906749274.414,0.1828051302399706,0.1124888455212902,446999067492.74414,0.665,0.3999059592479375,9,0.1111111111111111,0.1111111111111111,23.0,2.5555555555555554,0.5036677988204349,0.7900519250253293,0.1807628524046434,0.9813175201416016,0.3980319969999999,0.531705281,0.4444444444444444,0.4444444444444444,C2,C2,C2
