model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,pyrim,0,0.4559610053942456,0.4205524025487163,370393148698692.8,1.1841659513787923,1.0922070746776682,3703931486986.928,0.6579504029579133,-0.4964971226790289,0.137299228366446,0.0707685692814476,61318719409698.42,0.1984994731181607,0.1023132022140805,613187194096.9843,0.898622394505131,0.2570261897091093,11,0.09090909090909091,2.6363636363636362,30.0,2.727272727272727,0.4275773286613279,0.7790883030013465,0.1446280991735537,135.962033648,115.398123362,20.538969823,0.7272727272727273,0.3636363636363636,C2,C2,C2
complex,no_discretization,pyrim,0,0.4720588537919641,0.4304824116839575,403916591579793.0,1.410666146740188,1.2864221485341605,4039165915797.93,0.7174999999999999,-1.4615605854828178,0.1450676914290442,0.0812747027818299,62521563008760.94,0.2078469040337982,0.1164469854249597,625215630087.6094,0.91625,0.2205685734624087,11,0.09090909090909091,2.909090909090909,33.0,3.0,0.4015144949962025,0.6903305028305028,0.1225895316804407,128.992425432,111.470951273,17.49722996,0.1818181818181818,0.0909090909090909,C2,C2,C2
complex,no_discretization,pyrim,0,0.4271989298822954,0.3517603309760444,417387179750946.8,1.0615893407575043,0.8741244224754706,4173871797509.468,0.7089749274800454,-0.628395662912187,0.1313909018281177,0.0829180756093832,52072312269418.97,0.188238108090426,0.1187931695577189,520723122694.1897,0.7746791923615305,0.3490682088605538,7,0.0,2.142857142857143,15.0,2.142857142857143,0.5083198344240374,0.7963369963369963,0.2004264392324093,53.995079945,47.119903111,6.856201714,0.1428571428571428,0.1428571428571428,C2,C2,C2
complex,no_discretization,pyrim,0,0.38665696690892,0.3231535696203797,400142013564563.8,0.8633953060367644,0.7215938131666546,4001420135645.638,0.6219456272109484,-0.0439667284056741,0.1010146709700617,0.0606143667636334,39322474358384.25,0.1444298539264646,0.0866658679719044,393224743583.8425,0.585,0.6126680286113645,7,0.0,2.142857142857143,15.0,2.142857142857143,0.5159215425499423,0.7995582848524025,0.2068230277185501,97.489279672,84.979653849,12.48976456,0.8571428571428571,0.7142857142857143,C2,C2,C2
complex,no_discretization,pyrim,0,0.533752201733993,0.499176978631882,584622541510392.5,0.8091436975370035,0.7567292554548489,5846225415103.925,0.9086859688195992,-2.428739842961279,0.1458322069672915,0.1030373028380439,22605576030746.67,0.2938819856777219,0.2076414242548819,226055760307.4667,0.5058511995556729,0.6480174198270608,15,0.2,3.066666666666667,49.0,3.2666666666666666,0.4956160542275448,0.760246692305516,0.1223880597014925,172.051946222,150.17364506299998,21.855077676,0.3333333333333333,0.2,C2,C2,C2
complex,no_discretization,pyrim,0,0.3638304575157818,0.3224598374453255,353305464901153.4,0.6866815332109123,0.6085999976137041,3533054649011.5337,0.6275965789746478,-0.3025227504431738,0.144985310374157,0.081496084061423,60133290479094.78,0.2115813379330447,0.1189296381648693,601332904790.9478,0.8812500000000001,0.1521227643022029,9,0.0,2.5555555555555554,23.0,2.5555555555555554,0.421957651776911,0.7604564884296342,0.1952861952861953,147.122028411,129.88567272900002,17.213059352,0.2222222222222222,0.1111111111111111,C2,C2,C2
complex,no_discretization,pyrim,0,0.3371847069655993,0.2910099995297005,390185761795434.6,0.7535046002598599,0.6503182642551472,3901857617954.346,0.6064705032766767,-0.3656524725828747,0.1536950054447634,0.0909159083915244,61430499615531.69,0.218707417416819,0.1293729973129187,614304996155.3169,0.913900838171026,0.1323303245936307,11,0.0,2.727272727272727,30.0,2.727272727272727,0.4458397757218518,0.7709358822995186,0.1682496607869742,137.648930547,117.817249473,19.809080504,0.7272727272727273,0.4545454545454545,C2,C2,C2
complex,no_discretization,pyrim,0,0.3913598520212143,0.3314532982221151,384841191459068.94,1.008635886841847,0.8542411534354222,3848411914590.6895,0.6836152825312566,-0.7466076290067731,0.1178975310893747,0.0676252273953262,44694814483752.72,0.1672889640568376,0.0959558196896945,446948144837.5272,0.655,0.4418410816007859,14,0.0,2.7142857142857144,38.0,2.7142857142857144,0.455552852529192,0.8042179190516786,0.1255411255411255,166.108489277,143.769337288,22.309319047,0.5,0.2142857142857142,C2,C2,C2
complex,no_discretization,pyrim,0,0.4092745337551747,0.3432505748558968,421408250846814.7,0.9505731106571802,0.7972271416007929,4214082508468.147,0.655,-0.0843367457230792,0.1096045731466582,0.0690179955190307,39574541501707.23,0.157814568330223,0.0993758276425091,395745415017.07227,0.5887499999999999,0.5099438807810337,9,0.0,2.0,18.0,2.0,0.4362828705452556,0.8015961494222364,0.1807628524046434,120.936229069,105.343492697,15.5689283,0.5555555555555556,0.4444444444444444,C2,C2,C2
complex,no_discretization,pyrim,0,0.3509892574044975,0.2993714365377484,403715538024999.0,0.7602983761765109,0.648485992866068,4037155380249.99,0.6275,-0.1413607051578775,0.1103329367653956,0.0695809824982961,42179235316044.64,0.1576394884879437,0.0994146517901818,421792353160.4464,0.6275,0.5537557955649453,9,0.0,2.2222222222222223,20.0,2.2222222222222223,0.5203076897230674,0.8050207039337474,0.142620232172471,96.16635756,82.79371086500001,13.349706962,0.5555555555555556,0.2222222222222222,C2,C2,C2
