model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,pyrim,3.0833333333333335,0.4778542160123986,0.4218338810294074,360991657631418.4,1.241024310478964,1.0955351732788785,3609916576314.184,0.743953183294251,-0.6436574973247191,0.1186031590413752,0.0694819441086105,41538882926693.86,0.1714697515781225,0.1004530721758614,415388829266.9386,0.6087499999999999,0.4455915692683083,12,0.08333333333333333,0.0,38.0,3.1666666666666665,0.4482259348016604,0.7833867521367522,0.130050505050505,3.457708835601806,0.964398958,2.420459715,0.25,0.0833333333333333,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,2.3333333333333335,0.4579911843434884,0.4112187854719191,364249184726657.5,1.3686273524350154,1.2288561371300926,3642491847266.575,0.6470365305351604,-1.3170343454745947,0.1175900878371457,0.0706747223081092,42221246506598.48,0.1684781460382419,0.1012597779731945,422212465065.9848,0.6187499999999999,0.4878726824012315,12,0.3333333333333333,0.5,38.0,3.1666666666666665,0.4658080536021272,0.7829427516927517,0.1376262626262626,1.2753863334655762,0.63653158,0.558952427,0.3333333333333333,0.1666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,1.2222222222222223,0.5020840877670295,0.418324845445817,546648287324515.6,1.2476789581010683,1.0395372409328554,5466482873245.156,0.8496621209434153,-1.2493267095158287,0.1201792490828824,0.0785426725762532,41591078648291.04,0.1721756542068933,0.1125247173465686,415910786482.9104,0.6187499999999999,0.4554172660319883,9,0.7777777777777778,0.3333333333333333,21.0,2.3333333333333335,0.4434715347745434,0.7434031205961031,0.1708126036484245,0.2434158325195312,0.11457751,0.1067508279999999,0.3333333333333333,0.2222222222222222,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,2.7,0.3986378484495735,0.3272784828598397,429450393038545.1,0.8901483139214496,0.730804640937922,4294503930385.451,0.6675,-0.1096653839748069,0.1205173674538262,0.0758183812899071,44027727700413.15,0.172314631229329,0.1084044290743443,440277277004.1315,0.655,0.4486673501235086,10,0.2,0.2,31.0,3.1,0.4883405120059442,0.7682931839402427,0.1611940298507462,0.5218420028686523,0.224531627,0.2570104609999999,0.1,0.1,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,0.09090909090909091,0.5256152883274446,0.4940055321079665,547367183472965.5,0.796808512447511,0.748889581260753,5473671834729.655,0.8507795100222716,-2.3249961961126338,0.1518983115775309,0.1067565690829582,19910871603240.484,0.3061064380484233,0.2151365131111088,199108716032.40485,0.5701559020044544,0.6181259326223236,11,2.0,0.6363636363636364,30.0,2.727272727272727,0.5069813720913519,0.7836074279256097,0.1383989145183175,0.9584405422210692,0.5727429669999999,0.169929745,0.2727272727272727,0.2727272727272727,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,2.5,0.3415104070130748,0.2777251505149625,339177346936340.94,0.6445554104965187,0.5241692338486353,3391773469363.409,0.6024999999999999,-0.1476120451536688,0.1136268697895769,0.0702598101896446,41112405689253.47,0.1658190410682309,0.1025322124323052,411124056892.53467,0.6024999999999999,0.4792286835944466,12,0.6666666666666666,0.08333333333333333,39.0,3.25,0.4363533532863228,0.7476414788914788,0.1287878787878787,1.476806640625,0.503341946,0.923669166,0.25,0.0833333333333333,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,2.5,0.3371351847940194,0.2811797268258808,404594029857669.4,0.7533939333662273,0.6283506140292644,4045940298576.694,0.6288654506034067,-0.3652513564689537,0.1330170740176527,0.0777914280978235,56156160734379.79,0.1892827984003554,0.1106969109842393,561561607343.7979,0.8354345591329171,0.3500952803585051,10,0.2,0.1,28.0,2.8,0.4130752125487096,0.7755230880230881,0.1641791044776119,2.2716236114501958,0.7435602269999999,1.446952377,0.5,0.3,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,3.076923076923077,0.3979081720568983,0.3743647487423203,371546969258067.0,1.0255126067005778,0.9648350958839976,3715469692580.67,0.66,-0.80554587613396,0.1189352297835267,0.0715528881403503,45974246196073.88,0.1687613913243452,0.101528916014364,459742461960.7388,0.67375,0.4319723464182948,13,0.3076923076923077,0.0,44.0,3.3846153846153846,0.4032323274246374,0.7347117326921542,0.1538461538461538,4.547015905380249,1.278523673,3.188149248,0.5384615384615384,0.3076923076923077,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,2.6,0.4952272963566916,0.4152976088685132,419059271270770.0,1.1502053334736069,0.9645621883397728,4190592712707.7,0.8607539723725094,-0.5876101960261113,0.1159432793991713,0.0705696399356417,45288063417028.01,0.1669413790306662,0.1016099688537688,452880634170.2801,0.67375,0.451622501126602,10,0.4,0.1,31.0,3.1,0.4620904264564685,0.7816339031339031,0.2537313432835821,0.678339958190918,0.267124565,0.369714892,0.4,0.2,C2,C2,C2
exact_M-of-N,no_discretization,pyrim,2.8,0.3818156538328103,0.3371384959115683,407747441765899.0,0.8270732379518653,0.7302954309303944,4077474417658.99,0.6337668373127071,-0.3506497029103865,0.1336183872674455,0.0860513742113743,48709321918350.85,0.1909088513270713,0.1229469187719489,487093219183.5085,0.7246480234822663,0.3455225554507256,10,0.1,0.1,30.0,3.0,0.3695378110581697,0.7406490635800981,0.2014925373134328,1.1045498847961426,0.3805702140000001,0.675249128,0.5,0.2,C2,C2,C2
